name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
MALAKAND,MALAKAND,DISTRICT,URBAN,10339,9869,9145,1194,4209,4360,1454,22,4,290
MANSEHRA,MANSEHRA,DISTRICT,OVERALL,294052,232361,145344,148708,114024,76631,48966,170,207,54054
MANSEHRA,MANSEHRA,DISTRICT,RURAL,267481,206595,123557,143924,108318,58957,46970,44,162,53030
MANSEHRA,MANSEHRA,DISTRICT,URBAN,26571,25766,21787,4784,5706,17674,1996,126,45,1024
MARDAN,MARDAN,DISTRICT,OVERALL,400859,390381,376225,24634,39456,342013,9929,142,102,9217
MARDAN,MARDAN,DISTRICT,RURAL,332734,323279,312023,20711,29621,285187,9639,130,89,8068
MARDAN,MARDAN,DISTRICT,URBAN,68125,67102,64202,3923,9835,56826,290,12,13,1149
MOHMAND,MOHMAND,DISTRICT,OVERALL,63973,47984,26855,37118,12041,18478,20217,14,48,13175
MOHMAND,MOHMAND,DISTRICT,RURAL,63973,47984,26855,37118,12041,18478,20217,14,48,13175
MOHMAND,MOHMAND,DISTRICT,URBAN,,,,,,,,,,
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,OVERALL,99595,68449,50026,49569,26674,17045,30353,13,220,25290
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,RURAL,98985,67840,49883,49102,26110,17002,30351,13,220,25289
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,URBAN,610,609,143,467,564,43,2,,,1
NOWSHERA,NOWSHERA,DISTRICT,OVERALL,259774,245363,207032,52742,61299,169140,15407,1614,131,12183
NOWSHERA,NOWSHERA,DISTRICT,RURAL,206464,193447,162185,44279,46647,134431,13963,659,117,10647
NOWSHERA,NOWSHERA,DISTRICT,URBAN,53310,51916,44847,8463,14652,34709,1444,955,14,1536
ORAKZAI,ORAKZAI,DISTRICT,OVERALL,52104,30977,17122,34982,16335,7061,9538,,9,19161
ORAKZAI,ORAKZAI,DISTRICT,RURAL,52104,30977,17122,34982,16335,7061,9538,,9,19161
ORAKZAI,ORAKZAI,DISTRICT,URBAN,,,,,,,,,,
PESHAWAR,PESHAWAR,DISTRICT,OVERALL,690976,670248,599302,91674,294991,333339,45682,683,361,15920
PESHAWAR,PESHAWAR,DISTRICT,RURAL,415031,396838,337418,77613,94563,262969,43558,134,233,13574
PESHAWAR,PESHAWAR,DISTRICT,URBAN,275945,273410,261884,14061,200428,70370,2124,549,128,2346
