name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
ATTOCK,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,WIDOWED,1415,37,0,1122,32,0,293,5,0
ATTOCK,DISTRICT,SON/DAUGHTER,DIVORCED,2420,612,0,1861,481,0,559,131,0
ATTOCK,DISTRICT,SON/DAUGHTER,MARRIED,7089,86254,0,4932,64923,0,2157,21331,0
ATTOCK,DISTRICT,SON/DAUGHTER,NEVER MARRIED,131950,169505,9,92741,121866,8,39209,47639,1
ATTOCK,DISTRICT,SON/DAUGHTER,SEPARATION,337,250,0,234,182,0,103,68,0
ATTOCK,DISTRICT,SON/DAUGHTER,WIDOWED,928,415,0,669,302,0,259,113,0
ATTOCK,DISTRICT,SPOUSE,DIVORCED,0,0,,0,0,,0,0,
ATTOCK,DISTRICT,SPOUSE,MARRIED,293777,5634,,212044,4271,,81733,1363,
ATTOCK,DISTRICT,SPOUSE,NEVER MARRIED,1,0,,1,0,,0,0,
ATTOCK,DISTRICT,SPOUSE,SEPARATION,0,0,,0,0,,0,0,
ATTOCK,DISTRICT,SPOUSE,WIDOWED,1,0,,1,0,,0,0,
BAHAWALNAGAR,DISTRICT,BROTHER/SISTER,DIVORCED,2616,786,0,2008,577,0,608,209,0
BAHAWALNAGAR,DISTRICT,BROTHER/SISTER,MARRIED,5090,32665,0,3837,23588,0,1253,9077,0
BAHAWALNAGAR,DISTRICT,BROTHER/SISTER,NEVER MARRIED,25382,33261,19,17890,23224,7,7492,10037,12
BAHAWALNAGAR,DISTRICT,BROTHER/SISTER,SEPARATION,956,311,0,781,252,0,175,59,0
BAHAWALNAGAR,DISTRICT,BROTHER/SISTER,WIDOWED,2436,1302,0,1773,983,0,663,319,0
BAHAWALNAGAR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,DIVORCED,0,0,,0,0,,0,0,
BAHAWALNAGAR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,MARRIED,126292,5045,,92132,3655,,34160,1390,
BAHAWALNAGAR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,NEVER MARRIED,0,0,,0,0,,0,0,
BAHAWALNAGAR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,SEPARATION,1,0,,0,0,,1,0,
BAHAWALNAGAR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,WIDOWED,751,37,,537,22,,214,15,
BAHAWALNAGAR,DISTRICT,FATHER/MOTHER,DIVORCED,701,67,,497,47,,204,20,
BAHAWALNAGAR,DISTRICT,FATHER/MOTHER,MARRIED,25780,16284,,19909,12591,,5871,3693,
BAHAWALNAGAR,DISTRICT,FATHER/MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
BAHAWALNAGAR,DISTRICT,FATHER/MOTHER,SEPARATION,366,24,,290,23,,76,1,
BAHAWALNAGAR,DISTRICT,FATHER/MOTHER,WIDOWED,39122,6793,,27924,5082,,11198,1711,
BAHAWALNAGAR,DISTRICT,GRAND FATHER/GRAND MOTHER,DIVORCED,10,5,,7,4,,3,1,
BAHAWALNAGAR,DISTRICT,GRAND FATHER/GRAND MOTHER,MARRIED,438,329,,338,254,,100,75,
BAHAWALNAGAR,DISTRICT,GRAND FATHER/GRAND MOTHER,NEVER MARRIED,1,3,,1,3,,0,0,
