name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
MIRPUR KHAS,MIRPUR KHAS,DISTRICT,RURAL,228271,105261,22188,100822,8519,918,210808,8026,86407,122395
MIRPUR KHAS,MIRPUR KHAS,DISTRICT,URBAN,84715,74356,2501,7858,43152,4214,36206,1143,54798,8600
NAUSHAHRO FEROZE,NAUSHAHRO FEROZE,DISTRICT,OVERALL,319768,220706,60051,39011,89209,1180,215570,13809,154016,79536
NAUSHAHRO FEROZE,NAUSHAHRO FEROZE,DISTRICT,RURAL,231188,143006,53491,34691,27216,525,192247,11200,105224,64303
NAUSHAHRO FEROZE,NAUSHAHRO FEROZE,DISTRICT,URBAN,88580,77700,6560,4320,61993,655,23323,2609,48792,15233
SANGHAR,SANGHAR,DISTRICT,OVERALL,406937,208544,82867,115526,94868,2102,296430,13537,189813,146393
SANGHAR,SANGHAR,DISTRICT,RURAL,300793,119125,74929,106739,26897,614,262590,10692,126569,128733
SANGHAR,SANGHAR,DISTRICT,URBAN,106144,89419,7938,8787,67971,1488,33840,2845,63244,17660
SHAHEED BENAZIRABAD,SHAHEED BENAZIRABAD,DISTRICT,OVERALL,334356,226009,65248,43099,86448,1718,234642,11548,149057,115810
SHAHEED BENAZIRABAD,SHAHEED BENAZIRABAD,DISTRICT,RURAL,233705,140610,56442,36653,22157,307,201997,9244,88349,99305
SHAHEED BENAZIRABAD,SHAHEED BENAZIRABAD,DISTRICT,URBAN,100651,85399,8806,6446,64291,1411,32645,2304,60708,16505
SHIKARPUR,SHIKARPUR,DISTRICT,OVERALL,214824,153167,37782,23875,53307,750,122212,38555,96185,47408
SHIKARPUR,SHIKARPUR,DISTRICT,RURAL,162493,104541,36159,21793,15524,328,110831,35810,70891,42429
SHIKARPUR,SHIKARPUR,DISTRICT,URBAN,52331,48626,1623,2082,37783,422,11381,2745,25294,4979
SUJAWAL,SUJAWAL,DISTRICT,OVERALL,158854,49451,21500,87903,13956,285,134642,9971,75387,65203
SUJAWAL,SUJAWAL,DISTRICT,RURAL,142489,35139,21021,86329,2919,240,129471,9859,65114,63207
SUJAWAL,SUJAWAL,DISTRICT,URBAN,16365,14312,479,1574,11037,45,5171,112,10273,1996
SUKKUR,SUKKUR,DISTRICT,OVERALL,268588,184390,56354,27844,110859,2431,150457,4841,129617,59884
SUKKUR,SUKKUR,DISTRICT,RURAL,145392,77952,44241,23199,19302,230,123021,2839,54521,46328
SUKKUR,SUKKUR,DISTRICT,URBAN,123196,106438,12113,4645,91557,2201,27436,2002,75096,13556
TANDO ALLAHYAR,TANDO ALLAHYAR,DISTRICT,OVERALL,177471,122508,7837,47126,48077,412,122482,6500,73018,70397
TANDO ALLAHYAR,TANDO ALLAHYAR,DISTRICT,RURAL,123667,79765,6168,37734,18812,134,99738,4983,44889,58270
TANDO ALLAHYAR,TANDO ALLAHYAR,DISTRICT,URBAN,53804,42743,1669,9392,29265,278,22744,1517,28129,12127
TANDO MUHAMMAD KHAN,TANDO MUHAMMAD KHAN,DISTRICT,OVERALL,143798,57014,18984,67800,24961,319,103545,14973,55598,64351
TANDO MUHAMMAD KHAN,TANDO MUHAMMAD KHAN,DISTRICT,RURAL,112538,36249,15536,60753,10213,52,88738,13535,42080,55655
TANDO MUHAMMAD KHAN,TANDO MUHAMMAD KHAN,DISTRICT,URBAN,31260,20765,3448,7047,14748,267,14807,1438,13518,8696
THARPARKAR,THARPARKAR,DISTRICT,OVERALL,327584,63581,42528,221475,1246,3495,310010,12833,168335,85850
THARPARKAR,THARPARKAR,DISTRICT,RURAL,300328,45264,41412,213652,1033,156,287064,12075,150900,82439
THARPARKAR,THARPARKAR,DISTRICT,URBAN,27256,18317,1116,7823,213,3339,22946,758,17435,3411
THATTA,THATTA,DISTRICT,OVERALL,206202,92356,27686,86160,28493,891,170877,5941,130543,54362
THATTA,THATTA,DISTRICT,RURAL,172496,66694,25390,80412,10446,462,156276,5312,107253,50661
THATTA,THATTA,DISTRICT,URBAN,33706,25662,2296,5748,18047,429,14601,629,23290,3701
UMER KOT,UMER KOT,DISTRICT,OVERALL,222562,95716,18867,107979,893,3138,211110,7421,91883,101049
UMER KOT,UMER KOT,DISTRICT,RURAL,171106,61793,14572,94741,486,274,164018,6328,64300,89621
UMER KOT,UMER KOT,DISTRICT,URBAN,51456,33923,4295,13238,407,2864,47092,1093,27583,11428
