name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
LORALAI,LORALAI,DISTRICT,OVERALL,REGULAR,263170,135767,127389,14,38214,99.81999999999999
LORALAI,LORALAI,DISTRICT,OVERALL,INSTITUTIONAL,5928,5326,602,,59,.15
LORALAI,LORALAI,DISTRICT,OVERALL,HOMELESS,266,208,55,3,11,.03
LORALAI,LORALAI,DISTRICT,OVERALL,TOTAL,269364,141301,128046,17,38284,100
LORALAI,LORALAI,DISTRICT,RURAL,REGULAR,208211,108008,100190,13,30607,99.83
LORALAI,LORALAI,DISTRICT,RURAL,INSTITUTIONAL,3546,3165,381,,44,.14
LORALAI,LORALAI,DISTRICT,RURAL,HOMELESS,221,170,48,3,8,.03
LORALAI,LORALAI,DISTRICT,RURAL,TOTAL,211978,111343,100619,16,30659,100
LORALAI,LORALAI,DISTRICT,URBAN,REGULAR,54959,27759,27199,1,7607,99.76000000000001
LORALAI,LORALAI,DISTRICT,URBAN,INSTITUTIONAL,2382,2161,221,,15,.2
LORALAI,LORALAI,DISTRICT,URBAN,HOMELESS,45,38,7,,3,.04
LORALAI,LORALAI,DISTRICT,URBAN,TOTAL,57386,29958,27427,1,7625,100
MASTUNG,MASTUNG,DISTRICT,OVERALL,REGULAR,311665,165622,146040,3,43695,99.91
MASTUNG,MASTUNG,DISTRICT,OVERALL,INSTITUTIONAL,555,534,21,,25,.06
MASTUNG,MASTUNG,DISTRICT,OVERALL,HOMELESS,158,95,63,,16,.04
MASTUNG,MASTUNG,DISTRICT,OVERALL,TOTAL,312378,166251,146124,3,43736,100
MASTUNG,MASTUNG,DISTRICT,RURAL,REGULAR,271408,144321,127084,3,38262,99.90000000000001
MASTUNG,MASTUNG,DISTRICT,RURAL,INSTITUTIONAL,549,530,19,,23,.06
MASTUNG,MASTUNG,DISTRICT,RURAL,HOMELESS,158,95,63,,16,.04
MASTUNG,MASTUNG,DISTRICT,RURAL,TOTAL,272115,144946,127166,3,38301,100
MASTUNG,MASTUNG,DISTRICT,URBAN,REGULAR,40257,21301,18956,,5433,99.95999999999999
MASTUNG,MASTUNG,DISTRICT,URBAN,INSTITUTIONAL,6,4,2,,2,.04
MASTUNG,MASTUNG,DISTRICT,URBAN,HOMELESS,,,,,,0
MASTUNG,MASTUNG,DISTRICT,URBAN,TOTAL,40263,21305,18958,,5435,100
MUSAKHEL,MUSAKHEL,DISTRICT,OVERALL,REGULAR,182223,96666,85554,3,31252,99.98
MUSAKHEL,MUSAKHEL,DISTRICT,OVERALL,INSTITUTIONAL,50,39,11,,4,.01
MUSAKHEL,MUSAKHEL,DISTRICT,OVERALL,HOMELESS,2,1,1,,1,0
