name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
KOHLU,DISTRICT,KOHLU,RURAL,,241242,127186,114040,16,111.53,,,6.9,196490,3.49
KOHLU,DISTRICT,KOHLU,URBAN,,18978,9057,9921,,91.29000000000001,,,6,17443,1.42
LASBELA,DISTRICT,LASBELA,OVERALL,15153,680977,348840,332112,25,105.04,44.94,48.55,5.8,576271,2.83
LASBELA,DISTRICT,LASBELA,RURAL,,350392,178792,171587,13,104.2,,,5.7,294373,2.95
LASBELA,DISTRICT,LASBELA,URBAN,,330585,170048,160525,12,105.93,,,6,281898,2.7
LORALAI,DISTRICT,LORALAI,OVERALL,3785,272432,142774,129641,17,110.13,71.98,21.88,7.1,244446,1.83
LORALAI,DISTRICT,LORALAI,RURAL,,212831,111752,101063,16,110.58,,,6.9,189597,1.95
LORALAI,DISTRICT,LORALAI,URBAN,,59601,31022,28578,1,108.55,,,7.8,54849,1.4
MASTUNG,DISTRICT,MASTUNG,OVERALL,3308,313271,166679,146589,3,113.7,94.7,12.89,7.1,265676,2.79
MASTUNG,DISTRICT,MASTUNG,RURAL,,272897,145321,127573,3,113.91,,,7.1,230679,2.85
MASTUNG,DISTRICT,MASTUNG,URBAN,,40374,21358,19016,,112.32,,,7.4,34997,2.42
MUSAKHEL,DISTRICT,MUSAKHEL,OVERALL,5728,182275,96706,85566,3,113.02,31.82,8.67,5.8,167243,1.45
MUSAKHEL,DISTRICT,MUSAKHEL,RURAL,,166470,88205,78262,3,112.7,,,5.7,153108,1.41
MUSAKHEL,DISTRICT,MUSAKHEL,URBAN,,15805,8501,7304,,116.39,,,6.6,14135,1.88
NASIRABAD,DISTRICT,NASIRABAD,OVERALL,3387,563315,287902,275395,18,104.54,166.32,18.99,6.4,489779,2.37
NASIRABAD,DISTRICT,NASIRABAD,RURAL,,456363,234470,221877,16,105.68,,,6.2,393463,2.51
NASIRABAD,DISTRICT,NASIRABAD,URBAN,,106952,53432,53518,2,99.84,,,7.4,96316,1.77
NUSHKI,DISTRICT,NUSHKI,OVERALL,5797,207834,108271,99558,5,108.75,35.85,23.37,6.6,178947,2.53
NUSHKI,DISTRICT,NUSHKI,RURAL,,159262,82801,76457,4,108.3,,,6.6,132551,3.12
NUSHKI,DISTRICT,NUSHKI,URBAN,,48572,25470,23101,1,110.25,,,6.6,46396,.77
PANJGUR,DISTRICT,PANJGUR,OVERALL,16891,509781,269372,240314,95,112.09,30.18,30.93,4.3,315353,8.359999999999999
PANJGUR,DISTRICT,PANJGUR,RURAL,,352088,184562,167494,32,110.19,,,4,234942,6.99
PANJGUR,DISTRICT,PANJGUR,URBAN,,157693,84810,72820,63,116.47,,,5.4,80411,11.91
PISHIN,DISTRICT,PISHIN,OVERALL,6218,835482,426597,408862,23,104.34,134.37,29.18,5.6,736903,2.12
PISHIN,DISTRICT,PISHIN,RURAL,,591697,302354,289328,15,104.5,,,5.6,594107,-.07
PISHIN,DISTRICT,PISHIN,URBAN,,243785,124243,119534,8,103.94,,,5.8,142796,9.35
QUETTA,DISTRICT,QUETTA,OVERALL,3447,2595492,1319869,1275512,111,103.48,752.97,60.32,8.9,2269473,2.27
QUETTA,DISTRICT,QUETTA,RURAL,,1029946,526415,503502,29,104.55,,,8,1270088,-3.44
QUETTA,DISTRICT,QUETTA,URBAN,,1565546,793454,772010,82,102.78,,,9.699999999999999,999385,7.79
SHERANI,DISTRICT,SHERANI,OVERALL,4310,191687,105345,86336,6,122.02,44.47,0,5.3,152952,3.84
SHERANI,DISTRICT,SHERANI,RURAL,,191687,105345,86336,6,122.02,,,5.3,152952,3.84
SHERANI,DISTRICT,SHERANI,URBAN,,,,,,0,,,,,0
SIBI,DISTRICT,SIBI,OVERALL,7121,224148,115033,109110,5,105.43,31.48,30.92,7.1,179751,3.76
SIBI,DISTRICT,SIBI,RURAL,,154848,79939,74904,5,106.72,,,7.8,115077,5.09
SIBI,DISTRICT,SIBI,URBAN,,69300,35094,34206,,102.6,,,6,64674,1.16
SOHBATPUR,DISTRICT,SOHBATPUR,OVERALL,802,240106,121863,118241,2,103.06,299.38,6.13,7.1,200426,3.06
SOHBATPUR,DISTRICT,SOHBATPUR,RURAL,,225378,114379,110997,2,103.05,,,7,187559,3.12
SOHBATPUR,DISTRICT,SOHBATPUR,URBAN,,14728,7484,7244,,103.31,,,8.199999999999999,12867,2.28
SURAB,DISTRICT,SURAB,OVERALL,762,279038,141648,137372,18,103.11,366.19,13.07,5.4,208493,4.99
SURAB,DISTRICT,SURAB,RURAL,,242570,124517,118035,18,105.49,,,5.3,172896,5.82
SURAB,DISTRICT,SURAB,URBAN,,36468,17131,19337,,88.59,,,5.8,35597,.4
WASHUK,DISTRICT,WASHUK,OVERALL,33093,302623,162913,139685,25,116.63,9.140000000000001,13.58,6.1,175712,9.51
WASHUK,DISTRICT,WASHUK,RURAL,,261516,141885,119606,25,118.63,,,6.2,153877,9.27
WASHUK,DISTRICT,WASHUK,URBAN,,41107,21028,20079,,104.73,,,5.7,21835,11.15
ZHOB,DISTRICT,ZHOB,OVERALL,15987,355692,192202,163485,5,117.57,22.25,13.21,7.4,310354,2.3
ZHOB,DISTRICT,ZHOB,RURAL,,308716,166762,141949,5,117.48,,,7.4,264190,2.64
ZHOB,DISTRICT,ZHOB,URBAN,,46976,25440,21536,,118.13,,,7.3,46164,.29
ZIARAT,DISTRICT,ZIARAT,OVERALL,3301,189535,96172,93355,8,103.02,57.42,26.06,8.199999999999999,160095,2.86
ZIARAT,DISTRICT,ZIARAT,RURAL,,140133,70760,69367,6,102.01,,,8.1,156703,-1.85
ZIARAT,DISTRICT,ZIARAT,URBAN,,49402,25412,23988,2,105.94,,,8.800000000000001,3392,56.46
