name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
MANSEHRA,MANSEHRA,DISTRICT,URBAN,REGULAR,153815,78810,74941,64,26571,99.97
MANSEHRA,MANSEHRA,DISTRICT,URBAN,INSTITUTIONAL,518,510,8,,9,.03
MANSEHRA,MANSEHRA,DISTRICT,URBAN,HOMELESS,,,,,,0
MANSEHRA,MANSEHRA,DISTRICT,URBAN,TOTAL,154333,79320,74949,64,26580,100
MARDAN,MARDAN,DISTRICT,OVERALL,REGULAR,2740184,1406350,1333781,53,400863,99.98999999999999
MARDAN,MARDAN,DISTRICT,OVERALL,INSTITUTIONAL,492,399,93,,32,.01
MARDAN,MARDAN,DISTRICT,OVERALL,HOMELESS,16,14,2,,9,0
MARDAN,MARDAN,DISTRICT,OVERALL,TOTAL,2740692,1406763,1333876,53,400904,100
MARDAN,MARDAN,DISTRICT,RURAL,REGULAR,2287194,1172130,1115045,19,332734,99.98999999999999
MARDAN,MARDAN,DISTRICT,RURAL,INSTITUTIONAL,376,337,39,,22,.01
MARDAN,MARDAN,DISTRICT,RURAL,HOMELESS,7,5,2,,4,0
MARDAN,MARDAN,DISTRICT,RURAL,TOTAL,2287577,1172472,1115086,19,332760,100
MARDAN,MARDAN,DISTRICT,URBAN,REGULAR,452990,234220,218736,34,68129,99.98
MARDAN,MARDAN,DISTRICT,URBAN,INSTITUTIONAL,116,62,54,,10,.01
MARDAN,MARDAN,DISTRICT,URBAN,HOMELESS,9,9,,,5,.01
MARDAN,MARDAN,DISTRICT,URBAN,TOTAL,453115,234291,218790,34,68144,100
MOHMAND,MOHMAND,DISTRICT,OVERALL,REGULAR,553890,281361,272523,6,63973,99.98999999999999
MOHMAND,MOHMAND,DISTRICT,OVERALL,INSTITUTIONAL,30,16,14,,7,.01
MOHMAND,MOHMAND,DISTRICT,OVERALL,HOMELESS,13,7,6,,2,0
MOHMAND,MOHMAND,DISTRICT,OVERALL,TOTAL,553933,281384,272543,6,63982,100
MOHMAND,MOHMAND,DISTRICT,RURAL,REGULAR,553890,281361,272523,6,63973,99.98999999999999
MOHMAND,MOHMAND,DISTRICT,RURAL,INSTITUTIONAL,30,16,14,,7,.01
MOHMAND,MOHMAND,DISTRICT,RURAL,HOMELESS,13,7,6,,2,0
MOHMAND,MOHMAND,DISTRICT,RURAL,TOTAL,553933,281384,272543,6,63982,100
MOHMAND,MOHMAND,DISTRICT,URBAN,REGULAR,,,,,,0
MOHMAND,MOHMAND,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
MOHMAND,MOHMAND,DISTRICT,URBAN,HOMELESS,,,,,,0
