name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,URBAN,REGULAR,942410,476900,465465,45,151826,99.95
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,URBAN,INSTITUTIONAL,2408,1905,503,,54,.04
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,URBAN,HOMELESS,461,250,211,,27,.02
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,URBAN,TOTAL,945279,479055,466179,45,151907,100
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,OVERALL,REGULAR,1626471,826780,799610,81,246956,99.93000000000001
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,OVERALL,INSTITUTIONAL,7581,4614,2967,,115,.05
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,OVERALL,HOMELESS,819,537,282,,50,.02
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,OVERALL,TOTAL,1634871,831931,802859,81,247121,100
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,RURAL,REGULAR,1306571,666427,640111,33,196169,99.94
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,RURAL,INSTITUTIONAL,4373,2780,1593,,69,.04
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,RURAL,HOMELESS,539,376,163,,39,.02
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,RURAL,TOTAL,1311483,669583,641867,33,196277,100
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,URBAN,REGULAR,319900,160353,159499,48,50787,99.89
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,URBAN,INSTITUTIONAL,3208,1834,1374,,46,.09
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,URBAN,HOMELESS,280,161,119,,11,.02
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,URBAN,TOTAL,323388,162348,160992,48,50844,100
NAROWAL,NAROWAL,DISTRICT,OVERALL,REGULAR,1949015,995048,953882,85,281536,99.97
NAROWAL,NAROWAL,DISTRICT,OVERALL,INSTITUTIONAL,1232,1002,230,,50,.02
NAROWAL,NAROWAL,DISTRICT,OVERALL,HOMELESS,522,307,215,,42,.01
NAROWAL,NAROWAL,DISTRICT,OVERALL,TOTAL,1950769,996357,954327,85,281628,100
