name_admin_unit,part_of_district,admin_unit,disab_func_lim,age_group,overall,rural,urban
BADIN,BADIN,DISTRICT,Seeing,>60,11167,8683,2484
BADIN,BADIN,DISTRICT,Self care etc,0 - 4,73,72,1
BADIN,BADIN,DISTRICT,Self care etc,10 - 12,64,60,4
BADIN,BADIN,DISTRICT,Self care etc,13 - 14,34,28,6
BADIN,BADIN,DISTRICT,Self care etc,15 - 24,397,332,65
BADIN,BADIN,DISTRICT,Self care etc,15 - 49,4827,3840,987
BADIN,BADIN,DISTRICT,Self care etc,25 - 40,1613,1297,316
BADIN,BADIN,DISTRICT,Self care etc,41 - 60,7396,5879,1517
BADIN,BADIN,DISTRICT,Self care etc,5 - 16,207,187,20
BADIN,BADIN,DISTRICT,Self care etc,5 - 9,77,75,2
BADIN,BADIN,DISTRICT,Self care etc,>18,15523,12268,3255
BADIN,BADIN,DISTRICT,Self care etc,>60,6176,4810,1366
BADIN,BADIN,DISTRICT,Walking/ Climbing,0 - 4,747,633,114
BADIN,BADIN,DISTRICT,Walking/ Climbing,10 - 12,1297,1088,209
BADIN,BADIN,DISTRICT,Walking/ Climbing,13 - 14,648,492,156
BADIN,BADIN,DISTRICT,Walking/ Climbing,15 - 24,3973,3186,787
BADIN,BADIN,DISTRICT,Walking/ Climbing,15 - 49,18005,14019,3986
BADIN,BADIN,DISTRICT,Walking/ Climbing,25 - 40,6765,5205,1560
BADIN,BADIN,DISTRICT,Walking/ Climbing,41 - 60,17699,13402,4297
BADIN,BADIN,DISTRICT,Walking/ Climbing,5 - 16,4205,3419,786
BADIN,BADIN,DISTRICT,Walking/ Climbing,5 - 9,1514,1239,275
BADIN,BADIN,DISTRICT,Walking/ Climbing,>18,44274,34041,10233
BADIN,BADIN,DISTRICT,Walking/ Climbing,>60,17120,13287,3833
DADU,DADU,DISTRICT,Communication,0 - 4,305,220,85
DADU,DADU,DISTRICT,Communication,10 - 12,525,362,163
DADU,DADU,DISTRICT,Communication,13 - 14,362,231,131
DADU,DADU,DISTRICT,Communication,15 - 24,1460,995,465
DADU,DADU,DISTRICT,Communication,15 - 49,3451,2461,990
DADU,DADU,DISTRICT,Communication,25 - 40,1248,873,375
DADU,DADU,DISTRICT,Communication,41 - 60,3467,2689,778
DADU,DADU,DISTRICT,Communication,5 - 16,2123,1501,622
DADU,DADU,DISTRICT,Communication,5 - 9,873,653,220
DADU,DADU,DISTRICT,Communication,>18,9236,6884,2352
DADU,DADU,DISTRICT,Communication,>60,3767,2833,934
DADU,DADU,DISTRICT,Disability,0 - 4,847,574,273
DADU,DADU,DISTRICT,Disability,10 - 12,1201,775,426
DADU,DADU,DISTRICT,Disability,13 - 14,825,512,313
DADU,DADU,DISTRICT,Disability,15 - 24,3611,2163,1448
DADU,DADU,DISTRICT,Disability,15 - 49,10557,6625,3932
DADU,DADU,DISTRICT,Disability,25 - 40,4289,2521,1768
DADU,DADU,DISTRICT,Disability,41 - 60,6900,5546,1354
DADU,DADU,DISTRICT,Disability,5 - 16,4646,3122,1524
DADU,DADU,DISTRICT,Disability,5 - 9,1794,1288,506
DADU,DADU,DISTRICT,Disability,>18,23380,17344,6036
DADU,DADU,DISTRICT,Disability,>60,10129,8141,1988
DADU,DADU,DISTRICT,Functional limitation,0 - 4,930,637,293
DADU,DADU,DISTRICT,Functional limitation,10 - 12,1358,887,471
DADU,DADU,DISTRICT,Functional limitation,13 - 14,924,587,337
DADU,DADU,DISTRICT,Functional limitation,15 - 24,4108,2533,1575
DADU,DADU,DISTRICT,Functional limitation,15 - 49,18765,12666,6099
DADU,DADU,DISTRICT,Functional limitation,25 - 40,4669,2796,1873
DADU,DADU,DISTRICT,Functional limitation,41 - 60,41565,30994,10571
DADU,DADU,DISTRICT,Functional limitation,5 - 16,5155,3503,1652
DADU,DADU,DISTRICT,Functional limitation,5 - 9,1937,1396,541
DADU,DADU,DISTRICT,Functional limitation,>18,91091,67462,23629
DADU,DADU,DISTRICT,Functional limitation,>60,42488,32313,10175
DADU,DADU,DISTRICT,Hearing,0 - 4,187,139,48
DADU,DADU,DISTRICT,Hearing,10 - 12,342,257,85
DADU,DADU,DISTRICT,Hearing,13 - 14,236,166,70
DADU,DADU,DISTRICT,Hearing,15 - 24,968,691,277
DADU,DADU,DISTRICT,Hearing,15 - 49,3727,2591,1136
DADU,DADU,DISTRICT,Hearing,25 - 40,859,576,283
DADU,DADU,DISTRICT,Hearing,41 - 60,9109,6647,2462
DADU,DADU,DISTRICT,Hearing,5 - 16,1346,1007,339
DADU,DADU,DISTRICT,Hearing,5 - 9,544,416,128
DADU,DADU,DISTRICT,Hearing,>18,19528,14474,5054
DADU,DADU,DISTRICT,Hearing,>60,9041,6905,2136
DADU,DADU,DISTRICT,Memorization/ Focus,0 - 4,211,136,75
DADU,DADU,DISTRICT,Memorization/ Focus,10 - 12,432,281,151
DADU,DADU,DISTRICT,Memorization/ Focus,13 - 14,298,187,111
DADU,DADU,DISTRICT,Memorization/ Focus,15 - 24,1249,804,445
DADU,DADU,DISTRICT,Memorization/ Focus,15 - 49,3869,2698,1171
DADU,DADU,DISTRICT,Memorization/ Focus,25 - 40,1190,789,401
DADU,DADU,DISTRICT,Memorization/ Focus,41 - 60,5786,4401,1385
DADU,DADU,DISTRICT,Memorization/ Focus,5 - 16,1621,1075,546
DADU,DADU,DISTRICT,Memorization/ Focus,5 - 9,610,417,193
DADU,DADU,DISTRICT,Memorization/ Focus,>18,13477,10022,3455
DADU,DADU,DISTRICT,Memorization/ Focus,>60,5816,4418,1398
DADU,DADU,DISTRICT,Population,0 - 4,273919,210516,63403
DADU,DADU,DISTRICT,Population,10 - 12,136798,105129,31669
DADU,DADU,DISTRICT,Population,13 - 14,78671,58646,20025
DADU,DADU,DISTRICT,Population,15 - 24,342586,252996,89590
DADU,DADU,DISTRICT,Population,15 - 49,801421,586727,214694
DADU,DADU,DISTRICT,Population,25 - 40,328238,237814,90424
DADU,DADU,DISTRICT,Population,41 - 60,235661,172965,62696
DADU,DADU,DISTRICT,Population,5 - 16,564332,430485,133847
DADU,DADU,DISTRICT,Population,5 - 9,269341,207320,62021
DADU,DADU,DISTRICT,Population,>18,831579,608943,222636
DADU,DADU,DISTRICT,Population,>60,77093,57900,19193
DADU,DADU,DISTRICT,Seeing,0 - 4,200,163,37
DADU,DADU,DISTRICT,Seeing,10 - 12,326,258,68
