name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Primary,41 - 60,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Primary,5,34597,16389,18208,,20008,9435,10573,,14589,6954,7635,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Primary,5 - 16,275109,129743,145366,,152404,72495,79909,,122705,57248,65457,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Primary,6 - 10,211338,101249,110089,,116400,56161,60239,,94938,45088,49850,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Primary,>18,129,75,54,,75,43,32,,54,32,22,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Primary,>60,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Ever Attended,11 - 13,146587,67900,78687,,80008,38314,41694,,66579,29586,36993,
ISLAMABAD,ISLAMABAD,DISTRICT,Ever Attended,14 - 15,89062,40968,48089,5,48282,22736,25545,1,40780,18232,22544,4
ISLAMABAD,ISLAMABAD,DISTRICT,Ever Attended,15 - 24,369531,166516,202991,24,200637,92423,108204,10,168894,74093,94787,14
ISLAMABAD,ISLAMABAD,DISTRICT,Ever Attended,15 - 49,1013360,455977,557268,115,558161,256247,301890,24,455199,199730,255378,91
ISLAMABAD,ISLAMABAD,DISTRICT,Ever Attended,25 - 40,465315,215251,249979,85,260347,123270,137064,13,204968,91981,112915,72
ISLAMABAD,ISLAMABAD,DISTRICT,Ever Attended,41 - 60,308587,123109,185471,7,165856,66674,99181,1,142731,56435,86290,6
ISLAMABAD,ISLAMABAD,DISTRICT,Ever Attended,5,36045,17043,19002,,20827,9818,11009,,15218,7225,7993,
ISLAMABAD,ISLAMABAD,DISTRICT,Ever Attended,5 - 16,551226,258242,292977,7,302564,144202,158361,1,248662,114040,134616,6
ISLAMABAD,ISLAMABAD,DISTRICT,Ever Attended,6 - 10,239038,114022,125016,,131252,63206,68046,,107786,50816,56970,
ISLAMABAD,ISLAMABAD,DISTRICT,Ever Attended,>18,1080858,464832,615919,107,591278,258286,332972,20,489580,206546,282947,87
ISLAMABAD,ISLAMABAD,DISTRICT,Ever Attended,>60,96059,31198,64859,2,51215,15551,35664,,44844,15647,29195,2
ISLAMABAD,ISLAMABAD,DISTRICT,Literate,11 - 13,142744,66138,76606,,77612,37116,40496,,65132,29022,36110,
ISLAMABAD,ISLAMABAD,DISTRICT,Literate,14 - 15,88910,40881,48024,5,48098,22614,25483,1,40812,18267,22541,4
ISLAMABAD,ISLAMABAD,DISTRICT,Literate,15 - 24,374775,169136,205614,25,202824,93538,109276,10,171951,75598,96338,15
ISLAMABAD,ISLAMABAD,DISTRICT,Literate,15 - 49,1036020,468293,567607,120,568802,262220,306558,24,467218,206073,261049,96
ISLAMABAD,ISLAMABAD,DISTRICT,Literate,25 - 40,476841,221544,255207,90,265870,126364,139493,13,210971,95180,115714,77
ISLAMABAD,ISLAMABAD,DISTRICT,Literate,41 - 60,321172,130416,190749,7,172400,70608,101791,1,148772,59808,88958,6
ISLAMABAD,ISLAMABAD,DISTRICT,Literate,5,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Literate,5 - 16,436500,203919,232574,7,239156,113893,125262,1,197344,90026,107312,6
ISLAMABAD,ISLAMABAD,DISTRICT,Literate,6 - 10,164075,78471,85604,,91177,44018,47159,,72898,34453,38445,
ISLAMABAD,ISLAMABAD,DISTRICT,Literate,>18,1114657,483765,630779,113,608459,268193,340246,20,506198,215572,290533,93
ISLAMABAD,ISLAMABAD,DISTRICT,Literate,>60,101835,34539,67294,2,54541,17478,37063,,47294,17061,30231,2
ISLAMABAD,ISLAMABAD,DISTRICT,Literate %,11 - 13,95.27,94.67,95.78,,95.81,96.28,95.39,,94.62,92.7,96.22,
ISLAMABAD,ISLAMABAD,DISTRICT,Literate %,14 - 15,92.06,92.33,91.84,71.43000000000001,93.05,93.7,92.48999999999999,50,90.92,90.68000000000001,91.12,80
ISLAMABAD,ISLAMABAD,DISTRICT,Literate %,15 - 24,88.68000000000001,86.94,90.16,73.53,90.26000000000001,88.81999999999999,91.53,90.91,86.89,84.73,88.66,65.22
ISLAMABAD,ISLAMABAD,DISTRICT,Literate %,15 - 49,85.05,81.09999999999999,88.62,47.81,86.48,82.83,89.87,53.33,83.37,79,87.2,46.6
ISLAMABAD,ISLAMABAD,DISTRICT,Literate %,25 - 40,84.03,79.97,87.92,45.45,85.64,82.08,89.16,43.33,82.08,77.34,86.48,45.83
ISLAMABAD,ISLAMABAD,DISTRICT,Literate %,41 - 60,77.97,68.8,85.79000000000001,22.58,78.23,68.55,86.73,12.5,77.67,69.11,84.73,26.09
ISLAMABAD,ISLAMABAD,DISTRICT,Literate %,5,,,,,,,,,,,,
