name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
ISLAMABAD,ISLAMABAD,DISTRICT,OVERALL,410993,397091,242997,167996,99487,202430,14276,46019,10889,37892
ISLAMABAD,ISLAMABAD,DISTRICT,RURAL,226022,218068,136649,89373,50119,121408,10167,21187,4216,18925
ISLAMABAD,ISLAMABAD,DISTRICT,URBAN,184971,179023,106348,78623,49368,81022,4109,24832,6673,18967
