name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
LODHRAN,LODHRAN,DISTRICT,OVERALL,323866,309294,2589,11983,34907,6141,251882,30936,140788,139387
LODHRAN,LODHRAN,DISTRICT,RURAL,267053,253219,2314,11520,7955,1347,228860,28891,107514,125126
LODHRAN,LODHRAN,DISTRICT,URBAN,56813,56075,275,463,26952,4794,23022,2045,33274,14261
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,OVERALL,285989,280407,2089,3493,100920,25918,154573,4578,217408,45330
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,RURAL,230572,226140,1676,2756,58655,19532,148454,3931,171164,40246
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,URBAN,55417,54267,413,737,42265,6386,6119,647,46244,5084
MIANWALI,MIANWALI,DISTRICT,OVERALL,296339,270901,11544,13894,40901,5244,237732,12462,198289,50020
MIANWALI,MIANWALI,DISTRICT,RURAL,232193,208316,10882,12995,10389,2744,207847,11213,151046,43714
MIANWALI,MIANWALI,DISTRICT,URBAN,64146,62585,662,899,30512,2500,29885,1249,47243,6306
MULTAN,MULTAN,DISTRICT,OVERALL,886392,863945,5641,16806,407704,38414,414045,26229,476888,305646
MULTAN,MULTAN,DISTRICT,RURAL,476748,460750,2859,13139,85821,13840,357162,19925,190575,230487
MULTAN,MULTAN,DISTRICT,URBAN,409644,403195,2782,3667,321883,24574,56883,6304,286313,75159
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,OVERALL,804438,732759,16639,55040,87216,9737,670147,37338,328854,367237
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,RURAL,652613,584566,15791,52256,25838,2877,589634,34264,239454,324254
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,URBAN,151825,148193,848,2784,61378,6860,80513,3074,89400,42983
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,OVERALL,246956,242186,2053,2717,96876,7387,116433,26260,140272,81869
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,RURAL,196169,192321,1639,2209,59058,4267,106964,25880,105007,71535
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,URBAN,50787,49865,414,508,37818,3120,9469,380,35265,10334
NAROWAL,NAROWAL,DISTRICT,OVERALL,281536,278132,2095,1309,39184,19348,140540,82464,213993,44855
NAROWAL,NAROWAL,DISTRICT,RURAL,227230,224542,1605,1083,2274,11538,132658,80760,166603,42477
NAROWAL,NAROWAL,DISTRICT,URBAN,54306,53590,490,226,36910,7810,7882,1704,47390,2378
OKARA,OKARA,DISTRICT,OVERALL,549724,535069,4689,9966,199335,11496,276230,62663,283289,211468
OKARA,OKARA,DISTRICT,RURAL,360646,349265,3145,8236,61385,3328,237611,58322,156102,170424
OKARA,OKARA,DISTRICT,URBAN,189078,185804,1544,1730,137950,8168,38619,4341,127187,41044
PAKPATTAN,PAKPATTAN,DISTRICT,OVERALL,344546,333125,2353,9068,32750,14721,224631,72444,125292,188915
PAKPATTAN,PAKPATTAN,DISTRICT,RURAL,267416,257276,1906,8234,2458,4227,194148,66583,82593,162566
PAKPATTAN,PAKPATTAN,DISTRICT,URBAN,77130,75849,447,834,30292,10494,30483,5861,42699,26349
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,OVERALL,826942,747815,17929,61198,168406,16572,607097,34867,369736,383485
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,RURAL,617082,542746,16257,58079,34321,2831,548378,31552,229402,332915
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,URBAN,209860,205069,1672,3119,134085,13741,58719,3315,140334,50570
RAJANPUR,RAJANPUR,DISTRICT,OVERALL,354016,203209,40353,110454,3916,17766,310933,21401,121842,173520
RAJANPUR,RAJANPUR,DISTRICT,RURAL,257505,122332,35060,100113,1135,1046,237037,18287,72413,141919
RAJANPUR,RAJANPUR,DISTRICT,URBAN,96511,80877,5293,10341,2781,16720,73896,3114,49429,31601
RAWALPINDI,RAWALPINDI,DISTRICT,OVERALL,998000,982345,8865,6790,699289,73361,217507,7843,860367,43908
RAWALPINDI,RAWALPINDI,DISTRICT,RURAL,325262,318687,2996,3579,104768,25740,191930,2824,278397,26714
RAWALPINDI,RAWALPINDI,DISTRICT,URBAN,672738,663658,5869,3211,594521,47621,25577,5019,581970,17194
SAHIWAL,SAHIWAL,DISTRICT,OVERALL,446606,430605,3891,12110,100975,23891,306549,15191,247218,161308
SAHIWAL,SAHIWAL,DISTRICT,RURAL,324448,310890,2739,10819,20542,8348,281331,14227,160587,139569
SAHIWAL,SAHIWAL,DISTRICT,URBAN,122158,119715,1152,1291,80433,15543,25218,964,86631,21739
SARGODHA,SARGODHA,DISTRICT,OVERALL,684321,657987,8541,17793,292459,16576,361281,14005,442498,145850
SARGODHA,SARGODHA,DISTRICT,RURAL,424976,406190,6045,12741,103407,4085,306952,10532,250715,113193
SARGODHA,SARGODHA,DISTRICT,URBAN,259345,251797,2496,5052,189052,12491,54329,3473,191783,32657
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,OVERALL,593260,583434,5169,4657,321416,50960,171768,49116,423056,105662
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,RURAL,362146,356141,3181,2824,143394,27627,145942,45183,241060,80916
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,URBAN,231114,227293,1988,1833,178022,23333,25826,3933,181996,24746
SIALKOT,SIALKOT,DISTRICT,OVERALL,671320,661303,5458,4559,382226,73327,118266,97501,541028,66313
SIALKOT,SIALKOT,DISTRICT,RURAL,445606,439206,3187,3213,184857,57882,108929,93938,350510,54798
SIALKOT,SIALKOT,DISTRICT,URBAN,225714,222097,2271,1346,197369,15445,9337,3563,190518,11515
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,OVERALL,393896,380659,3581,9656,148949,9287,225954,9706,251337,109898
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,RURAL,302354,291191,2877,8286,72940,6354,214963,8097,184000,94116
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,URBAN,91542,89468,704,1370,76009,2933,10991,1609,67337,15782
VEHARI,VEHARI,DISTRICT,OVERALL,543036,524787,4330,13919,77259,23952,407202,34623,292708,200961
VEHARI,VEHARI,DISTRICT,RURAL,418471,403011,3258,12202,18749,7648,361173,30901,209078,171369
VEHARI,VEHARI,DISTRICT,URBAN,124565,121776,1072,1717,58510,16304,46029,3722,83630,29592
