name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
LODHRAN,LODHRAN,DISTRICT,OVERALL,323866,312562,251892,71974,52608,224694,2184,24451,2349,17580
LODHRAN,LODHRAN,DISTRICT,RURAL,267053,256379,205340,61713,47109,182648,1773,16474,2167,16882
LODHRAN,LODHRAN,DISTRICT,URBAN,56813,56183,46552,10261,5499,42046,411,7977,182,698
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,OVERALL,285989,280729,165495,120494,76897,159440,568,43416,251,5417
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,RURAL,230572,226344,142585,87987,70177,132394,487,23057,119,4338
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,URBAN,55417,54385,22910,32507,6720,27046,81,20359,132,1079
MIANWALI,MIANWALI,DISTRICT,OVERALL,296339,278416,250062,46277,88737,181728,5917,1643,232,18082
MIANWALI,MIANWALI,DISTRICT,RURAL,232193,215888,190082,42111,73911,134925,5639,1148,221,16349
MIANWALI,MIANWALI,DISTRICT,URBAN,64146,62528,59980,4166,14826,46803,278,495,11,1733
MULTAN,MULTAN,DISTRICT,OVERALL,886392,867724,734931,151461,141742,631922,2529,86811,2995,20393
MULTAN,MULTAN,DISTRICT,RURAL,476748,463901,409620,67128,83124,351064,1619,25811,628,14502
MULTAN,MULTAN,DISTRICT,URBAN,409644,403823,325311,84333,58618,280858,910,61000,2367,5891
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,OVERALL,804438,796037,756301,48137,364351,416951,1203,11603,315,10015
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,RURAL,652613,645384,615739,36874,315251,323872,1003,4073,174,8240
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,URBAN,151825,150653,140562,11263,49100,93079,200,7530,141,1775
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,OVERALL,246956,228307,80874,166082,39551,131395,641,47064,1148,27157
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,RURAL,196169,185702,72753,123416,33297,112502,524,35065,1022,13759
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,URBAN,50787,42605,8121,42666,6254,18893,117,11999,126,13398
NAROWAL,NAROWAL,DISTRICT,OVERALL,281536,278211,240332,41204,31478,232453,797,13464,33,3311
NAROWAL,NAROWAL,DISTRICT,RURAL,227230,224297,191559,35671,24474,188292,650,10867,26,2921
NAROWAL,NAROWAL,DISTRICT,URBAN,54306,53914,48773,5533,7004,44161,147,2597,7,390
OKARA,OKARA,DISTRICT,OVERALL,549724,539105,415744,133980,67009,407064,2761,58799,850,13241
OKARA,OKARA,DISTRICT,RURAL,360646,352755,273695,86951,50428,274356,2243,25026,164,8429
OKARA,OKARA,DISTRICT,URBAN,189078,186350,142049,47029,16581,132708,518,33773,686,4812
PAKPATTAN,PAKPATTAN,DISTRICT,OVERALL,344546,330777,288629,55917,53087,260406,2639,13892,200,14322
PAKPATTAN,PAKPATTAN,DISTRICT,RURAL,267416,256125,225052,42364,27366,215707,2445,10415,167,11316
PAKPATTAN,PAKPATTAN,DISTRICT,URBAN,77130,74652,63577,13553,25721,44699,194,3477,33,3006
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,OVERALL,826942,804941,570895,256047,282198,420731,2707,76089,6612,38605
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,RURAL,617082,600363,471059,146023,238836,330096,2295,23022,1477,21356
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,URBAN,209860,204578,99836,110024,43362,90635,412,53067,5135,17249
RAJANPUR,RAJANPUR,DISTRICT,OVERALL,354016,317781,271338,82678,143624,167535,5176,1741,2384,33556
RAJANPUR,RAJANPUR,DISTRICT,RURAL,257505,225543,185131,72374,111604,110034,4479,855,1639,28894
RAJANPUR,RAJANPUR,DISTRICT,URBAN,96511,92238,86207,10304,32020,57501,697,886,745,4662
RAWALPINDI,RAWALPINDI,DISTRICT,OVERALL,998000,925431,608526,389474,295339,439923,65199,88040,6828,102671
RAWALPINDI,RAWALPINDI,DISTRICT,RURAL,325262,271999,213774,111488,40885,187176,47202,1062,197,48740
RAWALPINDI,RAWALPINDI,DISTRICT,URBAN,672738,653432,394752,277986,254454,252747,17997,86978,6631,53931
SAHIWAL,SAHIWAL,DISTRICT,OVERALL,446606,438237,335800,110806,50187,313235,1134,72027,323,9700
SAHIWAL,SAHIWAL,DISTRICT,RURAL,324448,317425,243417,81031,41266,226380,816,47726,81,8179
SAHIWAL,SAHIWAL,DISTRICT,URBAN,122158,120812,92383,29775,8921,86855,318,24301,242,1521
SARGODHA,SARGODHA,DISTRICT,OVERALL,684321,660905,447926,236395,246312,344058,1446,32262,5190,55053
SARGODHA,SARGODHA,DISTRICT,RURAL,424976,416560,318383,106593,172594,235025,776,5045,105,11431
SARGODHA,SARGODHA,DISTRICT,URBAN,259345,244345,129543,129802,73718,109033,670,27217,5085,43622
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,OVERALL,593260,577250,422150,171110,95274,390024,2900,81527,555,22980
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,RURAL,362146,352730,268279,93867,55413,254154,1976,36391,202,14010
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,URBAN,231114,224520,153871,77243,39861,135870,924,45136,353,8970
SIALKOT,SIALKOT,DISTRICT,OVERALL,671320,664795,411849,259471,87329,397596,1860,177626,419,6490
SIALKOT,SIALKOT,DISTRICT,RURAL,445606,440952,290502,155104,47386,298310,1241,93896,197,4576
SIALKOT,SIALKOT,DISTRICT,URBAN,225714,223843,121347,104367,39943,99286,619,83730,222,1914
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,OVERALL,393896,379724,264396,129500,132324,205122,1652,32301,3870,18627
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,RURAL,302354,291720,213161,89193,103242,167353,1300,14692,1303,14464
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,URBAN,91542,88004,51235,40307,29082,37769,352,17609,2567,4163
VEHARI,VEHARI,DISTRICT,OVERALL,543036,528449,444737,98299,64148,408950,3123,51094,833,14888
VEHARI,VEHARI,DISTRICT,RURAL,418471,406895,355118,63353,45940,331341,2598,26368,537,11687
VEHARI,VEHARI,DISTRICT,URBAN,124565,121554,89619,34946,18208,77609,525,24726,296,3201
