name_admin_unit,part_of_district,admin_unit,disab_func_lim,age_group,overall,rural,urban
AWARAN,AWARAN,DISTRICT,Seeing,>18,1163,866,297
AWARAN,AWARAN,DISTRICT,Seeing,>60,662,474,188
AWARAN,AWARAN,DISTRICT,Self care etc,0 - 4,2,2,0
AWARAN,AWARAN,DISTRICT,Self care etc,10 - 12,3,3,0
AWARAN,AWARAN,DISTRICT,Self care etc,13 - 14,1,1,0
AWARAN,AWARAN,DISTRICT,Self care etc,15 - 24,10,10,0
AWARAN,AWARAN,DISTRICT,Self care etc,15 - 49,129,123,6
AWARAN,AWARAN,DISTRICT,Self care etc,25 - 40,49,49,0
AWARAN,AWARAN,DISTRICT,Self care etc,41 - 60,321,275,46
AWARAN,AWARAN,DISTRICT,Self care etc,5 - 16,8,8,0
AWARAN,AWARAN,DISTRICT,Self care etc,5 - 9,2,2,0
AWARAN,AWARAN,DISTRICT,Self care etc,>18,851,689,162
AWARAN,AWARAN,DISTRICT,Self care etc,>60,473,357,116
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,0 - 4,40,35,5
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,10 - 12,48,36,12
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,13 - 14,23,18,5
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,15 - 24,80,71,9
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,15 - 49,499,382,117
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,25 - 40,154,124,30
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,41 - 60,970,719,251
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,5 - 16,151,114,37
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,5 - 9,55,39,16
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,>18,2628,1933,695
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,>60,1460,1049,411
BARKHAN,BARKHAN,DISTRICT,Communication,0 - 4,43,41,2
BARKHAN,BARKHAN,DISTRICT,Communication,10 - 12,89,83,6
BARKHAN,BARKHAN,DISTRICT,Communication,13 - 14,38,37,1
BARKHAN,BARKHAN,DISTRICT,Communication,15 - 24,170,164,6
BARKHAN,BARKHAN,DISTRICT,Communication,15 - 49,766,709,57
BARKHAN,BARKHAN,DISTRICT,Communication,25 - 40,297,269,28
BARKHAN,BARKHAN,DISTRICT,Communication,41 - 60,858,781,77
BARKHAN,BARKHAN,DISTRICT,Communication,5 - 16,324,305,19
BARKHAN,BARKHAN,DISTRICT,Communication,5 - 9,153,142,11
BARKHAN,BARKHAN,DISTRICT,Communication,>18,2104,1932,172
BARKHAN,BARKHAN,DISTRICT,Communication,>60,860,795,65
BARKHAN,BARKHAN,DISTRICT,Disability,0 - 4,155,150,5
BARKHAN,BARKHAN,DISTRICT,Disability,10 - 12,177,169,8
BARKHAN,BARKHAN,DISTRICT,Disability,13 - 14,89,87,2
BARKHAN,BARKHAN,DISTRICT,Disability,15 - 24,364,351,13
BARKHAN,BARKHAN,DISTRICT,Disability,15 - 49,1267,1159,108
BARKHAN,BARKHAN,DISTRICT,Disability,25 - 40,542,501,41
BARKHAN,BARKHAN,DISTRICT,Disability,41 - 60,1085,970,115
BARKHAN,BARKHAN,DISTRICT,Disability,5 - 16,666,641,25
BARKHAN,BARKHAN,DISTRICT,Disability,5 - 9,307,292,15
BARKHAN,BARKHAN,DISTRICT,Disability,>18,3551,3286,265
BARKHAN,BARKHAN,DISTRICT,Disability,>60,1723,1624,99
BARKHAN,BARKHAN,DISTRICT,Functional limitation,0 - 4,220,212,8
BARKHAN,BARKHAN,DISTRICT,Functional limitation,10 - 12,246,235,11
BARKHAN,BARKHAN,DISTRICT,Functional limitation,13 - 14,115,111,4
BARKHAN,BARKHAN,DISTRICT,Functional limitation,15 - 24,812,747,65
BARKHAN,BARKHAN,DISTRICT,Functional limitation,15 - 49,6951,6358,593
BARKHAN,BARKHAN,DISTRICT,Functional limitation,25 - 40,2772,2537,235
BARKHAN,BARKHAN,DISTRICT,Functional limitation,41 - 60,9210,8420,790
BARKHAN,BARKHAN,DISTRICT,Functional limitation,5 - 16,852,816,36
BARKHAN,BARKHAN,DISTRICT,Functional limitation,5 - 9,374,356,18
BARKHAN,BARKHAN,DISTRICT,Functional limitation,>18,19557,17996,1561
BARKHAN,BARKHAN,DISTRICT,Functional limitation,>60,6974,6492,482
BARKHAN,BARKHAN,DISTRICT,Hearing,0 - 4,41,41,0
BARKHAN,BARKHAN,DISTRICT,Hearing,10 - 12,99,93,6
BARKHAN,BARKHAN,DISTRICT,Hearing,13 - 14,38,37,1
