name_admin_unit,part_of_district,admin_unit,language,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
BATAGRAM,BATAGRAM,DISTRICT,TOTAL,553285,272382,280893,10,553285,272382,280893,10,,,,
BATAGRAM,BATAGRAM,DISTRICT,URDU,340,173,167,,340,173,167,,,,,
BUNER,BUNER,DISTRICT,BALOCHI,662,386,276,,662,386,276,,,,,
BUNER,BUNER,DISTRICT,BALTI,,,,,,,,,,,,
BUNER,BUNER,DISTRICT,BRAHVI,11,9,2,,11,9,2,,,,,
BUNER,BUNER,DISTRICT,HINDKO,21023,10630,10392,1,21023,10630,10392,1,,,,
BUNER,BUNER,DISTRICT,KALASHA,,,,,,,,,,,,
BUNER,BUNER,DISTRICT,KASHMIRI,9,4,5,,9,4,5,,,,,
BUNER,BUNER,DISTRICT,KOHIOSTANI,969,473,496,,969,473,496,,,,,
BUNER,BUNER,DISTRICT,MEWATI,,,,,,,,,,,,
BUNER,BUNER,DISTRICT,OTHERS,18239,9126,9113,,18239,9126,9113,,,,,
BUNER,BUNER,DISTRICT,PUNJABI,162,70,92,,162,70,92,,,,,
BUNER,BUNER,DISTRICT,PUSHTO,975062,487582,487453,27,975062,487582,487453,27,,,,
BUNER,BUNER,DISTRICT,SARAIKI,51,25,26,,51,25,26,,,,,
BUNER,BUNER,DISTRICT,SHINA,,,,,,,,,,,,
BUNER,BUNER,DISTRICT,SINDHI,90,45,45,,90,45,45,,,,,
BUNER,BUNER,DISTRICT,TOTAL,1016674,508567,508079,28,1016674,508567,508079,28,,,,
BUNER,BUNER,DISTRICT,URDU,396,217,179,,396,217,179,,,,,
CHARSADDA,CHARSADDA,DISTRICT,BALOCHI,1313,705,608,,1061,577,484,,252,128,124,
CHARSADDA,CHARSADDA,DISTRICT,BALTI,1,1,,,1,1,,,,,,
CHARSADDA,CHARSADDA,DISTRICT,BRAHVI,,,,,,,,,,,,
