name_admin_unit,admin_units,part_of_district,urban_locality,region,all_sexes,male,female,tgend,population_2017,average_annual_growth_rate,household_size,note
NEW SUKKUR,TALUKA,SUKKUR,SUKKUR MUNICIPAL CORPORATION (Par NEW SUKKUR TALUKA,URBAN,296743,157014,139702,27,268942,1.65758872,6.77,Urban Localities
SUKKUR CITY,TALUKA,SUKKUR,SUKKUR MUNICIPAL CORPORATION (Par SUKKUR CITY TALUKA,URBAN,267108,141007,126087,14,231459,2.42292956,6.7,Urban Localities
PANO AQIL,TALUKA,SUKKUR,PANO AQIL TC,URBAN,76942,40270,36667,5,76015,.20277848,5.22,Urban Localities
ROHRI,TALUKA,SUKKUR,ROHRI MC,URBAN,92135,50284,41843,8,69944,4.71292885,7.43,Urban Localities
PANO AQIL,TALUKA,SUKKUR,PANO AQIL CANTONMENT,URBAN,25759,12792,12967,,24094,1.12299528,8.76,Urban Localities
SALEHPAT,TALUKA,SUKKUR,SALEHPAT TC,URBAN,29068,15348,13718,2,26925,1.28809831,5.3,Urban Localities
ROHRI,TALUKA,SUKKUR,KANDHRA TC,URBAN,21465,11657,9807,1,15798,5.25648956,6.97,Urban Localities
NEW SUKKUR,TALUKA,SUKKUR,BAGERJI TC,URBAN,5779,3178,2601,,7629,-4.53537462,6.68,Urban Localities
TANDO ALLAHYAR,TALUKA,TANDO ALLAHYAR,TANDO ALLAHYAR MC,URBAN,171185,86436,84737,12,162826,.84017262,5.49,Urban Localities
TANDO ALLAHYAR,TALUKA,TANDO ALLAHYAR,NASIRPUR TC,URBAN,35397,17920,17474,3,34561,.40024273,4.85,Urban Localities
CHAMBER,TALUKA,TANDO ALLAHYAR,CHAMBAR TC,URBAN,20037,10041,9995,1,17802,1.99622289,4.96,Urban Localities
JHANDO MARI,TALUKA,TANDO ALLAHYAR,PYARO LUND TC,URBAN,21427,10938,10489,,17999,2.95640805,5.52,Urban Localities
CHAMBER,TALUKA,TANDO ALLAHYAR,SANJAR CHANG TC,URBAN,17669,8858,8810,1,18383,-.6598649,4.89,Urban Localities
TANDO ALLAHYAR,TALUKA,TANDO ALLAHYAR,SULTANABAD TC,URBAN,19972,10114,9858,,16528,3.21378868,5.24,Urban Localities
TANDO MUHAMMAD KHAN,TALUKA,TANDO MUHAMMAD KHAN,TANDO MUHAMMAD KHAN MC,URBAN,114406,59294,55099,13,101868,1.95882953,5.11,Urban Localities
TANDO GHULAM HYDER,TALUKA,TANDO MUHAMMAD KHAN,TANDO GHULAM HYDER TC,URBAN,41277,21576,19700,1,33788,3.40239933,5.45,Urban Localities
BULRI SHAH KARIM,TALUKA,TANDO MUHAMMAD KHAN,BULRI SHAH KARIM TC,URBAN,6459,3337,3121,1,6381,.20325542,4.91,Urban Localities
MITHI,TALUKA,THARPARKAR,MITHI MC,URBAN,52376,27677,24698,1,47135,1.7776372,5.37,Urban Localities
CHACHRO,TALUKA,THARPARKAR,CHACHRO TC,URBAN,25309,13193,12116,,23315,1.38091141,5.31,Urban Localities
MITHI,TALUKA,THARPARKAR,CHELHAR TC,URBAN,12489,6406,6083,,11145,1.92103613,5.18,Urban Localities
DIPLO,TALUKA,THARPARKAR,DIPLO TC,URBAN,13257,6815,6440,2,13142,.14571208,4.72,Urban Localities
ISLAMKOT,TALUKA,THARPARKAR,ISLAMKOT TC,URBAN,19064,9769,9295,,18512,.49225794,5.16,Urban Localities
NAGAR PARKAR,TALUKA,THARPARKAR,NAGAR PARKAR TC,URBAN,12239,6268,5971,,11801,.61090986,4.84,Urban Localities
DAHLI,TALUKA,THARPARKAR,KHEME-JO-PAR TC,URBAN,9671,5348,4323,,7484,4.37754418,7.51,Urban Localities
THATTA,TALUKA,THATTA,MAKLI TC,URBAN,54137,27415,26722,,47239,2.30399507,5.85,Urban Localities
THATTA,TALUKA,THATTA,THATTA MC,URBAN,51723,26057,25659,7,54637,-.9117979899999999,5.49,Urban Localities
MIRPUR SAKRO,TALUKA,THATTA,GHARO TC,URBAN,40220,20342,19876,2,36799,1.49670857,5.94,Urban Localities
GHORABARI,TALUKA,THATTA,GARHO TC,URBAN,19961,10180,9781,,14179,5.88242947,5.5,Urban Localities
GHORABARI,TALUKA,THATTA,GHORABARI TC,URBAN,15184,7814,7370,,9023,9.087675340000001,5.89,Urban Localities
MIRPUR SAKRO,TALUKA,THATTA,MIRPUR SAKRO TC,URBAN,12454,6337,6114,3,10329,3.17603671,6.06,Urban Localities
UMER KOT,TALUKA,UMER KOT,UMERKOT MC,URBAN,144558,75407,69144,7,134196,1.25080872,4.82,Urban Localities
UMER KOT,TALUKA,UMER KOT,DHORONARO TC,URBAN,29507,15498,14009,,27996,.88236687,5.07,Urban Localities
KUNRI,TALUKA,UMER KOT,KUNRI TC,URBAN,26609,13565,13043,1,27993,-.84381646,5.97,Urban Localities
UMER KOT,TALUKA,UMER KOT,CHHORE OLD TC,URBAN,21178,11330,9848,,19930,1.02022029,5.28,Urban Localities
KUNRI,TALUKA,UMER KOT,NABI SAR ROAD TC,URBAN,14074,7360,6714,,11201,3.8895923,5.33,Urban Localities
PITHORO,TALUKA,UMER KOT,PITHORO TC,URBAN,7411,3889,3522,,6651,1.82468782,4.57,Urban Localities
SAMARO,TALUKA,UMER KOT,SAMARO TC,URBAN,9607,4975,4632,,9249,.63669403,5.3,Urban Localities
PITHORO,TALUKA,UMER KOT,SHADI PALI TC,URBAN,5915,3108,2805,2,6321,-1.10332969,5.43,Urban Localities
