name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
KASUR,KASUR,DISTRICT,RURAL,443044,397356,18403,22451,832,1370,2632,426613,11597,158217,171946,65435,47446
KASUR,KASUR,DISTRICT,URBAN,202264,164134,30781,4998,1008,220,1123,192469,7444,65941,77028,33361,25934
KHANEWAL,KHANEWAL,DISTRICT,OVERALL,526196,463466,26437,29336,2047,440,4470,498701,20538,133050,197141,105025,90980
KHANEWAL,KHANEWAL,DISTRICT,RURAL,410319,370830,8799,25851,636,332,3871,390988,14492,108979,157718,77824,65798
KHANEWAL,KHANEWAL,DISTRICT,URBAN,115877,92636,17638,3485,1411,108,599,107713,6046,24071,39423,27201,25182
KHUSHAB,KHUSHAB,DISTRICT,OVERALL,248304,222212,11600,9422,2206,552,2312,233470,9764,53030,91257,54346,49671
KHUSHAB,KHUSHAB,DISTRICT,RURAL,180583,167351,2719,7924,360,283,1946,170864,7130,40254,67670,37416,35243
KHUSHAB,KHUSHAB,DISTRICT,URBAN,67721,54861,8881,1498,1846,269,366,62606,2634,12776,23587,16930,14428
LAHORE,LAHORE,DISTRICT,OVERALL,2010225,1343960,576294,46196,29668,2934,11173,1871363,95087,381517,694564,449470,484674
LAHORE,LAHORE,DISTRICT,RURAL,,,,,,,,,,,,,
LAHORE,LAHORE,DISTRICT,URBAN,2010225,1343960,576294,46196,29668,2934,11173,1871363,95087,381517,694564,449470,484674
LAYYAH,LAYYAH,DISTRICT,OVERALL,341131,317812,11126,7652,934,316,3291,328814,7776,126981,120540,49512,44098
LAYYAH,LAYYAH,DISTRICT,RURAL,277326,264399,3093,6446,321,91,2976,268693,5245,114777,98127,34778,29644
LAYYAH,LAYYAH,DISTRICT,URBAN,63805,53413,8033,1206,613,225,315,60121,2531,12204,22413,14734,14454
LODHRAN,LODHRAN,DISTRICT,OVERALL,323866,301858,9332,9400,1206,160,1910,308865,11725,108191,114999,54131,46545
LODHRAN,LODHRAN,DISTRICT,RURAL,267053,253997,2746,7921,583,120,1686,255828,8836,92937,95140,42951,36025
LODHRAN,LODHRAN,DISTRICT,URBAN,56813,47861,6586,1479,623,40,224,53037,2889,15254,19859,11180,10520
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,OVERALL,285989,250561,17013,14133,1911,285,2086,267294,14413,46893,90915,67395,80786
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,RURAL,230572,208198,6154,12882,1310,253,1775,215863,11371,39375,74023,52866,64308
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,URBAN,55417,42363,10859,1251,601,32,311,51431,3042,7518,16892,14529,16478
MIANWALI,MIANWALI,DISTRICT,OVERALL,296339,265144,12486,9226,6307,1167,2009,276264,10592,69104,107095,62874,57266
MIANWALI,MIANWALI,DISTRICT,RURAL,232193,210555,5866,8125,4829,1137,1681,216159,8387,54077,82823,49183,46110
MIANWALI,MIANWALI,DISTRICT,URBAN,64146,54589,6620,1101,1478,30,328,60105,2205,15027,24272,13691,11156
MULTAN,MULTAN,DISTRICT,OVERALL,886392,742572,100800,29267,7672,1499,4582,831506,41133,276151,321777,156761,131703
MULTAN,MULTAN,DISTRICT,RURAL,476748,430785,21675,19988,978,584,2738,454226,18222,181059,175722,69299,50668
MULTAN,MULTAN,DISTRICT,URBAN,409644,311787,79125,9279,6694,915,1844,377280,22911,95092,146055,87462,81035
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,OVERALL,804438,763265,20523,10770,2548,1699,5633,770387,24171,374331,272008,93090,65009
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,RURAL,652613,629463,7568,9002,916,797,4867,628248,17785,324175,216036,67413,44989
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,URBAN,151825,133802,12955,1768,1632,902,766,142139,6386,50156,55972,25677,20020
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,OVERALL,246956,213764,17523,13606,472,264,1327,235603,9290,57276,91389,51077,47214
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,RURAL,196169,173394,8444,12934,185,226,986,188029,6743,47188,74191,39339,35451
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,URBAN,50787,40370,9079,672,287,38,341,47574,2547,10088,17198,11738,11763
NAROWAL,NAROWAL,DISTRICT,OVERALL,281536,265038,12205,3221,362,112,598,261779,18685,37692,89647,80824,73373
NAROWAL,NAROWAL,DISTRICT,RURAL,227230,219626,4255,2678,165,74,432,211495,15064,32278,72856,63336,58760
NAROWAL,NAROWAL,DISTRICT,URBAN,54306,45412,7950,543,197,38,166,50284,3621,5414,16791,17488,14613
OKARA,OKARA,DISTRICT,OVERALL,549724,465543,34977,38086,5664,586,4868,518712,19894,163754,214686,97472,73812
OKARA,OKARA,DISTRICT,RURAL,360646,315648,7269,31971,1166,428,4164,343501,11387,114992,141621,59821,44212
OKARA,OKARA,DISTRICT,URBAN,189078,149895,27708,6115,4498,158,704,175211,8507,48762,73065,37651,29600
PAKPATTAN,PAKPATTAN,DISTRICT,OVERALL,344546,296385,17513,26580,938,345,2785,326857,13621,124184,130148,51438,38776
PAKPATTAN,PAKPATTAN,DISTRICT,RURAL,267416,235514,5665,23038,431,306,2462,254943,9274,100730,102251,37452,26983
PAKPATTAN,PAKPATTAN,DISTRICT,URBAN,77130,60871,11848,3542,507,39,323,71914,4347,23454,27897,13986,11793
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,OVERALL,826942,725740,47199,40495,4274,1283,7951,787833,25601,281513,283685,141584,120160
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,RURAL,617082,562414,10310,34062,2599,1038,6659,591685,15101,236512,213686,93821,73063
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,URBAN,209860,163326,36889,6433,1675,245,1292,196148,10500,45001,69999,47763,47097
RAJANPUR,RAJANPUR,DISTRICT,OVERALL,354016,321090,12142,13242,1263,236,6043,336932,9542,199690,98414,33138,22774
RAJANPUR,RAJANPUR,DISTRICT,RURAL,257505,238842,2399,10550,418,141,5155,246017,5774,163239,63951,18584,11731
RAJANPUR,RAJANPUR,DISTRICT,URBAN,96511,82248,9743,2692,845,95,888,90915,3768,36451,34463,14554,11043
RAWALPINDI,RAWALPINDI,DISTRICT,OVERALL,998000,670535,261871,23384,37439,1394,3377,907535,48255,82555,316499,336091,262855
RAWALPINDI,RAWALPINDI,DISTRICT,RURAL,325262,293856,17358,11555,947,307,1239,304393,18376,25840,101975,106258,91189
RAWALPINDI,RAWALPINDI,DISTRICT,URBAN,672738,376679,244513,11829,36492,1087,2138,603142,29879,56715,214524,229833,171666
SAHIWAL,SAHIWAL,DISTRICT,OVERALL,446606,388846,32082,18021,3128,365,4164,419706,19243,100678,160567,97217,88144
SAHIWAL,SAHIWAL,DISTRICT,RURAL,324448,296039,9036,14566,1190,226,3391,306703,12938,77045,118957,68779,59667
SAHIWAL,SAHIWAL,DISTRICT,URBAN,122158,92807,23046,3455,1938,139,773,113003,6305,23633,41610,28438,28477
SARGODHA,SARGODHA,DISTRICT,OVERALL,684321,576976,55899,39056,6563,540,5287,646045,25886,174083,254607,138618,117013
SARGODHA,SARGODHA,DISTRICT,RURAL,424976,378596,11281,29789,1613,351,3346,404750,14916,119030,161646,79304,64996
SARGODHA,SARGODHA,DISTRICT,URBAN,259345,198380,44618,9267,4950,189,1941,241295,10970,55053,92961,59314,52017
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,OVERALL,593260,503979,69628,13536,1562,2500,2055,567682,19461,113649,208653,138430,132528
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,RURAL,362146,318644,29396,10294,389,2263,1160,347832,10502,74222,129972,81096,76856
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,URBAN,231114,185335,40232,3242,1173,237,895,219850,8959,39427,78681,57334,55672
SIALKOT,SIALKOT,DISTRICT,OVERALL,671320,579501,72419,12417,4693,425,1865,621830,42507,84475,201143,181670,204032
SIALKOT,SIALKOT,DISTRICT,RURAL,445606,405941,29107,8622,445,319,1172,414045,29625,59089,135386,119926,131205
SIALKOT,SIALKOT,DISTRICT,URBAN,225714,173560,43312,3795,4248,106,693,207785,12882,25386,65757,61744,72827
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,OVERALL,393896,352289,23079,12569,2521,397,3041,368546,19391,73856,135432,91322,93286
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,RURAL,302354,279856,8261,10886,606,318,2427,284855,14148,57257,105615,69034,70448
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,URBAN,91542,72433,14818,1683,1915,79,614,83691,5243,16599,29817,22288,22838
VEHARI,VEHARI,DISTRICT,OVERALL,543036,487643,26462,22843,1772,323,3993,515154,21794,129934,200574,112644,99884
VEHARI,VEHARI,DISTRICT,RURAL,418471,386682,7973,19607,716,258,3235,398761,15501,103944,157200,83942,73385
VEHARI,VEHARI,DISTRICT,URBAN,124565,100961,18489,3236,1056,65,758,116393,6293,25990,43374,28702,26499
