name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
LAYYAH,LAYYAH,DISTRICT,RURAL,290795,7,5,13,228100,52836,3817,1357,4660
LAYYAH,LAYYAH,DISTRICT,URBAN,92478,9,3,2,62980,24434,1524,565,2961
LODHRAN,LODHRAN,DISTRICT,OVERALL,348734,4,2,2,260778,69124,12834,1021,4969
LODHRAN,LODHRAN,DISTRICT,RURAL,282688,2,1,,213608,54796,9807,826,3648
LODHRAN,LODHRAN,DISTRICT,URBAN,66046,2,1,2,47170,14328,3027,195,1321
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,OVERALL,369618,151,34,126,281452,61382,14569,2165,9739
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,RURAL,302179,103,12,18,229683,52465,11006,1691,7201
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,URBAN,67439,48,22,108,51769,8917,3563,474,2538
MIANWALI,MIANWALI,DISTRICT,OVERALL,300477,140,3,23,248363,39020,4902,2487,5539
MIANWALI,MIANWALI,DISTRICT,RURAL,230542,51,2,3,195252,25130,3596,2126,4382
MIANWALI,MIANWALI,DISTRICT,URBAN,69935,89,1,20,53111,13890,1306,361,1157
MULTAN,MULTAN,DISTRICT,OVERALL,972232,222,109,132,746948,158785,36757,3625,25654
MULTAN,MULTAN,DISTRICT,RURAL,507736,26,12,37,392630,84867,15943,1826,12395
MULTAN,MULTAN,DISTRICT,URBAN,464496,196,97,95,354318,73918,20814,1799,13259
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,OVERALL,805147,111,10,52,626411,150742,10963,3081,13777
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,RURAL,621706,49,4,35,493307,108800,7397,2589,9525
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,URBAN,183441,62,6,17,133104,41942,3566,492,4252
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,OVERALL,285726,44,10,14,216411,46970,16349,1278,4650
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,RURAL,227457,31,2,6,172768,38846,11556,876,3372
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,URBAN,58269,13,8,8,43643,8124,4793,402,1278
NAROWAL,NAROWAL,DISTRICT,OVERALL,374395,80,14,20,282559,70569,9128,426,11599
NAROWAL,NAROWAL,DISTRICT,RURAL,305430,43,8,15,229971,59196,6866,291,9040
NAROWAL,NAROWAL,DISTRICT,URBAN,68965,37,6,5,52588,11373,2262,135,2559
OKARA,OKARA,DISTRICT,OVERALL,617701,96,32,24,481198,97216,27693,1373,10085
OKARA,OKARA,DISTRICT,RURAL,399511,4,,4,314599,63022,15441,973,5468
OKARA,OKARA,DISTRICT,URBAN,218190,92,32,20,166599,34194,12252,400,4617
PAKPATTAN,PAKPATTAN,DISTRICT,OVERALL,384755,15,7,19,301604,60005,14968,1374,6763
PAKPATTAN,PAKPATTAN,DISTRICT,RURAL,293247,2,1,8,233579,44094,10214,908,4441
PAKPATTAN,PAKPATTAN,DISTRICT,URBAN,91508,13,6,11,68025,15911,4754,466,2322
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,OVERALL,881248,154,41,73,709588,131427,23885,4865,11219
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,RURAL,638438,17,8,14,522889,94219,10871,4072,6352
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,URBAN,242810,137,33,59,186699,37208,13014,793,4867
RAJANPUR,RAJANPUR,DISTRICT,OVERALL,313313,42,2,89,239790,55182,4633,9421,4154
RAJANPUR,RAJANPUR,DISTRICT,RURAL,205259,2,2,9,162891,30416,1568,8143,2228
RAJANPUR,RAJANPUR,DISTRICT,URBAN,108054,40,,80,76899,24766,3065,1278,1926
RAWALPINDI,RAWALPINDI,DISTRICT,OVERALL,1039907,4832,552,1121,852588,93836,31955,3133,51891
RAWALPINDI,RAWALPINDI,DISTRICT,RURAL,415330,393,43,140,351035,35575,5626,1616,20903
RAWALPINDI,RAWALPINDI,DISTRICT,URBAN,624577,4439,509,981,501553,58261,26329,1517,30988
SAHIWAL,SAHIWAL,DISTRICT,OVERALL,516481,24,16,36,411696,71882,21444,1559,9824
SAHIWAL,SAHIWAL,DISTRICT,RURAL,381414,12,1,17,306532,53525,13611,990,6726
SAHIWAL,SAHIWAL,DISTRICT,URBAN,135067,12,15,19,105164,18357,7833,569,3098
SARGODHA,SARGODHA,DISTRICT,OVERALL,796374,393,33,61,630388,118594,23716,3172,20017
SARGODHA,SARGODHA,DISTRICT,RURAL,503248,53,3,23,398538,77719,13687,1957,11268
SARGODHA,SARGODHA,DISTRICT,URBAN,293126,340,30,38,231850,40875,10029,1215,8749
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,OVERALL,690439,696,32,135,530773,104641,33873,1720,18569
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,RURAL,431409,200,8,58,327729,71782,19298,841,11493
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,URBAN,259030,496,24,77,203044,32859,14575,879,7076
SIALKOT,SIALKOT,DISTRICT,OVERALL,839499,1117,73,202,653106,126666,23331,2473,32531
SIALKOT,SIALKOT,DISTRICT,RURAL,582753,408,30,71,455156,90488,13171,1467,21962
SIALKOT,SIALKOT,DISTRICT,URBAN,256746,709,43,131,197950,36178,10160,1006,10569
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,OVERALL,484187,245,7,47,387834,68724,16551,2756,8024
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,RURAL,372331,50,4,20,301710,51467,11522,2206,5353
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,URBAN,111856,195,3,27,86124,17257,5029,550,2671
VEHARI,VEHARI,DISTRICT,OVERALL,617587,171,14,64,485376,94944,24032,2383,10603
VEHARI,VEHARI,DISTRICT,RURAL,472730,108,5,48,372212,74674,17138,1390,7155
VEHARI,VEHARI,DISTRICT,URBAN,144857,63,9,16,113164,20270,6894,993,3448
