name_admin_unit,part_of_district,admin_unit,disab_func_lim,all_sexes_overall,male_overall,female_overall,all_sexes_rural,male_rural,female_rural,all_sexes_urban,male_urban,female_urban
CHINIOT,CHINIOT,DISTRICT,Self care etc,16290,8865,7425,11735,6343,5392,4555,2522,2033
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Population,3386575,1709631,1676944,2581903,1302395,1279508,804672,407236,397436
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Disability,117462,61010,56452,90170,46763,43407,27292,14247,13045
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Functional limitation,303568,153196,150372,227017,114274,112743,76551,38922,37629
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Seeing,53466,27170,26296,40111,20352,19759,13355,6818,6537
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Hearing,59761,30184,29577,44508,22417,22091,15253,7767,7486
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Walking/ Climbing,98353,50628,47725,73680,37843,35837,24673,12785,11888
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Communication,34379,18134,16245,25801,13610,12191,8578,4524,4054
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Memorization/ Focus,45391,23273,22118,33686,17098,16588,11705,6175,5530
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Self care etc,35635,17577,18058,26485,13088,13397,9150,4489,4661
FAISALABAD,FAISALABAD,DISTRICT,Population,9065306,4727144,4338162,4682740,2439247,2243493,4382566,2287897,2094669
FAISALABAD,FAISALABAD,DISTRICT,Disability,325590,184878,140712,174168,98053,76115,151422,86825,64597
FAISALABAD,FAISALABAD,DISTRICT,Functional limitation,838113,461494,376619,442692,242742,199950,395421,218752,176669
FAISALABAD,FAISALABAD,DISTRICT,Seeing,145838,80502,65336,75458,41753,33705,70380,38749,31631
FAISALABAD,FAISALABAD,DISTRICT,Hearing,165256,90172,75084,86499,46802,39697,78757,43370,35387
FAISALABAD,FAISALABAD,DISTRICT,Walking/ Climbing,272316,152818,119498,142022,79973,62049,130294,72845,57449
FAISALABAD,FAISALABAD,DISTRICT,Communication,99388,56088,43300,54758,31069,23689,44630,25019,19611
FAISALABAD,FAISALABAD,DISTRICT,Memorization/ Focus,125225,69990,55235,69515,38412,31103,55710,31578,24132
FAISALABAD,FAISALABAD,DISTRICT,Self care etc,99381,53872,45509,52611,27670,24941,46770,26202,20568
GUJRANWALA,GUJRANWALA,DISTRICT,Population,5940173,3019432,2920741,2365418,1193661,1171757,3574755,1825771,1748984
GUJRANWALA,GUJRANWALA,DISTRICT,Disability,176017,96098,79919,71740,38941,32799,104277,57157,47120
GUJRANWALA,GUJRANWALA,DISTRICT,Functional limitation,731556,376505,355051,295742,150981,144761,435814,225524,210290
GUJRANWALA,GUJRANWALA,DISTRICT,Seeing,131543,67865,63678,54480,27617,26863,77063,40248,36815
GUJRANWALA,GUJRANWALA,DISTRICT,Hearing,156409,80097,76312,64288,32558,31730,92121,47539,44582
GUJRANWALA,GUJRANWALA,DISTRICT,Walking/ Climbing,217305,113407,103898,87364,45306,42058,129941,68101,61840
GUJRANWALA,GUJRANWALA,DISTRICT,Communication,72789,38724,34065,30812,16451,14361,41977,22273,19704
GUJRANWALA,GUJRANWALA,DISTRICT,Memorization/ Focus,105868,55156,50712,43616,22805,20811,62252,32351,29901
GUJRANWALA,GUJRANWALA,DISTRICT,Self care etc,85555,43778,41777,33098,16781,16317,52457,26997,25460
GUJRAT,GUJRAT,DISTRICT,Population,3216000,1606791,1609209,1892820,934496,958324,1323180,672295,650885
GUJRAT,GUJRAT,DISTRICT,Disability,118220,70813,47407,72655,42333,30322,45565,28480,17085
GUJRAT,GUJRAT,DISTRICT,Functional limitation,441618,233516,208102,267892,139204,128688,173726,94312,79414
GUJRAT,GUJRAT,DISTRICT,Seeing,84237,43677,40560,51615,26448,25167,32622,17229,15393
GUJRAT,GUJRAT,DISTRICT,Hearing,91727,47549,44178,56174,28547,27627,35553,19002,16551
