name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
LORALAI,LORALAI,DISTRICT,OVERALL,38214,27735,13233,24981,8488,9190,8357,15,98,12066
LORALAI,LORALAI,DISTRICT,RURAL,30607,20447,11531,19076,5940,8549,7921,4,86,8107
LORALAI,LORALAI,DISTRICT,URBAN,7607,7288,1702,5905,2548,641,436,11,12,3959
MASTUNG,MASTUNG,DISTRICT,OVERALL,43695,33734,16425,27270,13961,7414,8242,41,288,13749
MASTUNG,MASTUNG,DISTRICT,RURAL,38262,28343,13007,25255,10247,6741,7960,37,269,13008
MASTUNG,MASTUNG,DISTRICT,URBAN,5433,5391,3418,2015,3714,673,282,4,19,741
MUSAKHEL,MUSAKHEL,DISTRICT,OVERALL,31252,12809,8028,23224,4714,4838,5639,3,11,16047
MUSAKHEL,MUSAKHEL,DISTRICT,RURAL,28892,10460,5895,22997,2467,4740,5633,3,11,16038
MUSAKHEL,MUSAKHEL,DISTRICT,URBAN,2360,2349,2133,227,2247,98,6,,,9
NASIRABAD,NASIRABAD,DISTRICT,OVERALL,87516,45550,28536,58980,23106,20306,4578,110,81,39335
NASIRABAD,NASIRABAD,DISTRICT,RURAL,73243,33534,18212,55031,16296,15376,4514,92,70,36895
NASIRABAD,NASIRABAD,DISTRICT,URBAN,14273,12016,10324,3949,6810,4930,64,18,11,2440
NUSHKI,NUSHKI,DISTRICT,OVERALL,31255,29338,19687,11568,23661,3658,1544,2,12,2378
NUSHKI,NUSHKI,DISTRICT,RURAL,23995,22140,14329,9666,16902,3554,1531,2,2,2004
NUSHKI,NUSHKI,DISTRICT,URBAN,7260,7198,5358,1902,6759,104,13,,10,374
PANJGUR,PANJGUR,DISTRICT,OVERALL,117089,85793,74208,42881,15983,18574,66562,10,494,15466
PANJGUR,PANJGUR,DISTRICT,RURAL,87916,63389,52010,35906,10553,16355,49681,7,158,11162
PANJGUR,PANJGUR,DISTRICT,URBAN,29173,22404,22198,6975,5430,2219,16881,3,336,4304
PISHIN,PISHIN,DISTRICT,OVERALL,147185,124316,83660,63525,87375,15708,12139,17,209,31737
PISHIN,PISHIN,DISTRICT,RURAL,105247,84938,57708,47539,57215,13156,10555,10,168,24143
PISHIN,PISHIN,DISTRICT,URBAN,41938,39378,25952,15986,30160,2552,1584,7,41,7594
QUETTA,QUETTA,DISTRICT,OVERALL,288459,272201,103102,185357,114526,21841,7059,1826,766,142441
QUETTA,QUETTA,DISTRICT,RURAL,127338,116621,38350,88988,38187,10100,5271,274,271,73235
QUETTA,QUETTA,DISTRICT,URBAN,161121,155580,64752,96369,76339,11741,1788,1552,495,69206
SHERANI,SHERANI,DISTRICT,OVERALL,36100,19266,18627,17473,2676,6654,11921,2,90,14757
SHERANI,SHERANI,DISTRICT,RURAL,36100,19266,18627,17473,2676,6654,11921,2,90,14757
SHERANI,SHERANI,DISTRICT,URBAN,,,,,,,,,,
SIBI,SIBI,DISTRICT,OVERALL,31296,21023,15110,16186,12842,5069,2096,8,46,11235
SIBI,SIBI,DISTRICT,RURAL,19771,11454,6232,13539,5427,3043,2040,5,46,9210
SIBI,SIBI,DISTRICT,URBAN,11525,9569,8878,2647,7415,2026,56,3,,2025
SOHBATPUR,SOHBATPUR,DISTRICT,OVERALL,33734,18191,10817,22917,7294,8300,1805,157,865,15313
SOHBATPUR,SOHBATPUR,DISTRICT,RURAL,31941,16582,9673,22268,6421,8191,1805,157,862,14505
SOHBATPUR,SOHBATPUR,DISTRICT,URBAN,1793,1609,1144,649,873,109,,,3,808
SURAB,SURAB,DISTRICT,OVERALL,51227,37171,15738,35489,10411,11612,18871,4,72,10257
SURAB,SURAB,DISTRICT,RURAL,45045,31321,12833,32212,7511,10945,18791,4,67,7727
SURAB,SURAB,DISTRICT,URBAN,6182,5850,2905,3277,2900,667,80,,5,2530
WASHUK,WASHUK,DISTRICT,OVERALL,49049,36126,14293,34756,6812,10970,27176,3,110,3978
WASHUK,WASHUK,DISTRICT,RURAL,41953,32124,12433,29520,5566,9820,23220,2,104,3241
WASHUK,WASHUK,DISTRICT,URBAN,7096,4002,1860,5236,1246,1150,3956,1,6,737
ZHOB,ZHOB,DISTRICT,OVERALL,47901,30953,27082,20819,12137,10106,14487,2,31,11138
ZHOB,ZHOB,DISTRICT,RURAL,41474,24585,21742,19732,7043,8910,14399,2,30,11090
ZHOB,ZHOB,DISTRICT,URBAN,6427,6368,5340,1087,5094,1196,88,,1,48
ZIARAT,ZIARAT,DISTRICT,OVERALL,22894,12479,5726,17168,1889,2968,5640,3,50,12344
ZIARAT,ZIARAT,DISTRICT,RURAL,17299,8345,2698,14601,535,2331,3559,3,44,10827
ZIARAT,ZIARAT,DISTRICT,URBAN,5595,4134,3028,2567,1354,637,2081,,6,1517
