name_admin_unit,part_of_district,admin_unit,region,households,toilet_separate,toilet_flush,toilet_non_flush,toilet_none,washroom_separate,washroom_none
SHAHEED BENAZIRABAD,SHAHEED BENAZIRABAD,DISTRICT,OVERALL,334356,159487,208519,37027,88810,147996,107457
SHAHEED BENAZIRABAD,SHAHEED BENAZIRABAD,DISTRICT,RURAL,233705,90675,117794,31831,84080,85659,94672
SHAHEED BENAZIRABAD,SHAHEED BENAZIRABAD,DISTRICT,URBAN,100651,68812,90725,5196,4730,62337,12785
SHIKARPUR,SHIKARPUR,DISTRICT,OVERALL,214824,98312,146199,30743,37882,96554,40991
SHIKARPUR,SHIKARPUR,DISTRICT,RURAL,162493,69821,99153,27207,36133,69644,38198
SHIKARPUR,SHIKARPUR,DISTRICT,URBAN,52331,28491,47046,3536,1749,26910,2793
SUJAWAL,SUJAWAL,DISTRICT,OVERALL,158854,62824,38915,40448,79491,67521,74323
SUJAWAL,SUJAWAL,DISTRICT,RURAL,142489,51433,24962,38567,78960,57029,73106
SUJAWAL,SUJAWAL,DISTRICT,URBAN,16365,11391,13953,1881,531,10492,1217
SUKKUR,SUKKUR,DISTRICT,OVERALL,268588,140624,199703,29265,39620,136994,46480
SUKKUR,SUKKUR,DISTRICT,RURAL,145392,56677,88136,21378,35878,53945,41543
SUKKUR,SUKKUR,DISTRICT,URBAN,123196,83947,111567,7887,3742,83049,4937
TANDO ALLAHYAR,TANDO ALLAHYAR,DISTRICT,OVERALL,177471,82910,100545,18391,58535,66375,76720
TANDO ALLAHYAR,TANDO ALLAHYAR,DISTRICT,RURAL,123667,50963,56722,15011,51934,39538,63395
TANDO ALLAHYAR,TANDO ALLAHYAR,DISTRICT,URBAN,53804,31947,43823,3380,6601,26837,13325
TANDO MUHAMMAD KHAN,TANDO MUHAMMAD KHAN,DISTRICT,OVERALL,143798,46928,49941,20446,73411,46572,74964
TANDO MUHAMMAD KHAN,TANDO MUHAMMAD KHAN,DISTRICT,RURAL,112538,32096,27537,19020,65981,32150,66930
TANDO MUHAMMAD KHAN,TANDO MUHAMMAD KHAN,DISTRICT,URBAN,31260,14832,22404,1426,7430,14422,8034
THARPARKAR,THARPARKAR,DISTRICT,OVERALL,327584,91988,95952,39075,192557,134214,134834
THARPARKAR,THARPARKAR,DISTRICT,RURAL,300328,76929,76932,36349,187047,117602,130361
THARPARKAR,THARPARKAR,DISTRICT,URBAN,27256,15059,19020,2726,5510,16612,4473
THATTA,THATTA,DISTRICT,OVERALL,206202,89315,63278,43259,99665,106370,81090
THATTA,THATTA,DISTRICT,RURAL,172496,67322,39991,38625,93880,83797,75760
THATTA,THATTA,DISTRICT,URBAN,33706,21993,23287,4634,5785,22573,5330
UMER KOT,UMER KOT,DISTRICT,OVERALL,222562,66358,72593,20979,128990,80302,111828
UMER KOT,UMER KOT,DISTRICT,RURAL,171106,40477,35282,17696,118128,53549,101604
UMER KOT,UMER KOT,DISTRICT,URBAN,51456,25881,37311,3283,10862,26753,10224
