name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
MARDAN,MARDAN,DISTRICT,URBAN,73866,28,15,27,58604,11043,1753,63,2333
MOHMAND,MOHMAND,DISTRICT,OVERALL,69022,,,2,55222,12024,483,40,1261
MOHMAND,MOHMAND,DISTRICT,RURAL,69022,,,2,55222,12024,483,40,1261
MOHMAND,MOHMAND,DISTRICT,URBAN,,,,,,,,,
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,OVERALL,63137,4,9,7,51845,9721,441,85,1026
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,RURAL,61645,4,9,7,51263,8833,420,85,1025
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,URBAN,1492,,,,582,888,21,,1
NOWSHERA,NOWSHERA,DISTRICT,OVERALL,268402,240,10,10,223963,28835,4005,257,11097
NOWSHERA,NOWSHERA,DISTRICT,RURAL,213121,73,4,2,179746,21057,2593,210,9450
NOWSHERA,NOWSHERA,DISTRICT,URBAN,55281,167,6,8,44217,7778,1412,47,1647
ORAKZAI,ORAKZAI,DISTRICT,OVERALL,34046,56,,,28997,4376,155,75,387
ORAKZAI,ORAKZAI,DISTRICT,RURAL,34046,56,,,28997,4376,155,75,387
ORAKZAI,ORAKZAI,DISTRICT,URBAN,,,,,,,,,
PESHAWAR,PESHAWAR,DISTRICT,OVERALL,589113,1127,529,464,489687,58164,16473,657,22056
PESHAWAR,PESHAWAR,DISTRICT,RURAL,339056,171,25,61,286150,31632,7203,515,13305
PESHAWAR,PESHAWAR,DISTRICT,URBAN,250057,956,504,403,203537,26532,9270,142,8751
SHANGLA,SHANGLA,DISTRICT,OVERALL,128066,45,17,50,96381,23440,2708,30,5410
SHANGLA,SHANGLA,DISTRICT,RURAL,128066,45,17,50,96381,23440,2708,30,5410
SHANGLA,SHANGLA,DISTRICT,URBAN,,,,,,,,,
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,OVERALL,96735,4,2,1,87959,7240,348,298,883
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,RURAL,96735,4,2,1,87959,7240,348,298,883
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,URBAN,,,,,,,,,
SWABI,SWABI,DISTRICT,OVERALL,316553,197,10,24,261887,41423,3956,267,8825
SWABI,SWABI,DISTRICT,RURAL,260734,195,5,19,215850,33766,3294,212,7429
SWABI,SWABI,DISTRICT,URBAN,55819,2,5,5,46037,7657,662,55,1396
SWAT,SWAT,DISTRICT,OVERALL,366911,225,149,141,294760,43573,12157,94,15852
SWAT,SWAT,DISTRICT,RURAL,255324,76,34,67,207854,28374,7331,74,11553
SWAT,SWAT,DISTRICT,URBAN,111587,149,115,74,86906,15199,4826,20,4299
TANK,TANK,DISTRICT,OVERALL,56910,,9,,45759,8923,702,271,1246
TANK,TANK,DISTRICT,RURAL,47150,,8,,39869,5460,594,271,948
TANK,TANK,DISTRICT,URBAN,9760,,1,,5890,3463,108,,298
TORGHAR,TORGHAR,DISTRICT,OVERALL,37827,3,,2,31829,5141,109,62,690
TORGHAR,TORGHAR,DISTRICT,RURAL,37827,3,,2,31829,5141,109,62,690
TORGHAR,TORGHAR,DISTRICT,URBAN,,,,,,,,,
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,OVERALL,53374,,2,,37144,13436,740,10,2042
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,RURAL,53374,,2,,37144,13436,740,10,2042
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,URBAN,,,,,,,,,
UPPER DIR,UPPER DIR,DISTRICT,OVERALL,135453,59,42,56,109247,18274,1837,52,5886
UPPER DIR,UPPER DIR,DISTRICT,RURAL,129427,53,32,43,104985,16883,1667,52,5712
UPPER DIR,UPPER DIR,DISTRICT,URBAN,6026,6,10,13,4262,1391,170,,174
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,OVERALL,40111,18,9,14,33713,3888,1000,891,578
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,RURAL,40111,18,9,14,33713,3888,1000,891,578
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,URBAN,,,,,,,,,
