name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
LORALAI,LORALAI,DISTRICT,OVERALL,38214,20929,13840,3445,417,1556,33541,2700,16784,4758
LORALAI,LORALAI,DISTRICT,RURAL,30607,13685,13560,3362,329,248,27445,2585,12633,4496
LORALAI,LORALAI,DISTRICT,URBAN,7607,7244,280,83,88,1308,6096,115,4151,262
MASTUNG,MASTUNG,DISTRICT,OVERALL,43695,31422,6369,5904,14741,146,27149,1659,28331,2352
MASTUNG,MASTUNG,DISTRICT,RURAL,38262,26068,6318,5876,9547,140,26943,1632,24380,2304
MASTUNG,MASTUNG,DISTRICT,URBAN,5433,5354,51,28,5194,6,206,27,3951,48
MUSAKHEL,MUSAKHEL,DISTRICT,OVERALL,31252,7738,14290,9224,154,91,28781,2226,12379,10572
MUSAKHEL,MUSAKHEL,DISTRICT,RURAL,28892,5482,14238,9172,120,77,26534,2161,11225,10464
MUSAKHEL,MUSAKHEL,DISTRICT,URBAN,2360,2256,52,52,34,14,2247,65,1154,108
NASIRABAD,NASIRABAD,DISTRICT,OVERALL,87516,61579,12392,13545,4086,269,55831,27330,28089,42306
NASIRABAD,NASIRABAD,DISTRICT,RURAL,73243,47831,12156,13256,271,116,47987,24869,22466,38641
NASIRABAD,NASIRABAD,DISTRICT,URBAN,14273,13748,236,289,3815,153,7844,2461,5623,3665
NUSHKI,NUSHKI,DISTRICT,OVERALL,31255,26467,3160,1628,1204,4682,24204,1165,20005,2965
NUSHKI,NUSHKI,DISTRICT,RURAL,23995,19353,3125,1517,734,2655,20192,414,14974,2702
NUSHKI,NUSHKI,DISTRICT,URBAN,7260,7114,35,111,470,2027,4012,751,5031,263
PANJGUR,PANJGUR,DISTRICT,OVERALL,117089,53694,26884,36511,2195,6527,96380,11987,53177,8783
PANJGUR,PANJGUR,DISTRICT,RURAL,87916,38326,18657,30933,1400,4373,75277,6866,43026,7400
PANJGUR,PANJGUR,DISTRICT,URBAN,29173,15368,8227,5578,795,2154,21103,5121,10151,1383
PISHIN,PISHIN,DISTRICT,OVERALL,147185,78700,59232,9253,57249,3465,76593,9878,66335,4287
PISHIN,PISHIN,DISTRICT,RURAL,105247,47332,51501,6414,37407,2309,58972,6559,46548,3220
PISHIN,PISHIN,DISTRICT,URBAN,41938,31368,7731,2839,19842,1156,17621,3319,19787,1067
QUETTA,QUETTA,DISTRICT,OVERALL,288459,268100,12863,7496,245436,4991,31242,6790,204246,5917
QUETTA,QUETTA,DISTRICT,RURAL,127338,112668,9585,5085,97078,1907,23653,4700,86633,3656
QUETTA,QUETTA,DISTRICT,URBAN,161121,155432,3278,2411,148358,3084,7589,2090,117613,2261
SHERANI,SHERANI,DISTRICT,OVERALL,36100,836,30990,4274,461,141,32666,2832,17244,2973
SHERANI,SHERANI,DISTRICT,RURAL,36100,836,30990,4274,461,141,32666,2832,17244,2973
SHERANI,SHERANI,DISTRICT,URBAN,,,,,,,,,,
SIBI,SIBI,DISTRICT,OVERALL,31296,21884,6352,3060,10354,141,19978,823,15383,6203
SIBI,SIBI,DISTRICT,RURAL,19771,10689,6107,2975,2258,106,16651,756,9638,4377
