name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
NASIRABAD,NASIRABAD,DISTRICT,OVERALL,85630,28,1,14,69109,9101,307,5712,1358
NASIRABAD,NASIRABAD,DISTRICT,RURAL,71016,1,,1,58455,5720,194,5552,1093
NASIRABAD,NASIRABAD,DISTRICT,URBAN,14614,27,1,13,10654,3381,113,160,265
NUSHKI,NUSHKI,DISTRICT,OVERALL,35414,4,1,5,29156,5170,238,88,752
NUSHKI,NUSHKI,DISTRICT,RURAL,26625,3,,2,23129,2713,152,88,538
NUSHKI,NUSHKI,DISTRICT,URBAN,8789,1,1,3,6027,2457,86,,214
PANJGUR,PANJGUR,DISTRICT,OVERALL,69759,8,7,11,57878,1649,715,4593,4898
PANJGUR,PANJGUR,DISTRICT,RURAL,55940,6,6,6,46969,1168,576,4568,2641
PANJGUR,PANJGUR,DISTRICT,URBAN,13819,2,1,5,10909,481,139,25,2257
PISHIN,PISHIN,DISTRICT,OVERALL,102072,3,3,7,83306,13970,1008,1296,2479
PISHIN,PISHIN,DISTRICT,RURAL,63555,,,,54609,5854,619,1192,1281
PISHIN,PISHIN,DISTRICT,URBAN,38517,3,3,7,28697,8116,389,104,1198
QUETTA,QUETTA,DISTRICT,OVERALL,348742,1186,177,525,266733,57902,7753,2629,11837
QUETTA,QUETTA,DISTRICT,RURAL,147021,103,7,52,114211,22367,3025,2008,5248
QUETTA,QUETTA,DISTRICT,URBAN,201721,1083,170,473,152522,35535,4728,621,6589
SHERANI,SHERANI,DISTRICT,OVERALL,24093,,,,22623,892,233,201,144
SHERANI,SHERANI,DISTRICT,RURAL,24093,,,,22623,892,233,201,144
SHERANI,SHERANI,DISTRICT,URBAN,,,,,,,,,
SIBI,SIBI,DISTRICT,OVERALL,39266,1,,4,30583,5107,292,2894,385
SIBI,SIBI,DISTRICT,RURAL,25568,1,,,20095,2284,112,2861,215
SIBI,SIBI,DISTRICT,URBAN,13698,,,4,10488,2823,180,33,170
SOHBATPUR,SOHBATPUR,DISTRICT,OVERALL,36622,,,,27006,4302,120,5022,172
SOHBATPUR,SOHBATPUR,DISTRICT,RURAL,34603,,,,25678,3725,101,4935,164
SOHBATPUR,SOHBATPUR,DISTRICT,URBAN,2019,,,,1328,577,19,87,8
SURAB,SURAB,DISTRICT,OVERALL,49868,10,,,42049,4295,395,2504,615
SURAB,SURAB,DISTRICT,RURAL,43176,10,,,37015,2829,353,2500,469
SURAB,SURAB,DISTRICT,URBAN,6692,,,,5034,1466,42,4,146
WASHUK,WASHUK,DISTRICT,OVERALL,81445,,,,67555,2720,244,8980,1946
WASHUK,WASHUK,DISTRICT,RURAL,74454,,,,62459,2170,215,7788,1822
WASHUK,WASHUK,DISTRICT,URBAN,6991,,,,5096,550,29,1192,124
ZHOB,ZHOB,DISTRICT,OVERALL,54613,42,2,6,44871,7923,496,771,504
ZHOB,ZHOB,DISTRICT,RURAL,45592,40,1,,40067,4007,317,771,389
ZHOB,ZHOB,DISTRICT,URBAN,9021,2,1,6,4804,3916,179,,115
ZIARAT,ZIARAT,DISTRICT,OVERALL,21773,1,1,,17471,3672,88,177,364
ZIARAT,ZIARAT,DISTRICT,RURAL,15315,1,1,,13116,1695,54,167,282
ZIARAT,ZIARAT,DISTRICT,URBAN,6458,,,,4355,1977,34,10,82
