name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
DERA ISMAIL KHAN,DISTRICT,DERA ISMAIL KHAN,RURAL,"2,000 -- 4,999",104,335248,175507,159735,6,Rural Localities
DERA ISMAIL KHAN,DISTRICT,DERA ISMAIL KHAN,RURAL,"1,000 -- 1,999",72,104351,54436,49915,,Rural Localities
DERA ISMAIL KHAN,DISTRICT,DERA ISMAIL KHAN,RURAL,500 -- 999,43,32153,16835,15318,,Rural Localities
DERA ISMAIL KHAN,DISTRICT,DERA ISMAIL KHAN,RURAL,200 -- 499,32,10715,5704,5011,,Rural Localities
DERA ISMAIL KHAN,DISTRICT,DERA ISMAIL KHAN,RURAL,LESS THAN 200,48,3581,1938,1643,,Rural Localities
DERA ISMAIL KHAN,DISTRICT,DERA ISMAIL KHAN,RURAL,UN-INHABITED,17,,,,,Rural Localities
HANGU,DISTRICT,HANGU,RURAL,OVERALL,48,443175,216894,226277,4,Rural Localities
HANGU,DISTRICT,HANGU,RURAL,"5,000 AND ABOVE",26,406164,198788,207372,4,Rural Localities
HANGU,DISTRICT,HANGU,RURAL,"2,000 -- 4,999",8,23621,11515,12106,,Rural Localities
HANGU,DISTRICT,HANGU,RURAL,"1,000 -- 1,999",5,7237,3593,3644,,Rural Localities
HANGU,DISTRICT,HANGU,RURAL,500 -- 999,7,5489,2641,2848,,Rural Localities
HANGU,DISTRICT,HANGU,RURAL,200 -- 499,2,664,357,307,,Rural Localities
HANGU,DISTRICT,HANGU,RURAL,LESS THAN 200,,,,,,Rural Localities
HANGU,DISTRICT,HANGU,RURAL,UN-INHABITED,,,,,,Rural Localities
HARIPUR,DISTRICT,HARIPUR,RURAL,OVERALL,362,1027018,517365,509638,15,Rural Localities
HARIPUR,DISTRICT,HARIPUR,RURAL,"5,000 AND ABOVE",50,505729,256735,248983,11,Rural Localities
HARIPUR,DISTRICT,HARIPUR,RURAL,"2,000 -- 4,999",106,341779,171080,170695,4,Rural Localities
HARIPUR,DISTRICT,HARIPUR,RURAL,"1,000 -- 1,999",84,124617,61872,62745,,Rural Localities
HARIPUR,DISTRICT,HARIPUR,RURAL,500 -- 999,57,42238,21114,21124,,Rural Localities
HARIPUR,DISTRICT,HARIPUR,RURAL,200 -- 499,29,10183,5230,4953,,Rural Localities
HARIPUR,DISTRICT,HARIPUR,RURAL,LESS THAN 200,32,2472,1334,1138,,Rural Localities
HARIPUR,DISTRICT,HARIPUR,RURAL,UN-INHABITED,4,,,,,Rural Localities
KARAK,DISTRICT,KARAK,RURAL,OVERALL,119,757813,391202,366600,11,Rural Localities
KARAK,DISTRICT,KARAK,RURAL,"5,000 AND ABOVE",40,601905,311997,289900,8,Rural Localities
KARAK,DISTRICT,KARAK,RURAL,"2,000 -- 4,999",36,115947,58878,57067,2,Rural Localities
KARAK,DISTRICT,KARAK,RURAL,"1,000 -- 1,999",18,26583,13495,13087,1,Rural Localities
KARAK,DISTRICT,KARAK,RURAL,500 -- 999,12,10217,5191,5026,,Rural Localities
KARAK,DISTRICT,KARAK,RURAL,200 -- 499,9,3014,1556,1458,,Rural Localities
KARAK,DISTRICT,KARAK,RURAL,LESS THAN 200,1,147,85,62,,Rural Localities
KARAK,DISTRICT,KARAK,RURAL,UN-INHABITED,3,,,,,Rural Localities
KHYBER,DISTRICT,KHYBER,RURAL,OVERALL,112,1051560,548551,502999,10,Rural Localities
KHYBER,DISTRICT,KHYBER,RURAL,"5,000 AND ABOVE",46,888080,462679,425392,9,Rural Localities
KHYBER,DISTRICT,KHYBER,RURAL,"2,000 -- 4,999",38,133589,70202,63386,1,Rural Localities
KHYBER,DISTRICT,KHYBER,RURAL,"1,000 -- 1,999",16,23597,12234,11363,,Rural Localities
KHYBER,DISTRICT,KHYBER,RURAL,500 -- 999,6,4570,2425,2145,,Rural Localities
KHYBER,DISTRICT,KHYBER,RURAL,200 -- 499,5,1525,906,619,,Rural Localities
KHYBER,DISTRICT,KHYBER,RURAL,LESS THAN 200,1,199,105,94,,Rural Localities
KHYBER,DISTRICT,KHYBER,RURAL,UN-INHABITED,,,,,,Rural Localities
KOHAT,DISTRICT,KOHAT,RURAL,OVERALL,149,955920,484870,471041,9,Rural Localities
KOHAT,DISTRICT,KOHAT,RURAL,"5,000 AND ABOVE",58,787109,399882,387221,6,Rural Localities
KOHAT,DISTRICT,KOHAT,RURAL,"2,000 -- 4,999",42,126642,63339,63303,,Rural Localities
KOHAT,DISTRICT,KOHAT,RURAL,"1,000 -- 1,999",21,32257,16493,15762,2,Rural Localities
KOHAT,DISTRICT,KOHAT,RURAL,500 -- 999,8,5990,3144,2846,,Rural Localities
KOHAT,DISTRICT,KOHAT,RURAL,200 -- 499,10,3381,1752,1628,1,Rural Localities
KOHAT,DISTRICT,KOHAT,RURAL,LESS THAN 200,7,541,260,281,,Rural Localities
KOHAT,DISTRICT,KOHAT,RURAL,UN-INHABITED,3,,,,,Rural Localities
KOLAI PALAS KOHISTAN,DISTRICT,KOLAI PALAS KOHISTAN,RURAL,OVERALL,563,280162,142588,137572,2,Rural Localities
KOLAI PALAS KOHISTAN,DISTRICT,KOLAI PALAS KOHISTAN,RURAL,"5,000 AND ABOVE",1,6205,2797,3408,,Rural Localities
KOLAI PALAS KOHISTAN,DISTRICT,KOLAI PALAS KOHISTAN,RURAL,"2,000 -- 4,999",18,47960,24760,23199,1,Rural Localities
KOLAI PALAS KOHISTAN,DISTRICT,KOLAI PALAS KOHISTAN,RURAL,"1,000 -- 1,999",60,80065,41159,38905,1,Rural Localities
KOLAI PALAS KOHISTAN,DISTRICT,KOLAI PALAS KOHISTAN,RURAL,500 -- 999,95,65361,33613,31748,,Rural Localities
KOLAI PALAS KOHISTAN,DISTRICT,KOLAI PALAS KOHISTAN,RURAL,200 -- 499,178,58796,29506,29290,,Rural Localities
KOLAI PALAS KOHISTAN,DISTRICT,KOLAI PALAS KOHISTAN,RURAL,LESS THAN 200,197,21775,10753,11022,,Rural Localities
KOLAI PALAS KOHISTAN,DISTRICT,KOLAI PALAS KOHISTAN,RURAL,UN-INHABITED,14,,,,,Rural Localities
KURRAM,DISTRICT,KURRAM,RURAL,OVERALL,306,739963,382747,357202,14,Rural Localities
KURRAM,DISTRICT,KURRAM,RURAL,"5,000 AND ABOVE",32,323047,165562,157481,4,Rural Localities
KURRAM,DISTRICT,KURRAM,RURAL,"2,000 -- 4,999",75,242354,126550,115798,6,Rural Localities
KURRAM,DISTRICT,KURRAM,RURAL,"1,000 -- 1,999",88,128312,66767,61541,4,Rural Localities
KURRAM,DISTRICT,KURRAM,RURAL,500 -- 999,43,31638,16319,15319,,Rural Localities
KURRAM,DISTRICT,KURRAM,RURAL,200 -- 499,39,13077,6717,6360,,Rural Localities
KURRAM,DISTRICT,KURRAM,RURAL,LESS THAN 200,24,1535,832,703,,Rural Localities
KURRAM,DISTRICT,KURRAM,RURAL,UN-INHABITED,5,,,,,Rural Localities
LAKKI MARWAT,DISTRICT,LAKKI MARWAT,RURAL,OVERALL,203,937767,474909,462846,12,Rural Localities
LAKKI MARWAT,DISTRICT,LAKKI MARWAT,RURAL,"5,000 AND ABOVE",62,696253,353826,342415,12,Rural Localities
LAKKI MARWAT,DISTRICT,LAKKI MARWAT,RURAL,"2,000 -- 4,999",52,167713,83659,84054,,Rural Localities
LAKKI MARWAT,DISTRICT,LAKKI MARWAT,RURAL,"1,000 -- 1,999",33,48412,24508,23904,,Rural Localities
LAKKI MARWAT,DISTRICT,LAKKI MARWAT,RURAL,500 -- 999,21,15329,7728,7601,,Rural Localities
LAKKI MARWAT,DISTRICT,LAKKI MARWAT,RURAL,200 -- 499,26,8874,4564,4310,,Rural Localities
LAKKI MARWAT,DISTRICT,LAKKI MARWAT,RURAL,LESS THAN 200,9,1186,624,562,,Rural Localities
LAKKI MARWAT,DISTRICT,LAKKI MARWAT,RURAL,UN-INHABITED,,,,,,Rural Localities
LOWER CHITRAL,DISTRICT,LOWER CHITRAL ,RURAL,OVERALL,307,263250,134302,128948,,Rural Localities
LOWER CHITRAL,DISTRICT,LOWER CHITRAL ,RURAL,"5,000 AND ABOVE",,,,,,Rural Localities
