name_admin_unit,admin_units,part_of_district,urban_locality,region,all_sexes,male,female,tgend,population_2017,average_annual_growth_rate,household_size,note
ATTOCK,TEHSIL,ATTOCK,ATTOCK MC,URBAN,142826,72209,70594,23,121054,2.8,6.03,Urban Localities
FATEH JANG,TEHSIL,ATTOCK,FATEH JANG MC,URBAN,81321,41020,40289,12,66500,3.42,6.46,Urban Localities
HASAN ABDAL,TEHSIL,ATTOCK,HASAN ABDAL MC,URBAN,69529,35579,33938,12,63218,1.6,6.33,Urban Localities
JAND,TEHSIL,ATTOCK,JAND MC,URBAN,56254,27724,28526,4,48194,2.62,5.71,Urban Localities
ATTOCK,TEHSIL,ATTOCK,KAMRA CANTONMENT,URBAN,67425,33634,33791,,54847,3.51,7.46,Urban Localities
PINDI GHEB,TEHSIL,ATTOCK,PINDI GHEB MC,URBAN,63810,32561,31241,8,45195,5.93,6.04,Urban Localities
ATTOCK,TEHSIL,ATTOCK,ATTOCK CANTONMENT,URBAN,33718,16332,17386,,25729,4.62,9.130000000000001,Urban Localities
HAZRO,TEHSIL,ATTOCK,HAZRO MC,URBAN,44242,22296,21942,4,39556,1.89,6.66,Urban Localities
ATTOCK,TEHSIL,ATTOCK,MIRZA TC,URBAN,34378,17006,17372,,,,6.37,Urban Localities
HAZRO,TEHSIL,ATTOCK,GHUR GHUSHTI MC,URBAN,18730,9461,9269,,15752,2.94,6.56,Urban Localities
ATTOCK,TEHSIL,ATTOCK,SANJWAL CANTONMENT,URBAN,11751,6054,5697,,10863,1.32,5.57,Urban Localities
BAHAWALNAGAR,TEHSIL,BAHAWALNAGAR,BAHAWALNAGAR MC,URBAN,241873,126278,115532,63,160883,7.05,6.12,Urban Localities
CHISHTIAN,TEHSIL,BAHAWALNAGAR,CHISHTIAN MC,URBAN,192403,99585,92765,53,149424,4.32,6.09,Urban Localities
HAROONABAD,TEHSIL,BAHAWALNAGAR,HAROONABAD MC,URBAN,149679,77193,72422,64,107680,5.66,6.24,Urban Localities
HAROONABAD,TEHSIL,BAHAWALNAGAR,FAQIR WALI TC,URBAN,61586,32181,29389,16,34920,9.949999999999999,6.4,Urban Localities
FORT ABBAS,TEHSIL,BAHAWALNAGAR,FORT ABBAS MC,URBAN,83192,43584,39591,17,61528,5.17,6.52,Urban Localities
MINCHINABAD,TEHSIL,BAHAWALNAGAR,MINCHINABAD MC,URBAN,67164,34763,32399,2,56563,2.91,6.14,Urban Localities
MINCHINABAD,TEHSIL,BAHAWALNAGAR,AHMED PUR MECLEOD GUNJ TC,URBAN,25997,13488,12494,15,,,6.15,Urban Localities
CHISHTIAN,TEHSIL,BAHAWALNAGAR,DAHARANWALA TC,URBAN,37126,19063,18043,20,,,6.2,Urban Localities
BAHAWALNAGAR,TEHSIL,BAHAWALNAGAR,DONGA BONGA MC,URBAN,39150,20294,18849,7,32957,2.92,6.28,Urban Localities
FORT ABBAS,TEHSIL,BAHAWALNAGAR,KHICHI WALA TC,URBAN,26545,13836,12706,3,,,6.86,Urban Localities
MINCHINABAD,TEHSIL,BAHAWALNAGAR,MANDI SADIQ GANJ TC,URBAN,25075,13082,11989,4,15731,8.1,6.47,Urban Localities
FORT ABBAS,TEHSIL,BAHAWALNAGAR,MAROOT TC,URBAN,24328,12831,11491,6,,,6.67,Urban Localities
BAHAWALPUR CITY,TEHSIL,BAHAWALPUR,BAHAWALPUR METROPOLITAN CORPOR BAHAWALPUR CITY TEHSIL,URBAN,815202,414878,400222,102,682116,3.02,6.17,Urban Localities
AHMADPUR EAST,TEHSIL,BAHAWALPUR,AHMADPUR EAST MC,URBAN,196618,100591,95929,98,133426,6.69,6.57,Urban Localities
HASILPUR,TEHSIL,BAHAWALPUR,HASILPUR MC,URBAN,168146,83829,84287,30,115613,6.46,5.97,Urban Localities
BAHAWALPUR SADDAR,TEHSIL,BAHAWALPUR,BAHAWALPUR CANTONMENT,URBAN,88593,46443,42145,5,80658,1.58,6.83,Urban Localities
AHMADPUR EAST,TEHSIL,BAHAWALPUR,UCH SHARIF MC,URBAN,98852,50041,48800,11,42684,15.07,7.15,Urban Localities
YAZMAN,TEHSIL,BAHAWALPUR,YAZMAN MC,URBAN,60738,30180,30539,19,48883,3.7,6.04,Urban Localities
AHMADPUR EAST,TEHSIL,BAHAWALPUR,CHANI GOTH TC,URBAN,25722,13103,12616,3,,,7.36,Urban Localities
KHAIRPUR TAMEWALI,TEHSIL,BAHAWALPUR,KHAIRPUR TAMEWALI MC,URBAN,47284,23782,23497,5,41492,2.21,5.94,Urban Localities
BAHAWALPUR SADDAR,TEHSIL,BAHAWALPUR,KHANQAH SHARIF TC,URBAN,32739,16743,15973,23,,,6.41,Urban Localities
AHMADPUR EAST,TEHSIL,BAHAWALPUR,MUBARAK PUR TC,URBAN,27503,13987,13515,1,,,7.14,Urban Localities
HASILPUR,TEHSIL,BAHAWALPUR,QAIM PUR TC,URBAN,28302,14346,13951,5,,,6.14,Urban Localities
BAHAWALPUR SADDAR,TEHSIL,BAHAWALPUR,SAMASATTA TC,URBAN,29622,15411,14181,30,27290,1.38,6.03,Urban Localities
BHAKKAR,TEHSIL,BHAKKAR,BHAKKAR MC,URBAN,131658,68590,63048,20,112807,2.62,6.26,Urban Localities
DARYA KHAN,TEHSIL,BHAKKAR,DARYA KHAN MC,URBAN,68622,35382,33222,18,60856,2.03,5.87,Urban Localities
DARYA KHAN,TEHSIL,BHAKKAR,DULLEWALA MC,URBAN,25276,13057,12219,,19565,4.37,6.2,Urban Localities
MANKERA,TEHSIL,BHAKKAR,HYDERABAD TC,URBAN,25319,13267,12052,,,,5.96,Urban Localities
KALUR KOT,TEHSIL,BHAKKAR,KALUR KOT MC,URBAN,34319,17810,16508,1,29368,2.64,7.27,Urban Localities
BHAKKAR,TEHSIL,BHAKKAR,KOTLA JAM DAGGER TC,URBAN,27726,14569,13157,,,,6.88,Urban Localities
KALUR KOT,TEHSIL,BHAKKAR,JANDANWALA MC,URBAN,21280,10885,10395,,22913,-1.23,7.16,Urban Localities
MANKERA,TEHSIL,BHAKKAR,MANKERA MC,URBAN,18234,9599,8633,2,14145,4.34,5.37,Urban Localities
CHAKWAL,TEHSIL,CHAKWAL,CHAKWAL MC,URBAN,218356,108856,109453,47,138214,7.94,6.17,Urban Localities
TALA GANG,TEHSIL,CHAKWAL,TALAGANG MC,URBAN,79431,40147,39274,10,64083,3.65,5.75,Urban Localities
CHOA SAIDAN SHAH,TEHSIL,CHAKWAL,CHOA SAIDAN SHAH MC,URBAN,41074,20773,20285,16,22574,10.52,6.73,Urban Localities
CHAKWAL,TEHSIL,CHAKWAL,DHUDIAL TC,URBAN,25686,12518,13168,,,,6.38,Urban Localities
KALLAR KAHAR,TEHSIL,CHAKWAL,KALLAR KAHAR MC,URBAN,27928,15109,12818,1,24283,2.36,6.11,Urban Localities
KALLAR KAHAR,TEHSIL,CHAKWAL,BHAUN MC,URBAN,21711,11165,10546,,18859,2.38,6,Urban Localities
LAWA,TEHSIL,CHAKWAL,LAWA MC,URBAN,20619,10308,10311,,15595,4.78,6.68,Urban Localities
CHINIOT,TEHSIL,CHINIOT,CHINIOT MC,URBAN,318165,161776,156337,52,278528,2.25,6.04,Urban Localities
LALIAN,TEHSIL,CHINIOT,CHENAB NAGAR MC,URBAN,81695,40302,41393,,64204,4.11,5.36,Urban Localities
LALIAN,TEHSIL,CHINIOT,LALIAN MC,URBAN,52542,26246,26240,56,45411,2.47,5.77,Urban Localities
BHAWANA,TEHSIL,CHINIOT,BHAWANA MC,URBAN,39270,19699,19561,10,34087,2.39,6.44,Urban Localities
DERA GHAZI KHAN,TEHSIL,DERA GHAZI KHAN,DERA GHAZI KHAN MUNICIPAL CORPORADERA GHAZI KHAN TEHSIL,URBAN,494464,250699,243723,42,397362,3.72,7.11,Urban Localities
TAUNSA,TEHSIL,DERA GHAZI KHAN,TAUNSA MC,URBAN,115704,58932,56760,12,97193,2.96,6.02,Urban Localities
KOT CHHUTTA,TEHSIL,DERA GHAZI KHAN,KOT CHHUTA MC,URBAN,59870,29711,30129,30,51666,2.49,7.64,Urban Localities
KOT CHHUTTA,TEHSIL,DERA GHAZI KHAN,CHOTI ZAREEN TC,URBAN,41789,20538,21251,,,,7.91,Urban Localities
DERA GHAZI KHAN,TEHSIL,DERA GHAZI KHAN,SHADAN LUND TC,URBAN,31541,16081,15460,,,,7.55,Urban Localities
TAUNSA,TEHSIL,DERA GHAZI KHAN,VEHOWA TC,URBAN,42418,21967,20451,,,,6.64,Urban Localities
KOT CHHUTTA,TEHSIL,DERA GHAZI KHAN,SAKHI SARWAR TC,URBAN,21626,10538,11087,1,,,9.9,Urban Localities
FAISALABAD CITY,TEHSIL,FAISALABAD,FAISALABAD MUNICIPAL CORPORATION,URBAN,3691999,1929282,1762119,598,3210158,2.36,6.63,Urban Localities
JARANWALA,TEHSIL,FAISALABAD,JARANWALA MC,URBAN,170872,88091,82769,12,150699,2.12,6.37,Urban Localities
SAMMUNDRI,TEHSIL,FAISALABAD,SAMMUNDARI MC,URBAN,186371,95090,91258,23,156938,2.91,6.01,Urban Localities
CHAK JHUMRA,TEHSIL,FAISALABAD,CHAK JHUMRA MC,URBAN,60131,30948,29177,6,48796,3.55,6.41,Urban Localities
FAISALABAD SADAR,TEHSIL,FAISALABAD,DIJKOT MC,URBAN,96934,49651,47280,3,39873,16,6.24,Urban Localities
JARANWALA,TEHSIL,FAISALABAD,KHURIAN WALA MC,URBAN,96743,52628,44100,15,75907,4.14,6.51,Urban Localities
TANDLIAN WALA,TEHSIL,FAISALABAD,MAMU KANJAN MC,URBAN,40249,20913,19329,7,37043,1.4,6.33,Urban Localities
TANDLIAN WALA,TEHSIL,FAISALABAD,TANDLIAN WALA MC,URBAN,49680,25618,24056,6,47452,.77,6.54,Urban Localities
GUJRANWALA CITY,TEHSIL,GUJRANWALA,GUJRANWALA METROPOLITAN CORPOR GUJRANWALA CITY TEHSIL,URBAN,2511118,1290348,1220560,210,2028421,3.63,7.05,Urban Localities
KAMOKE,TEHSIL,GUJRANWALA,KAMOKE MUNICIPAL CORPORATION,URBAN,292023,147616,144375,32,248814,2.71,6.88,Urban Localities
GUJRANWALA SADDAR,TEHSIL,GUJRANWALA,GUJRANWALA CANTONMENT,URBAN,156929,77936,78987,6,136919,2.31,6.8,Urban Localities
GUJRANWALA SADDAR,TEHSIL,GUJRANWALA,LUDHEWALA WARAICH MC,URBAN,100331,51287,49044,,92020,1.46,6.44,Urban Localities
WAZIRABAD,TEHSIL,GUJRANWALA,WAZIRABAD MC,URBAN,152624,76033,76493,98,128096,2.97,6.6,Urban Localities
WAZIRABAD,TEHSIL,GUJRANWALA,ALI PUR CHATHA MC,URBAN,76964,38516,38433,15,60983,3.97,7.09,Urban Localities
WAZIRABAD,TEHSIL,GUJRANWALA,GHAKKHAR MC,URBAN,80320,40467,39851,2,65517,3.46,6.62,Urban Localities
NOWSHERA VIRKAN,TEHSIL,GUJRANWALA,NOWSHERA VIRKAN MC,URBAN,59639,30293,29336,10,49377,3.21,7.5,Urban Localities
GUJRANWALA SADDAR,TEHSIL,GUJRANWALA,QILA DIDAR SINGH MC,URBAN,74523,37191,37329,3,66491,1.92,6.44,Urban Localities
GUJRANWALA SADDAR,TEHSIL,GUJRANWALA,EMINABAD TC,URBAN,30399,15357,15038,4,27363,1.77,6.81,Urban Localities
WAZIRABAD,TEHSIL,GUJRANWALA,DHONKAL MC,URBAN,16396,8255,8141,,13302,3.56,6.92,Urban Localities
WAZIRABAD,TEHSIL,GUJRANWALA,RASOOL NAGAR TC,URBAN,19315,9665,9647,3,14519,4.89,7.38,Urban Localities
WAZIRABAD,TEHSIL,GUJRANWALA,SOHDHRA TC,URBAN,23390,11647,11743,,17296,5.17,6.63,Urban Localities
GUJRAT,TEHSIL,GUJRAT,GUJRAT METROPOLITAN CORPORATION GUJRAT TEHSIL,URBAN,574240,288451,285738,51,390758,6.65,6.28,Urban Localities
GUJRAT,TEHSIL,GUJRAT,JALALPUR JATTAN MC,URBAN,146743,73031,73698,14,96210,7.31,6.34,Urban Localities
