name_admin_unit,part_of_district,admin_unit,vars,all_sexes_overall,male_overall,female_overall,tgend_overall,all_sexes_rural,male_rural,female_rural,tgend_rural,all_sexes_urban,male_urban,female_urban,tgend_urban
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Population >=10,3394476,1729200,1665167,109,2727037,1390620,1336353,64,667439,338580,328814,45
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Literate >=10,1628943,967451,661460,32,1201386,730278,471087,21,427557,237173,190373,11
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Literate %,47.99,55.95,39.72,29.36,44.05,52.51,35.25,32.81,64.06,70.05,57.9,24.44
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Ever Attended,1973302,1158144,815135,23,1463665,878689,584961,15,509637,279455,230174,8
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Primary Completed,338796,196196,142594,6,271427,159944,111480,3,67369,36252,31114,3
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Enrolment Primary,577977,310554,267421,2,460020,250441,209577,2,117957,60113,57844,
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Enrolment Middle,195779,104204,91574,1,148459,80690,67769,,47320,23514,23805,1
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Enrolment Matric,103068,56916,46150,2,73528,41946,31580,2,29540,14970,14570,
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Enrolment Intermidiate,58643,32645,25997,1,38479,22228,16250,1,20164,10417,9747,
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Enrolment Graduation above,56171,31081,25090,,34403,20691,13712,,21768,10390,11378,
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Never to School (all),2165011,946182,1218743,86,1883526,824921,1058556,49,281485,121261,160187,37
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Drop Out (5 - 16),143107,73173,69933,1,121775,61772,60002,1,21332,11401,9931,
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Never to School (5-16),567526,257022,310488,16,512340,230643,281687,10,55186,26379,28801,6
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Out of School Children (5-16),710633,330195,380421,17,634115,292415,341689,11,76518,37780,38732,6
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Population >=5,1409245,718256,690908,81,1126747,576385,550329,33,282498,141871,140579,48
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Population >=10,1206271,616244,589946,81,960495,492541,467921,33,245776,123703,122025,48
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Literate >=10,761403,421385,339988,30,574965,323165,251791,9,186438,98220,88197,21
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Literate %,63.12,68.38,57.63,37.04,59.86,65.61,53.81,27.27,75.86,79.40000000000001,72.28,43.75
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Ever Attended,911753,497277,414451,25,697807,385169,312631,7,213946,112108,101820,18
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Primary Completed,132651,68442,64204,5,105197,54177,51018,2,27454,14265,13186,3
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Enrolment Primary,212865,108380,104485,,172741,88119,84622,,40124,20261,19863,
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Enrolment Middle,89505,45998,43506,1,70720,36695,34024,1,18785,9303,9482,
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Enrolment Matric,48746,23933,24812,1,36930,17971,18958,1,11816,5962,5854,
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Enrolment Intermidiate,28306,13857,14449,,20749,10412,10337,,7557,3445,4112,
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Enrolment Graduation above,25263,11337,13925,1,17628,8161,9467,,7635,3176,4458,1
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Never to School (all),497492,220979,276457,56,428940,191216,237698,26,68552,29763,38759,30
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Drop Out (5 - 16),38983,20436,18546,1,32425,16648,15777,,6558,3788,2769,1
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Never to School (5-16),69456,32965,36490,1,59215,28433,30781,1,10241,4532,5709,
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Out of School Children (5-16),108439,53401,55036,2,91640,45081,46558,1,16799,8320,8478,1
NAROWAL,NAROWAL,DISTRICT,Population >=5,1686029,860192,825752,85,1380493,705166,675281,46,305536,155026,150471,39
NAROWAL,NAROWAL,DISTRICT,Population >=10,1455970,742754,713131,85,1189807,607791,581970,46,266163,134963,131161,39
NAROWAL,NAROWAL,DISTRICT,Literate >=10,1096110,593368,502706,36,878476,478880,399575,21,217634,114488,103131,15
NAROWAL,NAROWAL,DISTRICT,Literate %,75.28,79.89,70.48999999999999,42.35,73.83,78.79000000000001,68.66,45.65,81.77,84.83,78.63,38.46
NAROWAL,NAROWAL,DISTRICT,Ever Attended,1285365,691974,593359,32,1038050,562236,475795,19,247315,129738,117564,13
