name_admin_unit,part_of_district,admin_unit,disab_func_lim,age_group,overall,rural,urban
ATTOCK,ATTOCK,DISTRICT,Seeing,13 - 14,380,283,97
ATTOCK,ATTOCK,DISTRICT,Seeing,15 - 24,1767,1311,456
ATTOCK,ATTOCK,DISTRICT,Seeing,15 - 49,9016,6713,2303
ATTOCK,ATTOCK,DISTRICT,Seeing,25 - 40,2511,1902,609
ATTOCK,ATTOCK,DISTRICT,Seeing,41 - 60,14834,10946,3888
ATTOCK,ATTOCK,DISTRICT,Seeing,5 - 16,1886,1407,479
ATTOCK,ATTOCK,DISTRICT,Seeing,5 - 9,611,467,144
ATTOCK,ATTOCK,DISTRICT,Seeing,>18,38612,29139,9473
ATTOCK,ATTOCK,DISTRICT,Seeing,>60,20204,15498,4706
ATTOCK,ATTOCK,DISTRICT,Self care etc,0 - 4,203,175,28
ATTOCK,ATTOCK,DISTRICT,Self care etc,10 - 12,174,148,26
ATTOCK,ATTOCK,DISTRICT,Self care etc,13 - 14,106,97,9
ATTOCK,ATTOCK,DISTRICT,Self care etc,15 - 24,496,414,82
ATTOCK,ATTOCK,DISTRICT,Self care etc,15 - 49,3864,3027,837
ATTOCK,ATTOCK,DISTRICT,Self care etc,25 - 40,824,716,108
ATTOCK,ATTOCK,DISTRICT,Self care etc,41 - 60,9943,7329,2614
ATTOCK,ATTOCK,DISTRICT,Self care etc,5 - 16,534,467,67
ATTOCK,ATTOCK,DISTRICT,Self care etc,5 - 9,160,144,16
ATTOCK,ATTOCK,DISTRICT,Self care etc,>18,24241,18390,5851
ATTOCK,ATTOCK,DISTRICT,Self care etc,>60,13160,10079,3081
ATTOCK,ATTOCK,DISTRICT,Walking/ Climbing,0 - 4,812,657,155
ATTOCK,ATTOCK,DISTRICT,Walking/ Climbing,10 - 12,1079,808,271
ATTOCK,ATTOCK,DISTRICT,Walking/ Climbing,13 - 14,738,530,208
ATTOCK,ATTOCK,DISTRICT,Walking/ Climbing,15 - 24,3317,2454,863
ATTOCK,ATTOCK,DISTRICT,Walking/ Climbing,15 - 49,16250,12008,4242
ATTOCK,ATTOCK,DISTRICT,Walking/ Climbing,25 - 40,5481,4145,1336
ATTOCK,ATTOCK,DISTRICT,Walking/ Climbing,41 - 60,25145,18340,6805
ATTOCK,ATTOCK,DISTRICT,Walking/ Climbing,5 - 16,3753,2821,932
ATTOCK,ATTOCK,DISTRICT,Walking/ Climbing,5 - 9,1256,993,263
ATTOCK,ATTOCK,DISTRICT,Walking/ Climbing,>18,69675,52197,17478
ATTOCK,ATTOCK,DISTRICT,Walking/ Climbing,>60,37060,28223,8837
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Communication,0 - 4,736,492,244
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Communication,10 - 12,1582,1144,438
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Communication,13 - 14,998,705,293
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Communication,15 - 24,3832,2778,1054
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Communication,15 - 49,11326,8560,2766
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Communication,25 - 40,3583,2746,837
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Communication,41 - 60,13869,9872,3997
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Communication,5 - 16,5685,4123,1562
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Communication,5 - 9,2171,1582,589
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Communication,>18,35183,25511,9672
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Communication,>60,15735,11467,4268
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Disability,0 - 4,2435,1842,593
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Disability,10 - 12,3795,2775,1020
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Disability,13 - 14,2414,1722,692
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Disability,15 - 24,9543,7004,2539
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Disability,15 - 49,31648,24611,7037
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Disability,25 - 40,11567,8938,2629
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Disability,41 - 60,40099,30504,9595
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Disability,5 - 16,12987,9599,3388
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Disability,5 - 9,4562,3457,1105
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Disability,>18,130977,96429,34548
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Disability,>60,74044,53110,20934
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Functional limitation,0 - 4,2913,2200,713
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Functional limitation,10 - 12,4755,3439,1316
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Functional limitation,13 - 14,3287,2297,990
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Functional limitation,15 - 24,11585,8349,3236
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Functional limitation,15 - 49,68383,50535,17848
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Functional limitation,25 - 40,14259,10725,3534
