name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
CHINIOT,DISTRICT,CHINIOT,RURAL,UN-INHABITED,2,,,,,Rural Localities
DERA GHAZI KHAN,DISTRICT,DERA GHAZI KHAN,RURAL,OVERALL,813,2586293,1304464,1281793,36,Rural Localities
DERA GHAZI KHAN,DISTRICT,DERA GHAZI KHAN,RURAL,"5,000 AND ABOVE",157,1839222,924986,914215,21,Rural Localities
DERA GHAZI KHAN,DISTRICT,DERA GHAZI KHAN,RURAL,"2,000 -- 4,999",132,424495,214737,209748,10,Rural Localities
DERA GHAZI KHAN,DISTRICT,DERA GHAZI KHAN,RURAL,"1,000 -- 1,999",126,180477,91737,88738,2,Rural Localities
DERA GHAZI KHAN,DISTRICT,DERA GHAZI KHAN,RURAL,500 -- 999,116,85648,43852,41794,2,Rural Localities
DERA GHAZI KHAN,DISTRICT,DERA GHAZI KHAN,RURAL,200 -- 499,131,43220,22241,20979,,Rural Localities
DERA GHAZI KHAN,DISTRICT,DERA GHAZI KHAN,RURAL,LESS THAN 200,140,13231,6911,6319,1,Rural Localities
DERA GHAZI KHAN,DISTRICT,DERA GHAZI KHAN,RURAL,UN-INHABITED,11,,,,,Rural Localities
FAISALABAD,DISTRICT,FAISALABAD,RURAL,OVERALL,784,4682840,2439003,2243545,292,Rural Localities
FAISALABAD,DISTRICT,FAISALABAD,RURAL,"5,000 AND ABOVE",337,3244872,1691718,1552924,230,Rural Localities
FAISALABAD,DISTRICT,FAISALABAD,RURAL,"2,000 -- 4,999",368,1352471,702978,649434,59,Rural Localities
FAISALABAD,DISTRICT,FAISALABAD,RURAL,"1,000 -- 1,999",43,67805,35066,32736,3,Rural Localities
FAISALABAD,DISTRICT,FAISALABAD,RURAL,500 -- 999,18,13308,6919,6389,,Rural Localities
FAISALABAD,DISTRICT,FAISALABAD,RURAL,200 -- 499,11,3846,2033,1813,,Rural Localities
FAISALABAD,DISTRICT,FAISALABAD,RURAL,LESS THAN 200,6,538,289,249,,Rural Localities
FAISALABAD,DISTRICT,FAISALABAD,RURAL,UN-INHABITED,1,,,,,Rural Localities
GUJRANWALA,DISTRICT,GUJRANWALA,RURAL,OVERALL,767,2365779,1193679,1171946,154,Rural Localities
GUJRANWALA,DISTRICT,GUJRANWALA,RURAL,"5,000 AND ABOVE",116,1200508,605584,594833,91,Rural Localities
GUJRANWALA,DISTRICT,GUJRANWALA,RURAL,"2,000 -- 4,999",241,738046,372483,365504,59,Rural Localities
GUJRANWALA,DISTRICT,GUJRANWALA,RURAL,"1,000 -- 1,999",210,307795,155272,152522,1,Rural Localities
GUJRANWALA,DISTRICT,GUJRANWALA,RURAL,500 -- 999,129,101445,51151,50294,,Rural Localities
GUJRANWALA,DISTRICT,GUJRANWALA,RURAL,200 -- 499,43,16519,8418,8100,1,Rural Localities
GUJRANWALA,DISTRICT,GUJRANWALA,RURAL,LESS THAN 200,17,1466,771,693,2,Rural Localities
GUJRANWALA,DISTRICT,GUJRANWALA,RURAL,UN-INHABITED,11,,,,,Rural Localities
GUJRAT,DISTRICT,GUJRAT,RURAL,OVERALL,927,1895111,935554,959515,42,Rural Localities
GUJRAT,DISTRICT,GUJRAT,RURAL,"5,000 AND ABOVE",74,547838,271063,276757,18,Rural Localities
GUJRAT,DISTRICT,GUJRAT,RURAL,"2,000 -- 4,999",244,756078,372814,383250,14,Rural Localities
GUJRAT,DISTRICT,GUJRAT,RURAL,"1,000 -- 1,999",294,431786,212796,218983,7,Rural Localities
GUJRAT,DISTRICT,GUJRAT,RURAL,500 -- 999,179,135265,66795,68469,1,Rural Localities
GUJRAT,DISTRICT,GUJRAT,RURAL,200 -- 499,57,20218,10069,10147,2,Rural Localities
GUJRAT,DISTRICT,GUJRAT,RURAL,LESS THAN 200,55,3926,2017,1909,,Rural Localities
GUJRAT,DISTRICT,GUJRAT,RURAL,UN-INHABITED,24,,,,,Rural Localities
HAFIZABAD,DISTRICT,HAFIZABAD,RURAL,OVERALL,391,815529,414536,400973,20,Rural Localities
HAFIZABAD,DISTRICT,HAFIZABAD,RURAL,"5,000 AND ABOVE",31,277718,141450,136262,6,Rural Localities
HAFIZABAD,DISTRICT,HAFIZABAD,RURAL,"2,000 -- 4,999",102,307020,155627,151389,4,Rural Localities
HAFIZABAD,DISTRICT,HAFIZABAD,RURAL,"1,000 -- 1,999",108,153882,78115,75761,6,Rural Localities
HAFIZABAD,DISTRICT,HAFIZABAD,RURAL,500 -- 999,81,61560,31442,30117,1,Rural Localities
HAFIZABAD,DISTRICT,HAFIZABAD,RURAL,200 -- 499,35,12945,6590,6352,3,Rural Localities
HAFIZABAD,DISTRICT,HAFIZABAD,RURAL,LESS THAN 200,27,2404,1312,1092,,Rural Localities
HAFIZABAD,DISTRICT,HAFIZABAD,RURAL,UN-INHABITED,7,,,,,Rural Localities
JHANG,DISTRICT,JHANG,RURAL,OVERALL,688,2264713,1172367,1092267,79,Rural Localities
JHANG,DISTRICT,JHANG,RURAL,"5,000 AND ABOVE",140,1286160,666168,619928,64,Rural Localities
JHANG,DISTRICT,JHANG,RURAL,"2,000 -- 4,999",228,725871,375100,350758,13,Rural Localities
JHANG,DISTRICT,JHANG,RURAL,"1,000 -- 1,999",117,169658,87845,81811,2,Rural Localities
JHANG,DISTRICT,JHANG,RURAL,500 -- 999,76,54807,28334,26473,,Rural Localities
JHANG,DISTRICT,JHANG,RURAL,200 -- 499,68,23308,12299,11009,,Rural Localities
JHANG,DISTRICT,JHANG,RURAL,LESS THAN 200,50,4909,2621,2288,,Rural Localities
JHANG,DISTRICT,JHANG,RURAL,UN-INHABITED,9,,,,,Rural Localities
JHELUM,DISTRICT,JHELUM,RURAL,OVERALL,525,840990,426520,414453,17,Rural Localities
JHELUM,DISTRICT,JHELUM,RURAL,"5,000 AND ABOVE",27,209740,106311,103422,7,Rural Localities
JHELUM,DISTRICT,JHELUM,RURAL,"2,000 -- 4,999",91,281495,142780,138710,5,Rural Localities
JHELUM,DISTRICT,JHELUM,RURAL,"1,000 -- 1,999",161,234268,118522,115743,3,Rural Localities
JHELUM,DISTRICT,JHELUM,RURAL,500 -- 999,116,85942,43614,42327,1,Rural Localities
JHELUM,DISTRICT,JHELUM,RURAL,200 -- 499,74,26124,13494,12629,1,Rural Localities
JHELUM,DISTRICT,JHELUM,RURAL,LESS THAN 200,45,3421,1799,1622,,Rural Localities
JHELUM,DISTRICT,JHELUM,RURAL,UN-INHABITED,11,,,,,Rural Localities
KASUR,DISTRICT,KASUR,RURAL,OVERALL,621,2840404,1454457,1385808,139,Rural Localities
KASUR,DISTRICT,KASUR,RURAL,"5,000 AND ABOVE",197,2042645,1045470,997060,115,Rural Localities
KASUR,DISTRICT,KASUR,RURAL,"2,000 -- 4,999",181,614789,314884,299881,24,Rural Localities
KASUR,DISTRICT,KASUR,RURAL,"1,000 -- 1,999",85,122614,62825,59789,,Rural Localities
KASUR,DISTRICT,KASUR,RURAL,500 -- 999,57,43502,22383,21119,,Rural Localities
KASUR,DISTRICT,KASUR,RURAL,200 -- 499,35,11810,6066,5744,,Rural Localities
KASUR,DISTRICT,KASUR,RURAL,LESS THAN 200,63,5044,2829,2215,,Rural Localities
KASUR,DISTRICT,KASUR,RURAL,UN-INHABITED,3,,,,,Rural Localities
KHANEWAL,DISTRICT,KHANEWAL,RURAL,OVERALL,662,2647291,1367245,1279900,146,Rural Localities
KHANEWAL,DISTRICT,KHANEWAL,RURAL,"5,000 AND ABOVE",178,1452435,750112,702221,102,Rural Localities
KHANEWAL,DISTRICT,KHANEWAL,RURAL,"2,000 -- 4,999",289,985359,508152,477166,41,Rural Localities
KHANEWAL,DISTRICT,KHANEWAL,RURAL,"1,000 -- 1,999",109,166449,86299,80148,2,Rural Localities
KHANEWAL,DISTRICT,KHANEWAL,RURAL,500 -- 999,43,32472,17099,15372,1,Rural Localities
KHANEWAL,DISTRICT,KHANEWAL,RURAL,200 -- 499,28,9662,5040,4622,,Rural Localities
KHANEWAL,DISTRICT,KHANEWAL,RURAL,LESS THAN 200,14,914,543,371,,Rural Localities
KHANEWAL,DISTRICT,KHANEWAL,RURAL,UN-INHABITED,1,,,,,Rural Localities
KHUSHAB,DISTRICT,KHUSHAB,RURAL,OVERALL,313,1082344,552479,529849,16,Rural Localities
KHUSHAB,DISTRICT,KHUSHAB,RURAL,"5,000 AND ABOVE",60,714225,364582,349631,12,Rural Localities
KHUSHAB,DISTRICT,KHUSHAB,RURAL,"2,000 -- 4,999",72,239320,122054,117265,1,Rural Localities
KHUSHAB,DISTRICT,KHUSHAB,RURAL,"1,000 -- 1,999",61,87776,44401,43372,3,Rural Localities
KHUSHAB,DISTRICT,KHUSHAB,RURAL,500 -- 999,35,25109,13013,12096,,Rural Localities
KHUSHAB,DISTRICT,KHUSHAB,RURAL,200 -- 499,33,11652,6230,5422,,Rural Localities
KHUSHAB,DISTRICT,KHUSHAB,RURAL,LESS THAN 200,44,4262,2199,2063,,Rural Localities
KHUSHAB,DISTRICT,KHUSHAB,RURAL,UN-INHABITED,8,,,,,Rural Localities
