name_admin_unit,admin_unit,age_group,marital_status,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
BADIN,DISTRICT,60 - 64,DIVORCED,36,22,14,0,24,16,8,0,12,6,6,0
BADIN,DISTRICT,60 - 64,MARRIED,25436,10663,14773,0,19469,8265,11204,0,5967,2398,3569,0
BADIN,DISTRICT,60 - 64,NEVER MARRIED,351,124,223,4,226,77,148,1,125,47,75,3
BADIN,DISTRICT,60 - 64,SEPERATION,70,47,23,0,45,31,14,0,25,16,9,0
BADIN,DISTRICT,60 - 64,WIDOWED,5191,4195,996,0,3838,3095,743,0,1353,1100,253,0
BADIN,DISTRICT,65 - 69,DIVORCED,25,16,9,0,14,9,5,0,11,7,4,0
BADIN,DISTRICT,65 - 69,MARRIED,18258,7189,11069,0,14114,5629,8485,0,4144,1560,2584,0
BADIN,DISTRICT,65 - 69,NEVER MARRIED,211,77,132,2,132,36,95,1,79,41,37,1
BADIN,DISTRICT,65 - 69,SEPERATION,35,21,14,0,27,16,11,0,8,5,3,0
BADIN,DISTRICT,65 - 69,WIDOWED,5460,4350,1110,0,3991,3191,800,0,1469,1159,310,0
BADIN,DISTRICT,70 - 74,DIVORCED,17,12,5,0,12,9,3,0,5,3,2,0
BADIN,DISTRICT,70 - 74,MARRIED,12657,4557,8100,0,9960,3640,6320,0,2697,917,1780,0
BADIN,DISTRICT,70 - 74,NEVER MARRIED,134,41,90,3,97,25,71,1,37,16,19,2
BADIN,DISTRICT,70 - 74,SEPERATION,36,18,18,0,32,16,16,0,4,2,2,0
BADIN,DISTRICT,70 - 74,WIDOWED,5846,4731,1115,0,4437,3583,854,0,1409,1148,261,0
BADIN,DISTRICT,75 & ABOVE,DIVORCED,11,5,6,0,8,3,5,0,3,2,1,0
BADIN,DISTRICT,75 & ABOVE,MARRIED,9051,2612,6439,0,7375,2148,5227,0,1676,464,1212,0
BADIN,DISTRICT,75 & ABOVE,NEVER MARRIED,121,39,80,2,100,33,65,2,21,6,15,0
BADIN,DISTRICT,75 & ABOVE,SEPERATION,25,13,12,0,20,11,9,0,5,2,3,0
BADIN,DISTRICT,75 & ABOVE,WIDOWED,7161,5539,1622,0,5592,4321,1271,0,1569,1218,351,0
DADU,DISTRICT,15 &  ABOVE,DIVORCED,1116,709,407,0,691,445,246,0,425,264,161,0
DADU,DISTRICT,15 &  ABOVE,MARRIED,669302,335893,333409,0,501339,251482,249857,0,167963,84411,83552,0
DADU,DISTRICT,15 &  ABOVE,NEVER MARRIED,276075,116511,159484,80,193032,79581,113419,32,83043,36930,46065,48
DADU,DISTRICT,15 &  ABOVE,SEPERATION,1118,638,480,0,867,489,378,0,251,149,102,0
DADU,DISTRICT,15 &  ABOVE,WIDOWED,35967,28607,7360,0,25746,20363,5383,0,10221,8244,1977,0
DADU,DISTRICT,15 - 19,DIVORCED,31,18,13,0,25,12,13,0,6,6,0,0
DADU,DISTRICT,15 - 19,MARRIED,25696,17707,7989,0,20167,13806,6361,0,5529,3901,1628,0
DADU,DISTRICT,15 - 19,NEVER MARRIED,160276,72976,87283,17,117102,52661,64431,10,43174,20315,22852,7
DADU,DISTRICT,15 - 19,SEPERATION,60,23,37,0,54,20,34,0,6,3,3,0
DADU,DISTRICT,15 - 19,WIDOWED,68,34,34,0,55,25,30,0,13,9,4,0
DADU,DISTRICT,20 - 24,DIVORCED,97,66,31,0,60,37,23,0,37,29,8,0
DADU,DISTRICT,20 - 24,MARRIED,88610,54028,34582,0,69391,41769,27622,0,19219,12259,6960,0
DADU,DISTRICT,20 - 24,NEVER MARRIED,67378,24222,43141,15,45850,15545,30299,6,21528,8677,12842,9
DADU,DISTRICT,20 - 24,SEPERATION,98,47,51,0,80,36,44,0,18,11,7,0
DADU,DISTRICT,20 - 24,WIDOWED,272,165,107,0,212,126,86,0,60,39,21,0
DADU,DISTRICT,25 - 29,DIVORCED,176,107,69,0,120,71,49,0,56,36,20,0
DADU,DISTRICT,25 - 29,MARRIED,88901,47000,41901,0,66429,34763,31666,0,22472,12237,10235,0
DADU,DISTRICT,25 - 29,NEVER MARRIED,26216,10232,15973,11,16415,6043,10368,4,9801,4189,5605,7
DADU,DISTRICT,25 - 29,SEPERATION,123,61,62,0,89,44,45,0,34,17,17,0
DADU,DISTRICT,25 - 29,WIDOWED,474,279,195,0,358,212,146,0,116,67,49,0
DADU,DISTRICT,30 - 34,DIVORCED,179,117,62,0,110,74,36,0,69,43,26,0
DADU,DISTRICT,30 - 34,MARRIED,91416,46790,44626,0,67678,34413,33265,0,23738,12377,11361,0
DADU,DISTRICT,30 - 34,NEVER MARRIED,10507,4767,5736,4,6429,2800,3628,1,4078,1967,2108,3
DADU,DISTRICT,30 - 34,SEPERATION,121,69,52,0,95,52,43,0,26,17,9,0
DADU,DISTRICT,30 - 34,WIDOWED,815,560,255,0,576,382,194,0,239,178,61,0
DADU,DISTRICT,35 - 39,DIVORCED,172,106,66,0,95,65,30,0,77,41,36,0
DADU,DISTRICT,35 - 39,MARRIED,86915,42296,44619,0,63862,31085,32777,0,23053,11211,11842,0
DADU,DISTRICT,35 - 39,NEVER MARRIED,5225,1834,3382,9,3242,1067,2173,2,1983,767,1209,7
DADU,DISTRICT,35 - 39,SEPERATION,139,75,64,0,95,52,43,0,44,23,21,0
DADU,DISTRICT,35 - 39,WIDOWED,1325,946,379,0,944,661,283,0,381,285,96,0
DADU,DISTRICT,40 - 44,DIVORCED,139,99,40,0,88,69,19,0,51,30,21,0
DADU,DISTRICT,40 - 44,MARRIED,76688,36449,40239,0,56977,27024,29953,0,19711,9425,10286,0
DADU,DISTRICT,40 - 44,NEVER MARRIED,2729,1000,1721,8,1672,599,1071,2,1057,401,650,6
DADU,DISTRICT,40 - 44,SEPERATION,135,102,33,0,110,81,29,0,25,21,4,0
DADU,DISTRICT,40 - 44,WIDOWED,2053,1605,448,0,1470,1133,337,0,583,472,111,0
DADU,DISTRICT,45 - 49,DIVORCED,126,77,49,0,77,46,31,0,49,31,18,0
DADU,DISTRICT,45 - 49,MARRIED,60001,28376,31625,0,43929,20903,23026,0,16072,7473,8599,0
DADU,DISTRICT,45 - 49,NEVER MARRIED,1599,599,996,4,979,338,639,2,620,261,357,2
DADU,DISTRICT,45 - 49,SEPERATION,95,60,35,0,75,47,28,0,20,13,7,0
DADU,DISTRICT,45 - 49,WIDOWED,2566,2065,501,0,1817,1455,362,0,749,610,139,0
DADU,DISTRICT,50 - 54,DIVORCED,74,43,31,0,34,20,14,0,40,23,17,0
DADU,DISTRICT,50 - 54,MARRIED,50712,22918,27794,0,37581,17178,20403,0,13131,5740,7391,0
DADU,DISTRICT,50 - 54,NEVER MARRIED,900,375,521,4,553,223,328,2,347,152,193,2
DADU,DISTRICT,50 - 54,SEPERATION,112,68,44,0,86,51,35,0,26,17,9,0
DADU,DISTRICT,50 - 54,WIDOWED,4070,3331,739,0,2932,2370,562,0,1138,961,177,0
DADU,DISTRICT,55 - 59,DIVORCED,48,30,18,0,29,16,13,0,19,14,5,0
DADU,DISTRICT,55 - 59,MARRIED,37280,15662,21618,0,27388,11672,15716,0,9892,3990,5902,0
DADU,DISTRICT,55 - 59,NEVER MARRIED,559,220,334,5,335,123,209,3,224,97,125,2
DADU,DISTRICT,55 - 59,SEPERATION,84,55,29,0,66,43,23,0,18,12,6,0
