name_admin_unit,part_of_district,admin_unit,region,households,toilet_separate,toilet_flush,toilet_non_flush,toilet_none,washroom_separate,washroom_none
LATIFABAD,HYDERABAD,TALUKA,OVERALL,153348,108542,145513,5931,1904,103566,6608
LATIFABAD,HYDERABAD,TALUKA,RURAL,,,,,,,
LATIFABAD,HYDERABAD,TALUKA,URBAN,153348,108542,145513,5931,1904,103566,6608
QASIMABAD,HYDERABAD,TALUKA,OVERALL,62530,51548,56623,4811,1096,48844,3947
QASIMABAD,HYDERABAD,TALUKA,RURAL,,,,,,,
QASIMABAD,HYDERABAD,TALUKA,URBAN,62530,51548,56623,4811,1096,48844,3947
JACOBABAD,JACOBABAD,DISTRICT,OVERALL,195056,82087,106249,31874,56933,79456,62024
JACOBABAD,JACOBABAD,DISTRICT,RURAL,138726,51652,55749,28736,54241,50032,57948
JACOBABAD,JACOBABAD,DISTRICT,URBAN,56330,30435,50500,3138,2692,29424,4076
GARHI KHAIRO,JACOBABAD,TALUKA,OVERALL,30660,12639,12552,4912,13196,11866,14642
GARHI KHAIRO,JACOBABAD,TALUKA,RURAL,28111,11303,10317,4683,13111,10559,14527
GARHI KHAIRO,JACOBABAD,TALUKA,URBAN,2549,1336,2235,229,85,1307,115
JACOBABAD,JACOBABAD,TALUKA,OVERALL,68861,28382,43405,9333,16123,27493,18212
JACOBABAD,JACOBABAD,TALUKA,RURAL,35096,10560,12795,7457,14844,10587,15619
JACOBABAD,JACOBABAD,TALUKA,URBAN,33765,17822,30610,1876,1279,16906,2593
THUL,JACOBABAD,TALUKA,OVERALL,95535,41066,50292,17629,27614,40097,29170
THUL,JACOBABAD,TALUKA,RURAL,75519,29789,32637,16596,26286,28886,27802
THUL,JACOBABAD,TALUKA,URBAN,20016,11277,17655,1033,1328,11211,1368
JAMSHORO,JAMSHORO,DISTRICT,OVERALL,213493,125282,146948,27578,38967,111195,53467
JAMSHORO,JAMSHORO,DISTRICT,RURAL,117170,60952,60575,20192,36403,53912,43586
JAMSHORO,JAMSHORO,DISTRICT,URBAN,96323,64330,86373,7386,2564,57283,9881
KOTRI,JAMSHORO,TALUKA,OVERALL,86413,57506,70730,8746,6937,52607,12197
KOTRI,JAMSHORO,TALUKA,RURAL,20489,12374,11492,3622,5375,11219,6676
KOTRI,JAMSHORO,TALUKA,URBAN,65924,45132,59238,5124,1562,41388,5521
MANJHAND,JAMSHORO,TALUKA,OVERALL,31713,15725,17269,4390,10054,13625,12551
MANJHAND,JAMSHORO,TALUKA,RURAL,27063,12517,13253,3982,9828,10712,11834
MANJHAND,JAMSHORO,TALUKA,URBAN,4650,3208,4016,408,226,2913,717
SEHWAN,JAMSHORO,TALUKA,OVERALL,62229,36010,42849,9117,10263,30285,15727
SEHWAN,JAMSHORO,TALUKA,RURAL,40380,21805,23468,7380,9532,19112,12190
SEHWAN,JAMSHORO,TALUKA,URBAN,21849,14205,19381,1737,731,11173,3537
THANO BULA KHAN,JAMSHORO,TALUKA,OVERALL,33138,16041,16100,5325,11713,14678,12992
THANO BULA KHAN,JAMSHORO,TALUKA,RURAL,29238,14256,12362,5208,11668,12869,12886
THANO BULA KHAN,JAMSHORO,TALUKA,URBAN,3900,1785,3738,117,45,1809,106
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,OVERALL,267553,129246,155664,62585,49304,126890,55036
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,RURAL,194027,94141,95184,56294,42549,92475,46768
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,URBAN,73526,35105,60480,6291,6755,34415,8268
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,77853,40474,52833,16160,8860,40102,10378
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,RURAL,58643,31155,35177,14877,8589,31068,9487
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,URBAN,19210,9319,17656,1283,271,9034,891
MIRO KHAN,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,29339,16032,15758,7046,6535,15203,8007
MIRO KHAN,KAMBAR SHAHDAD KOT,TALUKA,RURAL,22390,11445,10360,6240,5790,10865,7018
MIRO KHAN,KAMBAR SHAHDAD KOT,TALUKA,URBAN,6949,4587,5398,806,745,4338,989
NASIRABAD,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,29770,14594,19673,5899,4198,15196,3194
NASIRABAD,KAMBAR SHAHDAD KOT,TALUKA,RURAL,23215,11383,13609,5730,3876,11819,2911
NASIRABAD,KAMBAR SHAHDAD KOT,TALUKA,URBAN,6555,3211,6064,169,322,3377,283
QUBO SAEED KHAN,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,18641,5111,3639,5165,9837,5150,9589
QUBO SAEED KHAN,KAMBAR SHAHDAD KOT,TALUKA,RURAL,12770,3382,1828,3552,7390,3564,7015
QUBO SAEED KHAN,KAMBAR SHAHDAD KOT,TALUKA,URBAN,5871,1729,1811,1613,2447,1586,2574
SHAHDAD KOT,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,40289,18615,25547,8945,5797,17695,7617
SHAHDAD KOT,KAMBAR SHAHDAD KOT,TALUKA,RURAL,19215,9245,6215,7551,5449,8532,6571
