name_admin_unit,part_of_district,admin_unit,sex___age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,15 - 49,2018767,1028119,990113,535,1233643,632322,601006,315,785124,395797,389107,220
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,15 - 64,2355333,1213509,1141261,563,1437979,745303,692347,329,917354,468206,448914,234
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,18 - 60,2040427,1050735,989232,460,1243873,645268,598351,254,796554,405467,390881,206
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,18 &  ABOVE,2238363,1165876,1072018,469,1367231,717177,649796,258,871132,448699,422222,211
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,60 &  ABOVE,223387,129030,94343,14,138937,80444,58488,5,84450,48586,35855,9
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,65 &  ABOVE,135690,79740,55943,7,85609,50341,35265,3,50081,29399,20678,4
FEROZEWALA,SHEIKHUPURA,TEHSIL,ALL AGES,997246,519127,477796,323,657978,340675,317069,234,339268,178452,160727,89
FEROZEWALA,SHEIKHUPURA,TEHSIL,UNDER 1,24934,12738,12196,,17119,8714,8405,,7815,4024,3791,
FEROZEWALA,SHEIKHUPURA,TEHSIL,UNDER 5,175206,90473,84733,,114441,58520,55921,,60765,31953,28812,
FEROZEWALA,SHEIKHUPURA,TEHSIL,UNDER 10,296865,152953,143912,,196082,100391,95691,,100783,52562,48221,
FEROZEWALA,SHEIKHUPURA,TEHSIL,UNDER 15,412614,211982,200611,21,273522,139488,134017,17,139092,72494,66594,4
FEROZEWALA,SHEIKHUPURA,TEHSIL,05 - 24,423658,217295,206191,172,283772,144770,138857,145,139886,72525,67334,27
FEROZEWALA,SHEIKHUPURA,TEHSIL,15 - 49,484542,249810,234441,291,318778,163571,154997,210,165764,86239,79444,81
FEROZEWALA,SHEIKHUPURA,TEHSIL,15 - 64,558181,290948,266933,300,366856,190438,176202,216,191325,100510,90731,84
FEROZEWALA,SHEIKHUPURA,TEHSIL,18 - 60,484318,252234,231860,224,317683,164831,152697,155,166635,87403,79163,69
FEROZEWALA,SHEIKHUPURA,TEHSIL,18 &  ABOVE,523602,275887,247488,227,343634,180450,163027,157,179968,95437,84461,70
FEROZEWALA,SHEIKHUPURA,TEHSIL,60 &  ABOVE,45509,27207,18297,5,30063,17963,12098,2,15446,9244,6199,3
FEROZEWALA,SHEIKHUPURA,TEHSIL,65 &  ABOVE,26451,16197,10252,2,17600,10749,6850,1,8851,5448,3402,1
MURIDKE,SHEIKHUPURA,TEHSIL,ALL AGES,721166,367730,353385,51,399764,205034,194721,9,321402,162696,158664,42
MURIDKE,SHEIKHUPURA,TEHSIL,UNDER 1,18606,9398,9208,,10590,5378,5212,,8016,4020,3996,
MURIDKE,SHEIKHUPURA,TEHSIL,UNDER 5,113754,57909,55845,,65529,33361,32168,,48225,24548,23677,
MURIDKE,SHEIKHUPURA,TEHSIL,UNDER 10,202452,102264,100188,,116583,58910,57673,,85869,43354,42515,
MURIDKE,SHEIKHUPURA,TEHSIL,UNDER 15,289844,146383,143454,7,165234,83404,81829,1,124610,62979,61625,6
MURIDKE,SHEIKHUPURA,TEHSIL,05 - 24,317229,159103,158101,25,177409,89409,87994,6,139820,69694,70107,19
MURIDKE,SHEIKHUPURA,TEHSIL,15 - 49,350484,176067,174377,40,189816,96499,93310,7,160668,79568,81067,33
MURIDKE,SHEIKHUPURA,TEHSIL,15 - 64,406887,206970,199875,42,220298,113221,107070,7,186589,93749,92805,35
MURIDKE,SHEIKHUPURA,TEHSIL,18 - 60,349896,177877,171982,37,188787,97052,91730,5,161109,80825,80252,32
MURIDKE,SHEIKHUPURA,TEHSIL,18 &  ABOVE,384538,198011,186488,39,208569,108607,99956,6,175969,89404,86532,33
MURIDKE,SHEIKHUPURA,TEHSIL,60 &  ABOVE,39062,22457,16602,3,22247,12848,9398,1,16815,9609,7204,2
MURIDKE,SHEIKHUPURA,TEHSIL,65 &  ABOVE,24435,14377,10056,2,14232,8409,5822,1,10203,5968,4234,1
SAFDARABAD,SHEIKHUPURA,TEHSIL,ALL AGES,320836,161310,159477,49,231660,116412,115210,38,89176,44898,44267,11
SAFDARABAD,SHEIKHUPURA,TEHSIL,UNDER 1,9070,4500,4570,,6786,3351,3435,,2284,1149,1135,
SAFDARABAD,SHEIKHUPURA,TEHSIL,UNDER 5,52300,26169,26131,,37932,18986,18946,,14368,7183,7185,
SAFDARABAD,SHEIKHUPURA,TEHSIL,UNDER 10,90846,45568,45278,,65640,32900,32740,,25206,12668,12538,
SAFDARABAD,SHEIKHUPURA,TEHSIL,UNDER 15,127480,63916,63560,4,91779,45896,45880,3,35701,18020,17680,1
SAFDARABAD,SHEIKHUPURA,TEHSIL,05 - 24,134749,66981,67736,32,96820,47910,48880,30,37929,19071,18856,2
SAFDARABAD,SHEIKHUPURA,TEHSIL,15 - 49,152201,74720,77441,40,109279,53676,55572,31,42922,21044,21869,9
SAFDARABAD,SHEIKHUPURA,TEHSIL,15 - 64,180367,89991,90332,44,130015,64908,65072,35,50352,25083,25260,9
SAFDARABAD,SHEIKHUPURA,TEHSIL,18 - 60,154987,77132,77822,33,111649,55668,55956,25,43338,21464,21866,8
SAFDARABAD,SHEIKHUPURA,TEHSIL,18 &  ABOVE,173569,87662,85873,34,125710,63629,62056,25,47859,24033,23817,9
SAFDARABAD,SHEIKHUPURA,TEHSIL,60 &  ABOVE,20438,11522,8915,1,15394,8685,6709,,5044,2837,2206,1
SAFDARABAD,SHEIKHUPURA,TEHSIL,65 &  ABOVE,12989,7403,5585,1,9866,5608,4258,,3123,1795,1327,1
SHARAK PUR,SHEIKHUPURA,TEHSIL,ALL AGES,229292,115754,113523,15,181273,92082,89180,11,48019,23672,24343,4
SHARAK PUR,SHEIKHUPURA,TEHSIL,UNDER 1,5522,2735,2787,,4537,2265,2272,,985,470,515,
SHARAK PUR,SHEIKHUPURA,TEHSIL,UNDER 5,32616,16293,16323,,26476,13276,13200,,6140,3017,3123,
SHARAK PUR,SHEIKHUPURA,TEHSIL,UNDER 10,61027,30472,30555,,49567,24833,24734,,11460,5639,5821,
SHARAK PUR,SHEIKHUPURA,TEHSIL,UNDER 15,87359,43674,43683,2,70628,35464,35162,2,16731,8210,8521,
SHARAK PUR,SHEIKHUPURA,TEHSIL,05 - 24,97082,48319,48760,3,77394,38718,38673,3,19688,9601,10087,
SHARAK PUR,SHEIKHUPURA,TEHSIL,15 - 49,112047,55412,56625,10,87518,43720,43790,8,24529,11692,12835,2
SHARAK PUR,SHEIKHUPURA,TEHSIL,15 - 64,132487,66616,65860,11,103197,52347,50842,8,29290,14269,15018,3
SHARAK PUR,SHEIKHUPURA,TEHSIL,18 - 60,114852,57526,57315,11,89321,45144,44169,8,25531,12382,13146,3
SHARAK PUR,SHEIKHUPURA,TEHSIL,18 &  ABOVE,128237,65210,63014,13,99798,51131,48658,9,28439,14079,14356,4
SHARAK PUR,SHEIKHUPURA,TEHSIL,60 &  ABOVE,14887,8533,6352,2,11649,6644,5004,1,3238,1889,1348,1
SHARAK PUR,SHEIKHUPURA,TEHSIL,65 &  ABOVE,9446,5464,3980,2,7448,4271,3176,1,1998,1193,804,1
SHEIKHUPURA,SHEIKHUPURA,TEHSIL,ALL AGES,1780837,915438,865231,168,1027950,532230,495657,63,752887,383208,369574,105
SHEIKHUPURA,SHEIKHUPURA,TEHSIL,UNDER 1,36007,17872,18135,,20854,10509,10345,,15153,7363,7790,
SHEIKHUPURA,SHEIKHUPURA,TEHSIL,UNDER 5,229896,114163,115733,,133514,66567,66947,,96382,47596,48786,
SHEIKHUPURA,SHEIKHUPURA,TEHSIL,UNDER 10,436001,216821,219180,,255151,127169,127982,,180850,89652,91198,
SHEIKHUPURA,SHEIKHUPURA,TEHSIL,UNDER 15,641057,320155,320900,2,373874,186537,187337,,267183,133618,133563,2
SHEIKHUPURA,SHEIKHUPURA,TEHSIL,05 - 24,759858,382942,376871,45,443148,223698,219438,12,316710,159244,157433,33
SHEIKHUPURA,SHEIKHUPURA,TEHSIL,15 - 49,919493,472110,447229,154,528252,274856,253337,59,391241,197254,193892,95
SHEIKHUPURA,SHEIKHUPURA,TEHSIL,15 - 64,1077411,558984,518261,166,617613,324389,293161,63,459798,234595,225100,103
SHEIKHUPURA,SHEIKHUPURA,TEHSIL,18 - 60,936374,485966,450253,155,536433,282573,253799,61,399941,203393,196454,94
SHEIKHUPURA,SHEIKHUPURA,TEHSIL,18 &  ABOVE,1028417,539106,489155,156,589520,313360,276099,61,438897,225746,213056,95
SHEIKHUPURA,SHEIKHUPURA,TEHSIL,60 &  ABOVE,103491,59311,44177,3,59584,34304,25279,1,43907,25007,18898,2
SHEIKHUPURA,SHEIKHUPURA,TEHSIL,65 &  ABOVE,62369,36299,26070,,36463,21304,15159,,25906,14995,10911,
SIALKOT,SIALKOT,DISTRICT,ALL AGES,4472462,2265012,2206591,859,3017087,1519345,1497543,199,1455375,745667,709048,660
SIALKOT,SIALKOT,DISTRICT,UNDER 1,95350,49376,45974,,66673,34400,32273,,28677,14976,13701,
SIALKOT,SIALKOT,DISTRICT,UNDER 5,606524,314078,292446,,417596,215873,201723,,188928,98205,90723,
SIALKOT,SIALKOT,DISTRICT,UNDER 10,1116259,574768,541491,,767921,394480,373441,,348338,180288,168050,
SIALKOT,SIALKOT,DISTRICT,UNDER 15,1632098,843903,787798,397,1119387,577462,541922,3,512711,266441,245876,394
SIALKOT,SIALKOT,DISTRICT,05 - 24,1896348,969058,926773,517,1294419,658094,636269,56,601929,310964,290504,461
SIALKOT,SIALKOT,DISTRICT,15 - 49,2236469,1096520,1139543,406,1493025,725121,767732,172,743444,371399,371811,234
SIALKOT,SIALKOT,DISTRICT,15 - 64,2649852,1314755,1334644,453,1766572,869254,897128,190,883280,445501,437516,263
SIALKOT,SIALKOT,DISTRICT,18 - 60,2287938,1125227,1162283,428,1520386,740986,779224,176,767552,384241,383059,252
SIALKOT,SIALKOT,DISTRICT,18 &  ABOVE,2559384,1276385,1282559,440,1705271,843258,861830,183,854113,433127,420729,257
SIALKOT,SIALKOT,DISTRICT,60 &  ABOVE,301486,166958,134513,15,204586,112592,91987,7,96900,54366,42526,8
SIALKOT,SIALKOT,DISTRICT,65 &  ABOVE,190512,106354,84149,9,131128,72629,58493,6,59384,33725,25656,3
DASKA,SIALKOT,TEHSIL,ALL AGES,980495,496850,483522,123,721177,365065,356043,69,259318,131785,127479,54
DASKA,SIALKOT,TEHSIL,UNDER 1,21164,10755,10409,,16015,8144,7871,,5149,2611,2538,
DASKA,SIALKOT,TEHSIL,UNDER 5,134698,69132,65566,,100730,51682,49048,,33968,17450,16518,
DASKA,SIALKOT,TEHSIL,UNDER 10,247035,126272,120763,,184679,94187,90492,,62356,32085,30271,
DASKA,SIALKOT,TEHSIL,UNDER 15,360876,185595,175280,1,269002,138127,130874,1,91874,47468,44406,
DASKA,SIALKOT,TEHSIL,05 - 24,417688,213458,204192,38,309077,157387,151671,19,108611,56071,52521,19
DASKA,SIALKOT,TEHSIL,15 - 49,489854,241545,248197,112,357080,175843,181176,61,132774,65702,67021,51
DASKA,SIALKOT,TEHSIL,15 - 64,579617,288977,290523,117,422208,210243,211901,64,157409,78734,78622,53
DASKA,SIALKOT,TEHSIL,18 - 60,499807,247249,252448,110,363397,179703,183633,61,136410,67546,68815,49
DASKA,SIALKOT,TEHSIL,18 &  ABOVE,557678,279394,278169,115,406438,203533,202840,65,151240,75861,75329,50
DASKA,SIALKOT,TEHSIL,60 &  ABOVE,63781,35288,28488,5,47229,26035,21190,4,16552,9253,7298,1
DASKA,SIALKOT,TEHSIL,65 &  ABOVE,40002,22278,17719,5,29967,16695,13268,4,10035,5583,4451,1
PASRUR,SIALKOT,TEHSIL,ALL AGES,970043,490047,479895,101,838242,422856,415352,34,131801,67191,64543,67
PASRUR,SIALKOT,TEHSIL,UNDER 1,23605,12522,11083,,20764,11059,9705,,2841,1463,1378,
PASRUR,SIALKOT,TEHSIL,UNDER 5,137840,72150,65690,,119645,62599,57046,,18195,9551,8644,
PASRUR,SIALKOT,TEHSIL,UNDER 10,252880,131038,121842,,219768,113753,106015,,33112,17285,15827,
PASRUR,SIALKOT,TEHSIL,UNDER 15,369823,192405,177416,2,320519,166542,153976,1,49304,25863,23440,1
PASRUR,SIALKOT,TEHSIL,05 - 24,424539,216781,207734,24,367549,187242,180292,15,56990,29539,27442,9
PASRUR,SIALKOT,TEHSIL,15 - 49,471781,229036,242661,84,406212,196813,209373,26,65569,32223,33288,58
PASRUR,SIALKOT,TEHSIL,15 - 64,557090,274260,282732,98,479607,235643,243932,32,77483,38617,38800,66
PASRUR,SIALKOT,TEHSIL,18 - 60,476923,232337,244497,89,410368,199553,210790,25,66555,32784,33707,64
PASRUR,SIALKOT,TEHSIL,18 &  ABOVE,536366,264743,271530,93,462534,227974,234533,27,73832,36769,36997,66
PASRUR,SIALKOT,TEHSIL,60 &  ABOVE,65415,35540,29871,4,57398,31161,26235,2,8017,4379,3636,2
PASRUR,SIALKOT,TEHSIL,65 &  ABOVE,43130,23382,19747,1,38116,20671,17444,1,5014,2711,2303,
SAMBRIAL,SIALKOT,TEHSIL,ALL AGES,460280,231496,228723,61,318373,159343,159010,20,141907,72153,69713,41
SAMBRIAL,SIALKOT,TEHSIL,UNDER 1,8919,4568,4351,,6288,3219,3069,,2631,1349,1282,
SAMBRIAL,SIALKOT,TEHSIL,UNDER 5,57831,29748,28083,,39625,20264,19361,,18206,9484,8722,
SAMBRIAL,SIALKOT,TEHSIL,UNDER 10,110048,56248,53800,,76052,38785,37267,,33996,17463,16533,
SAMBRIAL,SIALKOT,TEHSIL,UNDER 15,162554,83540,79012,2,112161,57498,54663,,50393,26042,24349,2
SAMBRIAL,SIALKOT,TEHSIL,05 - 24,195787,99077,96702,8,135487,68418,67066,3,60300,30659,29636,5
SAMBRIAL,SIALKOT,TEHSIL,15 - 49,232860,112921,119887,52,160147,77053,83076,18,72713,35868,36811,34
SAMBRIAL,SIALKOT,TEHSIL,15 - 64,277089,136235,140795,59,190973,93284,97669,20,86116,42951,43126,39
SAMBRIAL,SIALKOT,TEHSIL,18 - 60,239260,116429,122773,58,164641,79432,85189,20,74619,36997,37584,38
SAMBRIAL,SIALKOT,TEHSIL,18 &  ABOVE,268724,133168,135498,58,186161,91564,94577,20,82563,41604,40921,38
SAMBRIAL,SIALKOT,TEHSIL,60 &  ABOVE,32572,18359,14213,,23639,13216,10423,,8933,5143,3790,
SAMBRIAL,SIALKOT,TEHSIL,65 &  ABOVE,20637,11721,8916,,15239,8561,6678,,5398,3160,2238,
SIALKOT,SIALKOT,TEHSIL,ALL AGES,2061644,1046619,1014451,574,1139295,572081,567138,76,922349,474538,447313,498
SIALKOT,SIALKOT,TEHSIL,UNDER 1,41662,21531,20131,,23606,11978,11628,,18056,9553,8503,
SIALKOT,SIALKOT,TEHSIL,UNDER 5,276155,143048,133107,,157596,81328,76268,,118559,61720,56839,
SIALKOT,SIALKOT,TEHSIL,UNDER 10,506296,261210,245086,,287422,147755,139667,,218874,113455,105419,
SIALKOT,SIALKOT,TEHSIL,UNDER 15,738845,382363,356090,392,417705,215295,202409,1,321140,167068,153681,391
SIALKOT,SIALKOT,TEHSIL,05 - 24,858334,439742,418145,447,482306,245047,237240,19,376028,194695,180905,428
SIALKOT,SIALKOT,TEHSIL,15 - 49,1041974,513018,528798,158,569586,275412,294107,67,472388,237606,234691,91
SIALKOT,SIALKOT,TEHSIL,15 - 64,1236056,615283,620594,179,673784,330084,343626,74,562272,285199,276968,105
SIALKOT,SIALKOT,TEHSIL,18 - 60,1071948,529212,542565,171,581980,282298,299612,70,489968,246914,242953,101
SIALKOT,SIALKOT,TEHSIL,18 &  ABOVE,1196616,599080,597362,174,650138,320187,329880,71,546478,278893,267482,103
SIALKOT,SIALKOT,TEHSIL,60 &  ABOVE,139718,77771,61941,6,76320,42180,34139,1,63398,35591,27802,5
SIALKOT,SIALKOT,TEHSIL,65 &  ABOVE,86743,48973,37767,3,47806,26702,21103,1,38937,22271,16664,2
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,ALL AGES,2524044,1295646,1228162,236,1960519,1006994,953434,91,563525,288652,274728,145
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,UNDER 1,54526,28492,26034,,43154,22523,20631,,11372,5969,5403,
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,UNDER 5,323405,167549,155856,,256557,132808,123749,,66848,34741,32107,
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,UNDER 10,621491,319491,302000,,492591,253064,239527,,128900,66427,62473,
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,UNDER 15,906891,468916,437973,2,713311,368329,344980,2,193580,100587,92993,
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,05 - 24,1049793,540425,509324,44,817203,420704,396481,18,232590,119721,112843,26
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,15 - 49,1255313,632222,622894,197,964236,486404,477757,75,291077,145818,145137,122
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,15 - 64,1499870,761424,738217,229,1153088,586205,566795,88,346782,175219,171422,141
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,18 - 60,1298267,654897,643152,218,997097,503909,493107,81,301170,150988,150045,137
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,18 &  ABOVE,1465741,747526,717989,226,1130226,577590,552552,84,335515,169936,165437,142
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,60 &  ABOVE,182912,100515,82387,10,145146,79808,65334,4,37766,20707,17053,6
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,65 &  ABOVE,117283,65306,51972,5,94120,52460,41659,1,23163,12846,10313,4
GOJRA,TOBA TEK SINGH,TEHSIL,ALL AGES,755579,387978,367557,44,541230,277914,263306,10,214349,110064,104251,34
GOJRA,TOBA TEK SINGH,TEHSIL,UNDER 1,17109,9016,8093,,12260,6443,5817,,4849,2573,2276,
GOJRA,TOBA TEK SINGH,TEHSIL,UNDER 5,95668,49644,46024,,69315,35842,33473,,26353,13802,12551,
GOJRA,TOBA TEK SINGH,TEHSIL,UNDER 10,181182,93197,87985,,131774,67612,64162,,49408,25585,23823,
GOJRA,TOBA TEK SINGH,TEHSIL,UNDER 15,265494,136982,128511,1,191091,98239,92851,1,74403,38743,35660,
GOJRA,TOBA TEK SINGH,TEHSIL,05 - 24,310814,159223,151576,15,221768,113538,108225,5,89046,45685,43351,10
GOJRA,TOBA TEK SINGH,TEHSIL,15 - 49,378970,191036,187898,36,268778,135804,132967,7,110192,55232,54931,29
GOJRA,TOBA TEK SINGH,TEHSIL,15 - 64,453749,230567,223139,43,322572,164223,158340,9,131177,66344,64799,34
GOJRA,TOBA TEK SINGH,TEHSIL,18 - 60,392875,198605,194233,37,279232,141521,137705,6,113643,57084,56528,31
GOJRA,TOBA TEK SINGH,TEHSIL,18 &  ABOVE,444710,227569,217103,38,318076,163175,154895,6,126634,64394,62208,32
GOJRA,TOBA TEK SINGH,TEHSIL,60 &  ABOVE,56732,31469,25260,3,42348,23435,18912,1,14384,8034,6348,2
GOJRA,TOBA TEK SINGH,TEHSIL,65 &  ABOVE,36336,20429,15907,,27567,15452,12115,,8769,4977,3792,
