name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
MODEL TOWN,TEHSIL,LAHORE,URBAN,,3244906,1687860,1556362,684,108.45,,,6.5,2712398,3.04
RAIWIND,TEHSIL,LAHORE,OVERALL,467,1080637,581873,498419,345,116.74,2314,100,6.3,848541,4.12
RAIWIND,TEHSIL,LAHORE,RURAL,,,,,,,,,,,
RAIWIND,TEHSIL,LAHORE,URBAN,,1080637,581873,498419,345,116.74,,,6.3,848541,4.12
SHALIMAR,TEHSIL,LAHORE,OVERALL,272,2670140,1402623,1267311,206,110.68,9816.690000000001,100,6.3,2281557,2.66
SHALIMAR,TEHSIL,LAHORE,RURAL,,,,,,,,,,,
SHALIMAR,TEHSIL,LAHORE,URBAN,,2670140,1402623,1267311,206,110.68,,,6.3,2281557,2.66
LAYYAH,DISTRICT,LAYYAH,OVERALL,6289,2102386,1082922,1019375,89,106.23,334.3,18.37,6.1,1823995,2.4
LAYYAH,DISTRICT,LAYYAH,RURAL,,1716104,885147,830922,35,106.53,,,6.1,1502821,2.24
LAYYAH,DISTRICT,LAYYAH,URBAN,,386282,197775,188453,54,104.95,,,6,321174,3.13
CHOUBARA,TEHSIL,LAYYAH,OVERALL,2754,299082,156262,142816,4,109.41,108.6,19.06,6.7,252540,2.87
CHOUBARA,TEHSIL,LAYYAH,RURAL,,242080,126588,115491,1,109.61,,,6.8,204169,2.89
CHOUBARA,TEHSIL,LAYYAH,URBAN,,57002,29674,27325,3,108.6,,,6.6,48371,2.78
KAROR LAL ESAN,TEHSIL,LAYYAH,OVERALL,1823,684729,352117,332573,39,105.88,375.61,13.24,6.2,594367,2.39
KAROR LAL ESAN,TEHSIL,LAYYAH,RURAL,,594099,306106,287989,4,106.29,,,6.2,515040,2.42
KAROR LAL ESAN,TEHSIL,LAYYAH,URBAN,,90630,46011,44584,35,103.2,,,6.1,79327,2.25
LAYYAH,TEHSIL,LAYYAH,OVERALL,1712,1118575,574543,543986,46,105.62,653.37,21.34,5.9,977088,2.29
LAYYAH,TEHSIL,LAYYAH,RURAL,,879925,452453,427442,30,105.85,,,5.9,783612,1.96
LAYYAH,TEHSIL,LAYYAH,URBAN,,238650,122090,116544,16,104.76,,,5.8,193476,3.57
LODHRAN,DISTRICT,LODHRAN,OVERALL,2778,1928299,997846,930336,117,107.26,694.13,16.86,5.9,1699693,2.13
LODHRAN,DISTRICT,LODHRAN,RURAL,,1603246,830802,772395,49,107.56,,,6,1434092,1.88
LODHRAN,DISTRICT,LODHRAN,URBAN,,325053,167044,157941,68,105.76,,,5.7,265601,3.43
DUNYAPUR,TEHSIL,LODHRAN,OVERALL,889,571333,294330,276976,27,106.27,642.67,9.08,6.2,495217,2.42
DUNYAPUR,TEHSIL,LODHRAN,RURAL,,519445,267774,251660,11,106.4,,,6.2,453663,2.29
DUNYAPUR,TEHSIL,LODHRAN,URBAN,,51888,26556,25316,16,104.9,,,6,41554,3.78
KAHROR PACCA,TEHSIL,LODHRAN,OVERALL,778,547761,284432,263303,26,108.02,704.0599999999999,23.49,5.2,500963,1.5
KAHROR PACCA,TEHSIL,LODHRAN,RURAL,,419108,218254,200849,5,108.67,,,5.2,394678,1.01
KAHROR PACCA,TEHSIL,LODHRAN,URBAN,,128653,66178,62454,21,105.96,,,5.2,106285,3.24
LODHRAN,TEHSIL,LODHRAN,OVERALL,1111,809205,419084,390057,64,107.44,728.36,17.86,6.3,703513,2.37
LODHRAN,TEHSIL,LODHRAN,RURAL,,664693,344774,319886,33,107.78,,,6.3,585751,2.14
LODHRAN,TEHSIL,LODHRAN,URBAN,,144512,74310,70171,31,105.9,,,6,117762,3.48
MANDI BAHAUDDIN,DISTRICT,MANDI BAHAUDDIN,OVERALL,2673,1829486,917125,912222,139,100.54,684.43,18.92,6.3,1594039,2.33
MANDI BAHAUDDIN,DISTRICT,MANDI BAHAUDDIN,RURAL,,1483345,743168,740095,82,100.42,,,6.4,1267681,2.66
MANDI BAHAUDDIN,DISTRICT,MANDI BAHAUDDIN,URBAN,,346141,173957,172127,57,101.06,,,6.2,326358,.99
MALAKWAL,TEHSIL,MANDI BAHAUDDIN,OVERALL,759,429303,215543,213701,59,100.86,565.62,11.96,6.2,372171,2.42
MALAKWAL,TEHSIL,MANDI BAHAUDDIN,RURAL,,377976,190108,187825,43,101.22,,,6.2,328748,2.36
MALAKWAL,TEHSIL,MANDI BAHAUDDIN,URBAN,,51327,25435,25876,16,98.3,,,5.8,43423,2.83
MANDI BAHAUDDIN,TEHSIL,MANDI BAHAUDDIN,OVERALL,759,764532,383002,381480,50,100.4,1007.29,30.39,6.4,668538,2.27
MANDI BAHAUDDIN,TEHSIL,MANDI BAHAUDDIN,RURAL,,532171,265641,266517,13,99.67,,,6.5,451306,2.79
MANDI BAHAUDDIN,TEHSIL,MANDI BAHAUDDIN,URBAN,,232361,117361,114963,37,102.09,,,6.3,217232,1.13
PHALIA,TEHSIL,MANDI BAHAUDDIN,OVERALL,1155,635651,318580,317041,30,100.49,550.35,9.83,6.4,553330,2.34
PHALIA,TEHSIL,MANDI BAHAUDDIN,RURAL,,573198,287419,285753,26,100.58,,,6.4,487627,2.74
PHALIA,TEHSIL,MANDI BAHAUDDIN,URBAN,,62453,31161,31288,4,99.59,,,6.3,65703,-.84
MIANWALI,DISTRICT,MIANWALI,OVERALL,5840,1798268,918115,880088,65,104.32,307.92,20.21,6,1542601,2.6
MIANWALI,DISTRICT,MIANWALI,RURAL,,1434815,732190,702599,26,104.21,,,6.1,1214789,2.82
MIANWALI,DISTRICT,MIANWALI,URBAN,,363453,185925,177489,39,104.75,,,5.6,327812,1.74
ISAKHEL,TEHSIL,MIANWALI,OVERALL,1863,414100,206471,207618,11,99.45,222.28,22.83,6.2,374194,1.71
ISAKHEL,TEHSIL,MIANWALI,RURAL,,319559,159569,159988,2,99.73999999999999,,,6.3,289633,1.66
ISAKHEL,TEHSIL,MIANWALI,URBAN,,94541,46902,47630,9,98.47,,,5.9,84561,1.88
MIANWALI,TEHSIL,MIANWALI,OVERALL,2689,908405,465831,442548,26,105.26,337.82,17.9,5.8,766357,2.88
MIANWALI,TEHSIL,MIANWALI,RURAL,,745764,381801,363951,12,104.9,,,6,618946,3.16
MIANWALI,TEHSIL,MIANWALI,URBAN,,162641,84030,78597,14,106.91,,,5.3,147411,1.66
PIPLAN,TEHSIL,MIANWALI,OVERALL,1288,475763,245813,229922,28,106.91,369.38,22.34,6.2,402050,2.85
PIPLAN,TEHSIL,MIANWALI,RURAL,,369492,190820,178660,12,106.81,,,6.3,306210,3.19
PIPLAN,TEHSIL,MIANWALI,URBAN,,106271,54993,51262,16,107.28,,,5.9,95840,1.74
MULTAN,DISTRICT,MULTAN,OVERALL,3720,5362305,2730613,2631285,407,103.77,1441.48,46.62,6,4746166,2.06
MULTAN,DISTRICT,MULTAN,RURAL,,2862434,1452332,1409966,136,103,,,6,2687246,1.06
MULTAN,DISTRICT,MULTAN,URBAN,,2499871,1278281,1221319,271,104.66,,,6.1,2058920,3.3
JALALPUR PIRWALA,TEHSIL,MULTAN,OVERALL,978,608488,304541,303926,21,100.2,622.18,14.74,5.8,554971,1.55
JALALPUR PIRWALA,TEHSIL,MULTAN,RURAL,,518809,259575,259224,10,100.14,,,5.7,487518,1.05
JALALPUR PIRWALA,TEHSIL,MULTAN,URBAN,,89679,44966,44702,11,100.59,,,5.9,67453,4.87
MULTAN CITY,TEHSIL,MULTAN,OVERALL,304,2555486,1310090,1245109,287,105.22,8406.200000000001,84.91,6.1,2259115,2.08
MULTAN CITY,TEHSIL,MULTAN,RURAL,,385571,198359,187168,44,105.98,,,6,432114,-1.89
MULTAN CITY,TEHSIL,MULTAN,URBAN,,2169915,1111731,1057941,243,105.08,,,6.1,1827001,2.92
MULTAN SADDAR,TEHSIL,MULTAN,OVERALL,1632,1516004,769831,746093,80,103.18,928.92,5.88,6,1323076,2.3
MULTAN SADDAR,TEHSIL,MULTAN,RURAL,,1426842,724930,701842,70,103.29,,,6,1238708,2.39
MULTAN SADDAR,TEHSIL,MULTAN,URBAN,,89162,44901,44251,10,101.47,,,5.9,84368,.93
SHUJABAD,TEHSIL,MULTAN,OVERALL,806,682327,346151,336157,19,102.97,846.5599999999999,22.15,5.9,609004,1.92
SHUJABAD,TEHSIL,MULTAN,RURAL,,531212,269468,261732,12,102.96,,,6,528906,.07
SHUJABAD,TEHSIL,MULTAN,URBAN,,151115,76683,74425,7,103.03,,,5.7,80098,11.19
MUZAFFARGARH,DISTRICT,MUZAFFARGARH,OVERALL,8249,5015325,2546877,2468339,109,103.18,607.99,18.88,6.2,4328549,2.49
MUZAFFARGARH,DISTRICT,MUZAFFARGARH,RURAL,,4068531,2067097,2001370,64,103.28,,,6.2,3630138,1.92
MUZAFFARGARH,DISTRICT,MUZAFFARGARH,URBAN,,946794,479780,466969,45,102.74,,,6.2,698411,5.22
ALIPUR,TEHSIL,MUZAFFARGARH,OVERALL,1391,760526,389269,371244,13,104.86,546.75,23.39,6.9,640384,2.92
ALIPUR,TEHSIL,MUZAFFARGARH,RURAL,,582633,298288,284337,8,104.91,,,6.9,595880,-.38
ALIPUR,TEHSIL,MUZAFFARGARH,URBAN,,177893,90981,86907,5,104.69,,,6.8,44504,26.06
ALIPUR,TEHSIL,MUZAFFARGARH,OVERALL,1785,414578,207708,206865,5,100.41,232.26,15.3,6.2,365714,2.12
SHAHEED,TEHSIL,MUZAFFARGARH,OVERALL,,,,,,,,,,,
SHAHEED,TEHSIL,MUZAFFARGARH,RURAL,,351157,176219,174934,4,100.73,,,6.3,309597,2.13
