name_admin_unit,part_of_district,admin_unit,language,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ALLAI,BATAGRAM,TEHSIL,PUNJABI,5,,5,,5,,5,,,,,
ALLAI,BATAGRAM,TEHSIL,PUSHTO,195697,95158,100534,5,195697,95158,100534,5,,,,
ALLAI,BATAGRAM,TEHSIL,SARAIKI,1,,1,,1,,1,,,,,
ALLAI,BATAGRAM,TEHSIL,SHINA,117,59,58,,117,59,58,,,,,
ALLAI,BATAGRAM,TEHSIL,SINDHI,19,11,8,,19,11,8,,,,,
ALLAI,BATAGRAM,TEHSIL,TOTAL,217566,105584,111977,5,217566,105584,111977,5,,,,
ALLAI,BATAGRAM,TEHSIL,URDU,101,51,50,,101,51,50,,,,,
ALPURI,SHANGLA,TEHSIL,BALOCHI,153,80,73,,153,80,73,,,,,
ALPURI,SHANGLA,TEHSIL,BALTI,,,,,,,,,,,,
ALPURI,SHANGLA,TEHSIL,BRAHVI,,,,,,,,,,,,
ALPURI,SHANGLA,TEHSIL,HINDKO,2,1,1,,2,1,1,,,,,
ALPURI,SHANGLA,TEHSIL,KALASHA,2,1,1,,2,1,1,,,,,
ALPURI,SHANGLA,TEHSIL,KASHMIRI,5,,5,,5,,5,,,,,
ALPURI,SHANGLA,TEHSIL,KOHIOSTANI,1135,546,589,,1135,546,589,,,,,
ALPURI,SHANGLA,TEHSIL,MEWATI,,,,,,,,,,,,
ALPURI,SHANGLA,TEHSIL,OTHERS,10579,4993,5586,,10579,4993,5586,,,,,
ALPURI,SHANGLA,TEHSIL,PUNJABI,18,6,12,,18,6,12,,,,,
ALPURI,SHANGLA,TEHSIL,PUSHTO,354557,171728,182827,2,354557,171728,182827,2,,,,
ALPURI,SHANGLA,TEHSIL,SARAIKI,2,,1,1,2,,1,1,,,,
ALPURI,SHANGLA,TEHSIL,SHINA,,,,,,,,,,,,
ALPURI,SHANGLA,TEHSIL,SINDHI,38,16,22,,38,16,22,,,,,
ALPURI,SHANGLA,TEHSIL,TOTAL,366643,177437,189203,3,366643,177437,189203,3,,,,
ALPURI,SHANGLA,TEHSIL,URDU,152,66,86,,152,66,86,,,,,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,BALOCHI,68,38,30,,68,38,30,,,,,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,BALTI,,,,,,,,,,,,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,BRAHVI,,,,,,,,,,,,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,HINDKO,,,,,,,,,,,,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,KALASHA,,,,,,,,,,,,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,KASHMIRI,2,2,,,2,2,,,,,,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,KOHIOSTANI,,,,,,,,,,,,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,MEWATI,,,,,,,,,,,,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,OTHERS,11,4,7,,11,4,7,,,,,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,PUNJABI,,,,,,,,,,,,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,PUSHTO,79364,39022,40341,1,79364,39022,40341,1,,,,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,SARAIKI,,,,,,,,,,,,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,SHINA,,,,,,,,,,,,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,SINDHI,6,4,2,,6,4,2,,,,,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,TOTAL,79455,39071,40383,1,79455,39071,40383,1,,,,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,URDU,4,1,3,,4,1,3,,,,,
BABUZAI,SWAT,TEHSIL,BALOCHI,699,380,319,,309,174,135,,390,206,184,
BABUZAI,SWAT,TEHSIL,BALTI,1,,1,,1,,1,,,,,
BABUZAI,SWAT,TEHSIL,BRAHVI,,,,,,,,,,,,
BABUZAI,SWAT,TEHSIL,HINDKO,393,195,198,,20,12,8,,373,183,190,
BABUZAI,SWAT,TEHSIL,KALASHA,7,5,2,,5,3,2,,2,2,,
BABUZAI,SWAT,TEHSIL,KASHMIRI,25,14,11,,14,9,5,,11,5,6,
BABUZAI,SWAT,TEHSIL,KOHIOSTANI,3355,1588,1767,,1663,788,875,,1692,800,892,
BABUZAI,SWAT,TEHSIL,MEWATI,,,,,,,,,,,,
BABUZAI,SWAT,TEHSIL,OTHERS,3221,1586,1635,,2534,1237,1297,,687,349,338,
BABUZAI,SWAT,TEHSIL,PUNJABI,935,441,492,2,47,23,24,,888,418,468,2
BABUZAI,SWAT,TEHSIL,PUSHTO,686273,328598,357631,44,330084,158776,171307,1,356189,169822,186324,43
BABUZAI,SWAT,TEHSIL,SARAIKI,52,23,29,,7,1,6,,45,22,23,
BABUZAI,SWAT,TEHSIL,SHINA,32,14,18,,18,7,11,,14,7,7,
BABUZAI,SWAT,TEHSIL,SINDHI,45,23,22,,18,10,8,,27,13,14,
BABUZAI,SWAT,TEHSIL,TOTAL,696404,333517,362840,47,335584,161420,174163,1,360820,172097,188677,46
BABUZAI,SWAT,TEHSIL,URDU,1366,650,715,1,864,380,484,,502,270,231,1
BADHBER,PESHAWAR,TEHSIL,BALOCHI,334,175,159,,334,175,159,,,,,
BADHBER,PESHAWAR,TEHSIL,BALTI,,,,,,,,,,,,
BADHBER,PESHAWAR,TEHSIL,BRAHVI,,,,,,,,,,,,
BADHBER,PESHAWAR,TEHSIL,HINDKO,30,19,11,,30,19,11,,,,,
BADHBER,PESHAWAR,TEHSIL,KALASHA,,,,,,,,,,,,
BADHBER,PESHAWAR,TEHSIL,KASHMIRI,10,3,7,,10,3,7,,,,,
BADHBER,PESHAWAR,TEHSIL,KOHIOSTANI,2,1,1,,2,1,1,,,,,
BADHBER,PESHAWAR,TEHSIL,MEWATI,,,,,,,,,,,,
BADHBER,PESHAWAR,TEHSIL,OTHERS,156,56,100,,156,56,100,,,,,
BADHBER,PESHAWAR,TEHSIL,PUNJABI,86,32,54,,86,32,54,,,,,
BADHBER,PESHAWAR,TEHSIL,PUSHTO,438900,216421,222477,2,438900,216421,222477,2,,,,
BADHBER,PESHAWAR,TEHSIL,SARAIKI,7,4,3,,7,4,3,,,,,
BADHBER,PESHAWAR,TEHSIL,SHINA,,,,,,,,,,,,
BADHBER,PESHAWAR,TEHSIL,SINDHI,117,58,59,,117,58,59,,,,,
BADHBER,PESHAWAR,TEHSIL,TOTAL,439849,216871,222976,2,439849,216871,222976,2,,,,
BADHBER,PESHAWAR,TEHSIL,URDU,207,102,105,,207,102,105,,,,,
BAFFA PAKHAL,MANSEHRA,TEHSIL,BALOCHI,88,42,46,,70,35,35,,18,7,11,
BAFFA PAKHAL,MANSEHRA,TEHSIL,BALTI,39,25,14,,38,24,14,,1,1,,
BAFFA PAKHAL,MANSEHRA,TEHSIL,BRAHVI,73,33,40,,71,33,38,,2,,2,
BAFFA PAKHAL,MANSEHRA,TEHSIL,HINDKO,213404,104090,109304,10,210627,102753,107865,9,2777,1337,1439,1
BAFFA PAKHAL,MANSEHRA,TEHSIL,KALASHA,9,7,2,,9,7,2,,,,,
BAFFA PAKHAL,MANSEHRA,TEHSIL,KASHMIRI,141,66,75,,141,66,75,,,,,
BAFFA PAKHAL,MANSEHRA,TEHSIL,KOHIOSTANI,11364,5495,5869,,11296,5460,5836,,68,35,33,
BAFFA PAKHAL,MANSEHRA,TEHSIL,MEWATI,1,1,,,1,1,,,,,,
BAFFA PAKHAL,MANSEHRA,TEHSIL,OTHERS,92824,46024,46797,3,92769,46001,46765,3,55,23,32,
BAFFA PAKHAL,MANSEHRA,TEHSIL,PUNJABI,420,220,200,,359,188,171,,61,32,29,
BAFFA PAKHAL,MANSEHRA,TEHSIL,PUSHTO,128223,61934,66287,2,113787,54996,58790,1,14436,6938,7497,1
BAFFA PAKHAL,MANSEHRA,TEHSIL,SARAIKI,55,31,24,,55,31,24,,,,,
BAFFA PAKHAL,MANSEHRA,TEHSIL,SHINA,2397,1206,1191,,2397,1206,1191,,,,,
BAFFA PAKHAL,MANSEHRA,TEHSIL,SINDHI,42,26,16,,38,25,13,,4,1,3,
BAFFA PAKHAL,MANSEHRA,TEHSIL,TOTAL,455544,222562,232967,15,438043,214144,223886,13,17501,8418,9081,2
BAFFA PAKHAL,MANSEHRA,TEHSIL,URDU,6464,3362,3102,,6385,3318,3067,,79,44,35,
BAJAUR,BAJAUR,DISTRICT,BALOCHI,1059,559,500,,1059,559,500,,,,,
BAJAUR,BAJAUR,DISTRICT,BALTI,,,,,,,,,,,,
BAJAUR,BAJAUR,DISTRICT,BRAHVI,1,1,,,1,1,,,,,,
BAJAUR,BAJAUR,DISTRICT,HINDKO,21,12,9,,21,12,9,,,,,
BAJAUR,BAJAUR,DISTRICT,KALASHA,,,,,,,,,,,,
BAJAUR,BAJAUR,DISTRICT,KASHMIRI,15,5,10,,15,5,10,,,,,
BAJAUR,BAJAUR,DISTRICT,KOHIOSTANI,17,8,9,,17,8,9,,,,,
BAJAUR,BAJAUR,DISTRICT,MEWATI,,,,,,,,,,,,
BAJAUR,BAJAUR,DISTRICT,OTHERS,160,78,82,,160,78,82,,,,,
BAJAUR,BAJAUR,DISTRICT,PUNJABI,145,79,66,,145,79,66,,,,,
BAJAUR,BAJAUR,DISTRICT,PUSHTO,1281221,633628,647578,15,1281221,633628,647578,15,,,,
BAJAUR,BAJAUR,DISTRICT,SARAIKI,12,8,4,,12,8,4,,,,,
BAJAUR,BAJAUR,DISTRICT,SHINA,4,4,,,4,4,,,,,,
BAJAUR,BAJAUR,DISTRICT,SINDHI,86,44,42,,86,44,42,,,,,
BAJAUR,BAJAUR,DISTRICT,TOTAL,1283113,634625,648473,15,1283113,634625,648473,15,,,,
BAJAUR,BAJAUR,DISTRICT,URDU,372,199,173,,372,199,173,,,,,
BAKKA KHEL,BANNU,TEHSIL,BALOCHI,226,123,103,,226,123,103,,,,,
BAKKA KHEL,BANNU,TEHSIL,BALTI,,,,,,,,,,,,
BAKKA KHEL,BANNU,TEHSIL,BRAHVI,,,,,,,,,,,,
BAKKA KHEL,BANNU,TEHSIL,HINDKO,,,,,,,,,,,,
BAKKA KHEL,BANNU,TEHSIL,KALASHA,,,,,,,,,,,,
BAKKA KHEL,BANNU,TEHSIL,KASHMIRI,2,2,,,2,2,,,,,,
BAKKA KHEL,BANNU,TEHSIL,KOHIOSTANI,,,,,,,,,,,,
BAKKA KHEL,BANNU,TEHSIL,MEWATI,,,,,,,,,,,,
BAKKA KHEL,BANNU,TEHSIL,OTHERS,8,5,3,,8,5,3,,,,,
BAKKA KHEL,BANNU,TEHSIL,PUNJABI,13,10,3,,13,10,3,,,,,
BAKKA KHEL,BANNU,TEHSIL,PUSHTO,192401,92547,99854,,192401,92547,99854,,,,,
BAKKA KHEL,BANNU,TEHSIL,SARAIKI,,,,,,,,,,,,
BAKKA KHEL,BANNU,TEHSIL,SHINA,,,,,,,,,,,,
BAKKA KHEL,BANNU,TEHSIL,SINDHI,15,7,8,,15,7,8,,,,,
BAKKA KHEL,BANNU,TEHSIL,TOTAL,192732,92728,100004,,192732,92728,100004,,,,,
BAKKA KHEL,BANNU,TEHSIL,URDU,67,34,33,,67,34,33,,,,,
BALAKOT,MANSEHRA,TEHSIL,BALOCHI,1,1,,,1,1,,,,,,
BALAKOT,MANSEHRA,TEHSIL,BALTI,8,8,,,8,8,,,,,,
BALAKOT,MANSEHRA,TEHSIL,BRAHVI,51,19,32,,51,19,32,,,,,
BALAKOT,MANSEHRA,TEHSIL,HINDKO,238030,117170,120846,14,238030,117170,120846,14,,,,
BALAKOT,MANSEHRA,TEHSIL,KALASHA,1,1,,,1,1,,,,,,
BALAKOT,MANSEHRA,TEHSIL,KASHMIRI,73,39,34,,73,39,34,,,,,
BALAKOT,MANSEHRA,TEHSIL,KOHIOSTANI,2142,1022,1120,,2142,1022,1120,,,,,
BALAKOT,MANSEHRA,TEHSIL,MEWATI,,,,,,,,,,,,
BALAKOT,MANSEHRA,TEHSIL,OTHERS,66750,33140,33610,,66750,33140,33610,,,,,
BALAKOT,MANSEHRA,TEHSIL,PUNJABI,134,66,67,1,134,66,67,1,,,,
BALAKOT,MANSEHRA,TEHSIL,PUSHTO,1937,980,955,2,1937,980,955,2,,,,
BALAKOT,MANSEHRA,TEHSIL,SARAIKI,58,23,35,,58,23,35,,,,,
BALAKOT,MANSEHRA,TEHSIL,SHINA,123,70,53,,123,70,53,,,,,
BALAKOT,MANSEHRA,TEHSIL,SINDHI,4,,4,,4,,4,,,,,
BALAKOT,MANSEHRA,TEHSIL,TOTAL,310164,152987,157160,17,310164,152987,157160,17,,,,
BALAKOT,MANSEHRA,TEHSIL,URDU,852,448,404,,852,448,404,,,,,
BANDA DAUD SHAH,KARAK,TEHSIL,BALOCHI,153,80,73,,153,80,73,,,,,
BANDA DAUD SHAH,KARAK,TEHSIL,BALTI,,,,,,,,,,,,
