name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
BAIKER,DERA BUGTI,SUB-TEHSIL,OVERALL,4831,4684,22,49,1,2,73,4700,55,1778,1547,896,610
BAIKER,DERA BUGTI,SUB-TEHSIL,RURAL,4831,4684,22,49,1,2,73,4700,55,1778,1547,896,610
BAIKER,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
DERA BUGTI,DERA BUGTI,SUB-DIVISION,OVERALL,9607,5904,97,3303,160,5,138,8995,309,6197,2540,636,234
DERA BUGTI,DERA BUGTI,SUB-DIVISION,RURAL,4178,3255,,854,13,,56,3945,164,2654,1038,344,142
DERA BUGTI,DERA BUGTI,SUB-DIVISION,URBAN,5429,2649,97,2449,147,5,82,5050,145,3543,1502,292,92
LOTI,DERA BUGTI,SUB-TEHSIL,OVERALL,4565,4233,103,112,3,4,110,4355,93,2786,958,332,489
LOTI,DERA BUGTI,SUB-TEHSIL,RURAL,4565,4233,103,112,3,4,110,4355,93,2786,958,332,489
LOTI,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
MALAM,DERA BUGTI,SUB-TEHSIL,OVERALL,4435,4282,7,16,2,4,124,4280,25,1834,1349,532,720
MALAM,DERA BUGTI,SUB-TEHSIL,RURAL,4435,4282,7,16,2,4,124,4280,25,1834,1349,532,720
MALAM,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
PIR KOH,DERA BUGTI,SUB-TEHSIL,OVERALL,8519,7968,85,286,,,180,8274,65,6519,1421,400,179
PIR KOH,DERA BUGTI,SUB-TEHSIL,RURAL,8519,7968,85,286,,,180,8274,65,6519,1421,400,179
PIR KOH,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
QADIRABAD,DERA BUGTI,SUB-DIVISION,OVERALL,3848,3418,11,266,,4,149,3653,42,744,1307,646,1151
QADIRABAD,DERA BUGTI,SUB-DIVISION,RURAL,3848,3418,11,266,,4,149,3653,42,744,1307,646,1151
QADIRABAD,DERA BUGTI,SUB-DIVISION,URBAN,,,,,,,,,,,,,
SANGSILLAH,DERA BUGTI,SUB-TEHSIL,OVERALL,2494,2314,7,165,,1,7,2461,25,1873,441,125,55
SANGSILLAH,DERA BUGTI,SUB-TEHSIL,RURAL,2494,2314,7,165,,1,7,2461,25,1873,441,125,55
SANGSILLAH,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
SUI,DERA BUGTI,SUB-DIVISION,OVERALL,23968,20322,448,1770,543,219,666,22268,272,15251,5986,1879,852
SUI,DERA BUGTI,SUB-DIVISION,RURAL,9569,8095,59,779,3,5,628,8871,62,6885,1999,557,128
SUI,DERA BUGTI,SUB-DIVISION,URBAN,14399,12227,389,991,540,214,38,13397,210,8366,3987,1322,724
DUKI,DUKI,DISTRICT,OVERALL,43059,33589,3695,5011,46,60,658,41697,598,8946,11862,9765,12486
DUKI,DUKI,DISTRICT,RURAL,40066,31313,3025,4998,22,56,652,38779,557,7994,10643,9265,12164
DUKI,DUKI,DISTRICT,URBAN,2993,2276,670,13,24,4,6,2918,41,952,1219,500,322
DUKI,DUKI,SUB-DIVISION,OVERALL,26606,20334,3005,2869,35,24,339,25854,354,5391,7060,5995,8160
DUKI,DUKI,SUB-DIVISION,RURAL,23613,18058,2335,2856,11,20,333,22936,313,4439,5841,5495,7838
DUKI,DUKI,SUB-DIVISION,URBAN,2993,2276,670,13,24,4,6,2918,41,952,1219,500,322
LUNI,DUKI,SUB-DIVISION,OVERALL,2907,2018,196,657,3,1,32,2825,46,240,558,792,1317
LUNI,DUKI,SUB-DIVISION,RURAL,2907,2018,196,657,3,1,32,2825,46,240,558,792,1317
LUNI,DUKI,SUB-DIVISION,URBAN,,,,,,,,,,,,,
TALAO,DUKI,SUB-TEHSIL,OVERALL,5256,4215,123,818,,3,97,5073,83,1134,1779,1183,1160
TALAO,DUKI,SUB-TEHSIL,RURAL,5256,4215,123,818,,3,97,5073,83,1134,1779,1183,1160
TALAO,DUKI,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
THAL CHUTYALI,DUKI,SUB-DIVISION,OVERALL,8290,7022,371,667,8,32,190,7945,115,2181,2465,1795,1849
THAL CHUTYALI,DUKI,SUB-DIVISION,RURAL,8290,7022,371,667,8,32,190,7945,115,2181,2465,1795,1849
THAL CHUTYALI,DUKI,SUB-DIVISION,URBAN,,,,,,,,,,,,,
GWADAR,GWADAR,DISTRICT,OVERALL,50357,46664,1807,757,975,33,121,46323,2905,22526,15765,6923,5143
GWADAR,GWADAR,DISTRICT,RURAL,22539,22005,274,167,24,7,62,20959,1487,12136,6561,2365,1477
GWADAR,GWADAR,DISTRICT,URBAN,27818,24659,1533,590,951,26,59,25364,1418,10390,9204,4558,3666
GWADAR,GWADAR,SUB-DIVISION,OVERALL,24533,22276,1332,661,183,8,73,23263,1006,9223,7966,4149,3195
GWADAR,GWADAR,SUB-DIVISION,RURAL,10503,10091,245,127,9,2,29,10009,454,4808,3512,1353,830
GWADAR,GWADAR,SUB-DIVISION,URBAN,14030,12185,1087,534,174,6,44,13254,552,4415,4454,2796,2365
JIWANI,GWADAR,TEHSIL,OVERALL,4420,4317,81,4,10,1,7,4154,248,1515,1412,800,693
JIWANI,GWADAR,TEHSIL,RURAL,1586,1569,12,3,,,2,1433,151,907,468,156,55
JIWANI,GWADAR,TEHSIL,URBAN,2834,2748,69,1,10,1,5,2721,97,608,944,644,638
ORMARA,GWADAR,TEHSIL,OVERALL,5415,4554,115,12,715,2,17,4351,330,3165,1701,338,211
ORMARA,GWADAR,TEHSIL,RURAL,1789,1763,,9,1,2,14,1637,135,1359,330,63,37
ORMARA,GWADAR,TEHSIL,URBAN,3626,2791,115,3,714,,3,2714,195,1806,1371,275,174
PASNI,GWADAR,SUB-DIVISION,OVERALL,13708,13252,272,79,67,19,19,12395,1208,7679,3916,1287,826
PASNI,GWADAR,SUB-DIVISION,RURAL,6380,6317,10,27,14,,12,5720,634,4118,1481,444,337
PASNI,GWADAR,SUB-DIVISION,URBAN,7328,6935,262,52,53,19,7,6675,574,3561,2435,843,489
SUNTSER,GWADAR,SUB-TEHSIL,OVERALL,2281,2265,7,1,,3,5,2160,113,944,770,349,218
SUNTSER,GWADAR,SUB-TEHSIL,RURAL,2281,2265,7,1,,3,5,2160,113,944,770,349,218
SUNTSER,GWADAR,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
HARNAI,HARNAI,DISTRICT,OVERALL,16393,13324,874,1672,216,18,289,15527,343,5513,5493,2951,2436
HARNAI,HARNAI,DISTRICT,RURAL,11891,10251,192,1288,8,13,139,11459,272,4071,3969,2203,1648
HARNAI,HARNAI,DISTRICT,URBAN,4502,3073,682,384,208,5,150,4068,71,1442,1524,748,788
HARNAI,HARNAI,SUB-DIVISION,OVERALL,10170,8178,565,1120,194,5,108,9670,193,3573,3315,1845,1437
HARNAI,HARNAI,SUB-DIVISION,RURAL,8051,6850,158,932,5,3,103,7778,162,2671,2718,1532,1130
HARNAI,HARNAI,SUB-DIVISION,URBAN,2119,1328,407,188,189,2,5,1892,31,902,597,313,307
KHOAST,HARNAI,SUB-DIVISION,OVERALL,2212,2016,25,156,,,15,2134,63,877,711,391,233
KHOAST,HARNAI,SUB-DIVISION,RURAL,2212,2016,25,156,,,15,2134,63,877,711,391,233
KHOAST,HARNAI,SUB-DIVISION,URBAN,,,,,,,,,,,,,
SHAHRIG,HARNAI,TEHSIL,OVERALL,4011,3130,284,396,22,13,166,3723,87,1063,1467,715,766
SHAHRIG,HARNAI,TEHSIL,RURAL,1628,1385,9,200,3,10,21,1547,47,523,540,280,285
SHAHRIG,HARNAI,TEHSIL,URBAN,2383,1745,275,196,19,3,145,2176,40,540,927,435,481
JAFFARABAD,JAFFARABAD,DISTRICT,OVERALL,81562,51386,5763,17935,580,48,5850,73276,1808,53553,18897,5430,3682
JAFFARABAD,JAFFARABAD,DISTRICT,RURAL,62763,37238,2260,17312,241,47,5665,55323,1487,46226,12472,2666,1399
JAFFARABAD,JAFFARABAD,DISTRICT,URBAN,18799,14148,3503,623,339,1,185,17953,321,7327,6425,2764,2283
GANDAKHA,JAFFARABAD,TEHSIL,OVERALL,14259,11354,27,1672,11,5,1190,12608,445,11595,2202,344,118
GANDAKHA,JAFFARABAD,TEHSIL,RURAL,14259,11354,27,1672,11,5,1190,12608,445,11595,2202,344,118
GANDAKHA,JAFFARABAD,TEHSIL,URBAN,,,,,,,,,,,,,
JHAT PAT,JAFFARABAD,SUB-DIVISION,OVERALL,37693,26247,2738,7075,387,35,1211,35302,758,22543,9882,3194,2074
JHAT PAT,JAFFARABAD,SUB-DIVISION,RURAL,26891,17581,1088,6837,215,34,1136,24964,542,18510,6247,1434,700
JHAT PAT,JAFFARABAD,SUB-DIVISION,URBAN,10802,8666,1650,238,172,1,75,10338,216,4033,3635,1760,1374
USTA MUHAMMAD,JAFFARABAD,SUB-DIVISION,OVERALL,29610,13785,2998,9188,182,8,3449,25366,605,19415,6813,1892,1490
USTA MUHAMMAD,JAFFARABAD,SUB-DIVISION,RURAL,21613,8303,1145,8803,15,8,3339,17751,500,16121,4023,888,581
USTA MUHAMMAD,JAFFARABAD,SUB-DIVISION,URBAN,7997,5482,1853,385,167,,110,7615,105,3294,2790,1004,909
JHAL MAGSI,JHAL MAGSI,DISTRICT,OVERALL,30953,28608,305,1718,83,13,226,30080,551,17839,9101,2683,1330
JHAL MAGSI,JHAL MAGSI,DISTRICT,RURAL,27257,25140,185,1680,33,11,208,26510,495,16095,8075,2152,935
JHAL MAGSI,JHAL MAGSI,DISTRICT,URBAN,3696,3468,120,38,50,2,18,3570,56,1744,1026,531,395
GANDAWA,JHAL MAGSI,TEHSIL,OVERALL,11109,10508,198,285,54,3,61,10819,172,5928,3248,1156,777
GANDAWA,JHAL MAGSI,TEHSIL,RURAL,7413,7040,78,247,4,1,43,7249,116,4184,2222,625,382
GANDAWA,JHAL MAGSI,TEHSIL,URBAN,3696,3468,120,38,50,2,18,3570,56,1744,1026,531,395
