name_admin_unit,part_of_district,admin_unit,vars,all_sexes_overall,male_overall,female_overall,tgend_overall,all_sexes_rural,male_rural,female_rural,tgend_rural,all_sexes_urban,male_urban,female_urban,tgend_urban
BAHAWALPUR,BAHAWALPUR,DISTRICT,Enrolment Intermidiate,54710,27625,27084,1,21882,11280,10602,,32828,16345,16482,1
BAHAWALPUR,BAHAWALPUR,DISTRICT,Enrolment Graduation above,81124,39243,41878,3,21399,10411,10988,,59725,28832,30890,3
BAHAWALPUR,BAHAWALPUR,DISTRICT,Never to School (all),1681695,757719,923692,284,1240019,560290,679631,98,441676,197429,244061,186
BAHAWALPUR,BAHAWALPUR,DISTRICT,Drop Out (5 - 16),111783,59776,52002,5,74161,38888,35270,3,37622,20888,16732,2
BAHAWALPUR,BAHAWALPUR,DISTRICT,Never to School (5-16),375981,180622,195337,22,305572,146944,158617,11,70409,33678,36720,11
BAHAWALPUR,BAHAWALPUR,DISTRICT,Out of School Children (5-16),487764,240398,247339,27,379733,185832,193887,14,108031,54566,53452,13
AHMADPUR EAST,BAHAWALPUR,TEHSIL,Population >=5,1061584,540107,521345,132,777827,396414,381394,19,283757,143693,139951,113
AHMADPUR EAST,BAHAWALPUR,TEHSIL,Population >=10,862156,438487,423537,132,626075,319182,306874,19,236081,119305,116663,113
AHMADPUR EAST,BAHAWALPUR,TEHSIL,Literate >=10,342082,205359,136683,40,200571,128551,72017,3,141511,76808,64666,37
AHMADPUR EAST,BAHAWALPUR,TEHSIL,Literate %,39.68,46.83,32.27,30.3,32.04,40.28,23.47,15.79,59.94,64.38,55.43,32.74
AHMADPUR EAST,BAHAWALPUR,TEHSIL,Ever Attended,438739,256117,182587,35,265789,162456,103330,3,172950,93661,79257,32
AHMADPUR EAST,BAHAWALPUR,TEHSIL,Primary Completed,65408,39734,25664,10,42861,27365,15496,,22547,12369,10168,10
AHMADPUR EAST,BAHAWALPUR,TEHSIL,Enrolment Primary,139573,72838,66735,,93416,48467,44949,,46157,24371,21786,
AHMADPUR EAST,BAHAWALPUR,TEHSIL,Enrolment Middle,37971,19797,18174,,21949,12305,9644,,16022,7492,8530,
AHMADPUR EAST,BAHAWALPUR,TEHSIL,Enrolment Matric,19963,10771,9189,3,9782,5890,3890,2,10181,4881,5299,1
AHMADPUR EAST,BAHAWALPUR,TEHSIL,Enrolment Intermidiate,9961,5437,4523,1,4472,2786,1686,,5489,2651,2837,1
AHMADPUR EAST,BAHAWALPUR,TEHSIL,Enrolment Graduation above,9909,5261,4648,,4276,2725,1551,,5633,2536,3097,
AHMADPUR EAST,BAHAWALPUR,TEHSIL,Never to School (all),622845,283990,338758,97,512038,233958,278064,16,110807,50032,60694,81
AHMADPUR EAST,BAHAWALPUR,TEHSIL,Drop Out (5 - 16),32362,17093,15268,1,24705,12949,11756,,7657,4144,3512,1
AHMADPUR EAST,BAHAWALPUR,TEHSIL,Never to School (5-16),167917,80870,87041,6,147436,70940,76494,2,20481,9930,10547,4
AHMADPUR EAST,BAHAWALPUR,TEHSIL,Out of School Children (5-16),200279,97963,102309,7,172141,83889,88250,2,28138,14074,14059,5
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,Population >=5,712824,364032,348690,102,,,,,712824,364032,348690,102
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,Population >=10,616397,315341,300954,102,,,,,616397,315341,300954,102
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,Literate >=10,441761,238184,203500,77,,,,,441761,238184,203500,77
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,Literate %,71.67,75.53,67.62,75.48999999999999,,,,,71.67,75.53,67.62,75.48999999999999
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,Ever Attended,511004,274484,236444,76,,,,,511004,274484,236444,76
