name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Intermidiate,15 - 24,557,149,408,,557,149,408,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Intermidiate,15 - 49,584,154,430,,584,154,430,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Intermidiate,25 - 40,25,5,20,,25,5,20,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Intermidiate,41 - 60,2,,2,,2,,2,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Intermidiate,5 - 16,263,75,188,,263,75,188,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Intermidiate,5 - 9,,,,,,,,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Intermidiate,>18,183,40,143,,183,40,143,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Intermidiate,>60,1,,1,,1,,1,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Matric,10 - 12,,,,,,,,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Matric,13 - 14,577,108,469,,577,108,469,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Matric,15 - 24,339,92,247,,339,92,247,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Matric,15 - 49,339,92,247,,339,92,247,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Matric,25 - 40,,,,,,,,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Matric,41 - 60,,,,,,,,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Matric,5 - 16,743,155,588,,743,155,588,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Matric,5 - 9,,,,,,,,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Matric,>18,95,22,73,,95,22,73,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Matric,>60,,,,,,,,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Middle,10 - 12,1979,774,1205,,1979,774,1205,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Middle,13 - 14,503,162,341,,503,162,341,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Middle,15 - 24,471,133,338,,471,133,338,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Middle,15 - 49,471,133,338,,471,133,338,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Middle,25 - 40,,,,,,,,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Middle,41 - 60,,,,,,,,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Middle,5 - 16,2765,1029,1736,,2765,1029,1736,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Middle,5 - 9,,,,,,,,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Middle,>18,74,12,62,,74,12,62,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Middle,>60,,,,,,,,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Primary,10 - 12,1774,665,1109,,1774,665,1109,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Primary,13 - 14,359,131,228,,359,131,228,,,,,
