name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
AWARAN,DISTRICT,SON/DAUGHTER,NEVER MARRIED,8559,10843,4,5884,7626,1,2675,3217,3
AWARAN,DISTRICT,SON/DAUGHTER,SEPARATION,2,0,0,1,0,0,1,0,0
AWARAN,DISTRICT,SON/DAUGHTER,WIDOWED,68,16,0,48,12,0,20,4,0
AWARAN,DISTRICT,SPOUSE,DIVORCED,0,0,,0,0,,0,0,
AWARAN,DISTRICT,SPOUSE,MARRIED,27179,134,,20694,87,,6485,47,
AWARAN,DISTRICT,SPOUSE,NEVER MARRIED,1,0,,1,0,,0,0,
AWARAN,DISTRICT,SPOUSE,SEPARATION,0,0,,0,0,,0,0,
AWARAN,DISTRICT,SPOUSE,WIDOWED,0,0,,0,0,,0,0,
BALOCHISTAN,PROVINCE,BROTHER/SISTER,DIVORCED,1106,190,0,680,119,0,426,71,0
BALOCHISTAN,PROVINCE,BROTHER/SISTER,MARRIED,13735,83924,0,8086,46654,0,5649,37270,0
BALOCHISTAN,PROVINCE,BROTHER/SISTER,NEVER MARRIED,89816,112505,46,52092,67228,30,37724,45277,16
BALOCHISTAN,PROVINCE,BROTHER/SISTER,SEPARATION,347,181,0,243,135,0,104,46,0
BALOCHISTAN,PROVINCE,BROTHER/SISTER,WIDOWED,4628,1275,0,2933,824,0,1695,451,0
BALOCHISTAN,PROVINCE,DAUGHTER IN-LAW/SON IN-LAW,DIVORCED,0,0,,0,0,,0,0,
BALOCHISTAN,PROVINCE,DAUGHTER IN-LAW/SON IN-LAW,MARRIED,145050,16418,,81037,9914,,64013,6504,
BALOCHISTAN,PROVINCE,DAUGHTER IN-LAW/SON IN-LAW,NEVER MARRIED,0,0,,0,0,,0,0,
BALOCHISTAN,PROVINCE,DAUGHTER IN-LAW/SON IN-LAW,SEPARATION,3,1,,1,0,,2,1,
BALOCHISTAN,PROVINCE,DAUGHTER IN-LAW/SON IN-LAW,WIDOWED,1400,109,,940,69,,460,40,
BALOCHISTAN,PROVINCE,FATHER/MOTHER,DIVORCED,543,66,,430,53,,113,13,
