district,sex_age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
BAHAWALNAGAR,ALL AGES,3544911,1842888,1701653,370,2571296,1336950,1234246,100,973615,505938,467407,270
BAHAWALNAGAR,BELOW 1,82644,42545,40099,,62428,32064,30364,,20216,10481,9735,
BAHAWALNAGAR,01,92035,48181,43854,,68899,36185,32714,,23136,11996,11140,
BAHAWALNAGAR,02,99809,51699,48110,,75596,39158,36438,,24213,12541,11672,
BAHAWALNAGAR,03,104751,53887,50864,,79328,40883,38445,,25423,13004,12419,
BAHAWALNAGAR,04,113439,59193,54246,,86175,45118,41057,,27264,14075,13189,
BAHAWALNAGAR,05,99004,51806,47198,,74428,38892,35536,,24576,12914,11662,
BAHAWALNAGAR,06,99064,51556,47508,,74560,38842,35718,,24504,12714,11790,
BAHAWALNAGAR,07,97431,50455,46976,,72211,37424,34787,,25220,13031,12189,
BAHAWALNAGAR,08,95950,50343,45607,,72060,37881,34179,,23890,12462,11428,
BAHAWALNAGAR,09,87794,46385,41409,,64637,34159,30478,,23157,12226,10931,
BAHAWALNAGAR,10,95740,51706,44034,,70802,38106,32696,,24938,13600,11338,
BAHAWALNAGAR,11,92256,49818,42438,,66265,35680,30585,,25991,14138,11853,
BAHAWALNAGAR,12,91724,50246,41478,,65944,35822,30122,,25780,14424,11356,
BAHAWALNAGAR,13,85647,46865,38782,,60492,32839,27653,,25155,14026,11129,
BAHAWALNAGAR,14,85080,45764,39302,14,60917,32449,28457,11,24163,13315,10845,3
BAHAWALNAGAR,15,75570,40489,35070,11,53695,28633,25054,8,21875,11856,10016,3
BAHAWALNAGAR,16,74644,40134,34504,6,53088,28490,24593,5,21556,11644,9911,1
BAHAWALNAGAR,17,67148,35660,31482,6,46712,24724,21984,4,20436,10936,9498,2
BAHAWALNAGAR,18,69904,36261,33638,5,50319,26023,24295,1,19585,10238,9343,4
BAHAWALNAGAR,19,62493,32193,30295,5,43520,22540,20979,1,18973,9653,9316,4
