name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
MULTAN,DIVISION,,RURAL,200 -- 499,119,41128,21150,19975,3,Rural Localities
MULTAN,DIVISION,,RURAL,LESS THAN 200,75,6852,3647,3205,,Rural Localities
MULTAN,DIVISION,,RURAL,UN-INHABITED,9,,,,,Rural Localities
RAWALPINDI,DIVISION,,RURAL,OVERALL,2452,5595604,2788376,2807139,89,Rural Localities
RAWALPINDI,DIVISION,,RURAL,"5,000 AND ABOVE",274,2329714,1165181,1164490,43,Rural Localities
RAWALPINDI,DIVISION,,RURAL,"2,000 -- 4,999",640,1980645,984451,996167,27,Rural Localities
RAWALPINDI,DIVISION,,RURAL,"1,000 -- 1,999",593,862078,426930,435140,8,Rural Localities
RAWALPINDI,DIVISION,,RURAL,500 -- 999,434,318997,158887,160105,5,Rural Localities
RAWALPINDI,DIVISION,,RURAL,200 -- 499,248,88700,44718,43976,6,Rural Localities
RAWALPINDI,DIVISION,,RURAL,LESS THAN 200,195,15470,8209,7261,,Rural Localities
RAWALPINDI,DIVISION,,RURAL,UN-INHABITED,68,,,,,Rural Localities
SAHIWAL,DIVISION,,RURAL,OVERALL,1943,6115761,3110216,3005329,216,Rural Localities
SAHIWAL,DIVISION,,RURAL,"5,000 AND ABOVE",371,2761627,1405051,1356453,123,Rural Localities
SAHIWAL,DIVISION,,RURAL,"2,000 -- 4,999",765,2610518,1325099,1285347,72,Rural Localities
SAHIWAL,DIVISION,,RURAL,"1,000 -- 1,999",351,513525,262035,251478,12,Rural Localities
SAHIWAL,DIVISION,,RURAL,500 -- 999,242,177649,90845,86799,5,Rural Localities
SAHIWAL,DIVISION,,RURAL,200 -- 499,122,43247,22299,20944,4,Rural Localities
SAHIWAL,DIVISION,,RURAL,LESS THAN 200,89,9195,4887,4308,,Rural Localities
SAHIWAL,DIVISION,,RURAL,UN-INHABITED,3,,,,,Rural Localities
SARGODHA,DIVISION,,RURAL,OVERALL,1924,6847056,3497001,3349853,202,Rural Localities
SARGODHA,DIVISION,,RURAL,"5,000 AND ABOVE",382,3985807,2034556,1951109,142,Rural Localities
SARGODHA,DIVISION,,RURAL,"2,000 -- 4,999",628,2048049,1044102,1003900,47,Rural Localities
SARGODHA,DIVISION,,RURAL,"1,000 -- 1,999",400,590099,302498,287592,9,Rural Localities
SARGODHA,DIVISION,,RURAL,500 -- 999,220,162516,83882,78632,2,Rural Localities
SARGODHA,DIVISION,,RURAL,200 -- 499,137,47878,25180,22696,2,Rural Localities
SARGODHA,DIVISION,,RURAL,LESS THAN 200,137,12707,6783,5924,,Rural Localities
SARGODHA,DIVISION,,RURAL,UN-INHABITED,20,,,,,Rural Localities
ATTOCK,DISTRICT,ATTOCK,RURAL,OVERALL,435,1546439,775779,770642,18,Rural Localities
ATTOCK,DISTRICT,ATTOCK,RURAL,"5,000 AND ABOVE",103,898674,451237,447426,11,Rural Localities
ATTOCK,DISTRICT,ATTOCK,RURAL,"2,000 -- 4,999",154,483725,242160,241558,7,Rural Localities
ATTOCK,DISTRICT,ATTOCK,RURAL,"1,000 -- 1,999",88,127391,63783,63608,,Rural Localities
ATTOCK,DISTRICT,ATTOCK,RURAL,500 -- 999,37,27617,13983,13634,,Rural Localities
ATTOCK,DISTRICT,ATTOCK,RURAL,200 -- 499,21,7201,3638,3563,,Rural Localities
ATTOCK,DISTRICT,ATTOCK,RURAL,LESS THAN 200,22,1831,978,853,,Rural Localities
ATTOCK,DISTRICT,ATTOCK,RURAL,UN-INHABITED,10,,,,,Rural Localities
ATTOCK,TEHSIL,ATTOCK,RURAL,OVERALL,43,226179,114320,111854,5,Rural Localities
ATTOCK,TEHSIL,ATTOCK,RURAL,"5,000 AND ABOVE",17,173218,87618,85595,5,Rural Localities
ATTOCK,TEHSIL,ATTOCK,RURAL,"2,000 -- 4,999",14,41539,20917,20622,,Rural Localities
ATTOCK,TEHSIL,ATTOCK,RURAL,"1,000 -- 1,999",7,9517,4837,4680,,Rural Localities
ATTOCK,TEHSIL,ATTOCK,RURAL,500 -- 999,2,1673,833,840,,Rural Localities
ATTOCK,TEHSIL,ATTOCK,RURAL,200 -- 499,1,232,115,117,,Rural Localities
ATTOCK,TEHSIL,ATTOCK,RURAL,LESS THAN 200,,,,,,Rural Localities
ATTOCK,TEHSIL,ATTOCK,RURAL,UN-INHABITED,2,,,,,Rural Localities
FATEH JANG,TEHSIL,ATTOCK,RURAL,OVERALL,113,293405,148263,145137,5,Rural Localities
FATEH JANG,TEHSIL,ATTOCK,RURAL,"5,000 AND ABOVE",14,105080,53170,51909,1,Rural Localities
FATEH JANG,TEHSIL,ATTOCK,RURAL,"2,000 -- 4,999",45,136103,68547,67552,4,Rural Localities
FATEH JANG,TEHSIL,ATTOCK,RURAL,"1,000 -- 1,999",25,36625,18527,18098,,Rural Localities
FATEH JANG,TEHSIL,ATTOCK,RURAL,500 -- 999,17,12231,6254,5977,,Rural Localities
FATEH JANG,TEHSIL,ATTOCK,RURAL,200 -- 499,8,3117,1606,1511,,Rural Localities
FATEH JANG,TEHSIL,ATTOCK,RURAL,LESS THAN 200,4,249,159,90,,Rural Localities
FATEH JANG,TEHSIL,ATTOCK,RURAL,UN-INHABITED,,,,,,Rural Localities
HASAN ABDAL,TEHSIL,ATTOCK,RURAL,OVERALL,48,184141,93517,90623,1,Rural Localities
HASAN ABDAL,TEHSIL,ATTOCK,RURAL,"5,000 AND ABOVE",13,102742,52355,50386,1,Rural Localities
HASAN ABDAL,TEHSIL,ATTOCK,RURAL,"2,000 -- 4,999",21,70637,35718,34919,,Rural Localities
HASAN ABDAL,TEHSIL,ATTOCK,RURAL,"1,000 -- 1,999",6,7709,3913,3796,,Rural Localities
HASAN ABDAL,TEHSIL,ATTOCK,RURAL,500 -- 999,2,1792,892,900,,Rural Localities
HASAN ABDAL,TEHSIL,ATTOCK,RURAL,200 -- 499,4,1235,626,609,,Rural Localities
HASAN ABDAL,TEHSIL,ATTOCK,RURAL,LESS THAN 200,1,26,13,13,,Rural Localities
