name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
NAWAGAI,BAJAUR,TEHSIL,URBAN,,,,,,,,,,
SALARZAI,BAJAUR,TEHSIL,OVERALL,47565,31877,26071,21494,13878,10797,9366,2,104,13418
SALARZAI,BAJAUR,TEHSIL,RURAL,47565,31877,26071,21494,13878,10797,9366,2,104,13418
SALARZAI,BAJAUR,TEHSIL,URBAN,,,,,,,,,,
UTMAN KHEL,BAJAUR,TEHSIL,OVERALL,15718,10001,8260,7458,1885,4071,5577,,9,4176
UTMAN KHEL,BAJAUR,TEHSIL,RURAL,15718,10001,8260,7458,1885,4071,5577,,9,4176
UTMAN KHEL,BAJAUR,TEHSIL,URBAN,,,,,,,,,,
BANNU,BANNU,DISTRICT,OVERALL,183130,169422,152764,30366,68645,95039,3306,542,87,15511
BANNU,BANNU,DISTRICT,RURAL,176054,162512,146895,29159,65671,91548,3273,132,84,15346
BANNU,BANNU,DISTRICT,URBAN,7076,6910,5869,1207,2974,3491,33,410,3,165
BAKKA KHEL,BANNU,TEHSIL,OVERALL,29374,25272,22282,7092,13179,10270,1118,2,23,4782
BAKKA KHEL,BANNU,TEHSIL,RURAL,29374,25272,22282,7092,13179,10270,1118,2,23,4782
BAKKA KHEL,BANNU,TEHSIL,URBAN,,,,,,,,,,
BANNU,BANNU,TEHSIL,OVERALL,89138,85920,79617,9521,35714,48787,678,539,28,3392
BANNU,BANNU,TEHSIL,RURAL,82062,79010,73748,8314,32740,45296,645,129,25,3227
BANNU,BANNU,TEHSIL,URBAN,7076,6910,5869,1207,2974,3491,33,410,3,165
DOMEL,BANNU,TEHSIL,OVERALL,24038,22388,18802,5236,5629,15131,281,1,8,2988
DOMEL,BANNU,TEHSIL,RURAL,24038,22388,18802,5236,5629,15131,281,1,8,2988
DOMEL,BANNU,TEHSIL,URBAN,,,,,,,,,,
KAKKI,BANNU,TEHSIL,OVERALL,13457,13272,13206,251,5859,7399,12,,,187
KAKKI,BANNU,TEHSIL,RURAL,13457,13272,13206,251,5859,7399,12,,,187
KAKKI,BANNU,TEHSIL,URBAN,,,,,,,,,,
MERYAN,BANNU,TEHSIL,OVERALL,21780,20995,18016,3764,7676,12880,490,,3,731
MERYAN,BANNU,TEHSIL,RURAL,21780,20995,18016,3764,7676,12880,490,,3,731
MERYAN,BANNU,TEHSIL,URBAN,,,,,,,,,,
WAZIR,BANNU,SUB-DIVISION,OVERALL,5343,1575,841,4502,588,572,727,,25,3431
WAZIR,BANNU,SUB-DIVISION,RURAL,5343,1575,841,4502,588,572,727,,25,3431
WAZIR,BANNU,SUB-DIVISION,URBAN,,,,,,,,,,
BATAGRAM,BATAGRAM,DISTRICT,OVERALL,86196,62453,36428,49768,53792,4796,7218,1,31,20358
BATAGRAM,BATAGRAM,DISTRICT,RURAL,86196,62453,36428,49768,53792,4796,7218,1,31,20358
BATAGRAM,BATAGRAM,DISTRICT,URBAN,,,,,,,,,,
ALLAI,BATAGRAM,TEHSIL,OVERALL,34830,24437,16603,18227,23839,193,2067,1,9,8721
ALLAI,BATAGRAM,TEHSIL,RURAL,34830,24437,16603,18227,23839,193,2067,1,9,8721
ALLAI,BATAGRAM,TEHSIL,URBAN,,,,,,,,,,
BATAGRAM,BATAGRAM,TEHSIL,OVERALL,51366,38016,19825,31541,29953,4603,5151,,22,11637
BATAGRAM,BATAGRAM,TEHSIL,RURAL,51366,38016,19825,31541,29953,4603,5151,,22,11637
BATAGRAM,BATAGRAM,TEHSIL,URBAN,,,,,,,,,,
BUNER,BUNER,DISTRICT,OVERALL,118665,104746,81289,37376,56027,38901,11290,3,66,12378
BUNER,BUNER,DISTRICT,RURAL,118665,104746,81289,37376,56027,38901,11290,3,66,12378
BUNER,BUNER,DISTRICT,URBAN,,,,,,,,,,
CHAGHARZAI,BUNER,TEHSIL,OVERALL,14454,12016,9954,4500,10693,826,288,,10,2637
CHAGHARZAI,BUNER,TEHSIL,RURAL,14454,12016,9954,4500,10693,826,288,,10,2637
CHAGHARZAI,BUNER,TEHSIL,URBAN,,,,,,,,,,
DAGGAR,BUNER,TEHSIL,OVERALL,21319,19614,15429,5890,12447,5959,1341,1,5,1566
DAGGAR,BUNER,TEHSIL,RURAL,21319,19614,15429,5890,12447,5959,1341,1,5,1566
DAGGAR,BUNER,TEHSIL,URBAN,,,,,,,,,,
GADEZAI,BUNER,TEHSIL,OVERALL,21293,18355,13442,7851,9519,6684,2154,1,8,2927
GADEZAI,BUNER,TEHSIL,RURAL,21293,18355,13442,7851,9519,6684,2154,1,8,2927
GADEZAI,BUNER,TEHSIL,URBAN,,,,,,,,,,
GAGRA,BUNER,TEHSIL,OVERALL,19458,17974,13104,6354,7716,7955,2708,,25,1054
GAGRA,BUNER,TEHSIL,RURAL,19458,17974,13104,6354,7716,7955,2708,,25,1054
GAGRA,BUNER,TEHSIL,URBAN,,,,,,,,,,
KHADO KHEL,BUNER,TEHSIL,OVERALL,17935,15734,12219,5716,4352,9134,2845,1,12,1591
KHADO KHEL,BUNER,TEHSIL,RURAL,17935,15734,12219,5716,4352,9134,2845,1,12,1591
KHADO KHEL,BUNER,TEHSIL,URBAN,,,,,,,,,,
MANDANR,BUNER,TEHSIL,OVERALL,24206,21053,17141,7065,11300,8343,1954,,6,2603
MANDANR,BUNER,TEHSIL,RURAL,24206,21053,17141,7065,11300,8343,1954,,6,2603
MANDANR,BUNER,TEHSIL,URBAN,,,,,,,,,,
CHARSADDA,CHARSADDA,DISTRICT,OVERALL,263934,257830,250716,13218,13328,217972,28711,306,53,3564
CHARSADDA,CHARSADDA,DISTRICT,RURAL,219425,213773,208046,11379,8595,179280,28026,267,49,3208
CHARSADDA,CHARSADDA,DISTRICT,URBAN,44509,44057,42670,1839,4733,38692,685,39,4,356
CHARSADDA,CHARSADDA,TEHSIL,OVERALL,129621,127848,126994,2627,3458,116486,8886,5,22,764
CHARSADDA,CHARSADDA,TEHSIL,RURAL,106804,105272,104874,1930,2870,94753,8607,2,20,552
CHARSADDA,CHARSADDA,TEHSIL,URBAN,22817,22576,22120,697,588,21733,279,3,2,212
SHABQADAR,CHARSADDA,TEHSIL,OVERALL,63241,61160,58278,4963,5150,44905,11721,296,27,1142
