name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
MATTA,TEHSIL,SWAT,RURAL,,500610,252963,247641,6,102.15,,,7.5,423052,2.85
MATTA,TEHSIL,SWAT,URBAN,,51821,26542,25278,1,105,,,7.4,42547,3.35
TANK,DISTRICT,TANK,OVERALL,2900,470293,241589,228703,1,105.63,162.17,10.46,6.6,427044,1.63
TANK,DISTRICT,TANK,RURAL,,421121,215541,205579,1,104.85,,,6.6,379980,1.73
TANK,DISTRICT,TANK,URBAN,,49172,26048,23124,,112.64,,,6.7,47064,.73
JANDOLA,SUB-DIVISION,TANK,OVERALL,1221,44794,22938,21856,,104.95,36.69,,6.3,36418,3.52
JANDOLA,SUB-DIVISION,TANK,RURAL,,44794,22938,21856,,104.95,,,6.3,36418,3.52
JANDOLA,SUB-DIVISION,TANK,URBAN,,,,,,,,,,,
TANK,TEHSIL,TANK,OVERALL,1679,425499,218651,206847,1,105.71,253.42,11.56,6.7,390626,1.44
TANK,TEHSIL,TANK,RURAL,,376327,192603,183723,1,104.83,,,6.6,343562,1.53
TANK,TEHSIL,TANK,URBAN,,49172,26048,23124,,112.64,,,6.7,47064,.73
TORGHAR,DISTRICT,TORGHAR,OVERALL,454,200445,102160,98281,4,103.95,441.51,0,6.8,171349,2.66
TORGHAR,DISTRICT,TORGHAR,RURAL,,200445,102160,98281,4,103.95,,,6.8,171349,2.66
TORGHAR,DISTRICT,TORGHAR,URBAN,,,,,,0,,,,,0
DAUR MERA,TEHSIL,TORGHAR,OVERALL,86,50503,25936,24565,2,105.58,587.24,,6.8,41661,3.27
DAUR MERA,TEHSIL,TORGHAR,RURAL,,50503,25936,24565,2,105.58,,,6.8,41661,3.27
DAUR MERA,TEHSIL,TORGHAR,URBAN,,,,,,,,,,,
JUDBA,TEHSIL,TORGHAR,OVERALL,63,63083,32095,30987,1,103.58,1001.32,,7.4,57745,1.49
JUDBA,TEHSIL,TORGHAR,RURAL,,63083,32095,30987,1,103.58,,,7.4,57745,1.49
