name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
HYDERABAD CITY,HYDERABAD,TALUKA,RURAL,,,,,,,,,,
HYDERABAD CITY,HYDERABAD,TALUKA,URBAN,138571,135191,1752,1628,127149,2394,7924,1104,93902,3677
HYDERABAD,HYDERABAD,TALUKA,OVERALL,93742,71005,5349,17388,27972,735,61076,3959,43167,23288
HYDERABAD,HYDERABAD,TALUKA,RURAL,75495,55150,4796,15549,16267,557,55242,3429,33318,20552
HYDERABAD,HYDERABAD,TALUKA,URBAN,18247,15855,553,1839,11705,178,5834,530,9849,2736
LATIFABAD,HYDERABAD,TALUKA,OVERALL,153348,146465,2876,4007,134262,2310,15375,1401,97362,6667
LATIFABAD,HYDERABAD,TALUKA,RURAL,,,,,,,,,,
LATIFABAD,HYDERABAD,TALUKA,URBAN,153348,146465,2876,4007,134262,2310,15375,1401,97362,6667
QASIMABAD,HYDERABAD,TALUKA,OVERALL,62530,55620,2673,4237,48631,1974,9905,2020,42839,2891
QASIMABAD,HYDERABAD,TALUKA,RURAL,,,,,,,,,,
QASIMABAD,HYDERABAD,TALUKA,URBAN,62530,55620,2673,4237,48631,1974,9905,2020,42839,2891
JACOBABAD,JACOBABAD,DISTRICT,OVERALL,195056,100774,57463,36819,34608,1153,110774,48521,78825,63645
JACOBABAD,JACOBABAD,DISTRICT,RURAL,138726,51023,52518,35185,5463,267,90497,42499,52516,57548
JACOBABAD,JACOBABAD,DISTRICT,URBAN,56330,49751,4945,1634,29145,886,20277,6022,26309,6097
GARHI KHAIRO,JACOBABAD,TALUKA,OVERALL,30660,14519,9232,6909,606,222,22373,7459,12260,14429
GARHI KHAIRO,JACOBABAD,TALUKA,RURAL,28111,12219,9056,6836,376,42,20822,6871,11036,14040
GARHI KHAIRO,JACOBABAD,TALUKA,URBAN,2549,2300,176,73,230,180,1551,588,1224,389
JACOBABAD,JACOBABAD,TALUKA,OVERALL,68861,50341,10441,8079,25806,456,29064,13535,26919,17988
JACOBABAD,JACOBABAD,TALUKA,RURAL,35096,18312,9339,7445,2867,55,21873,10301,12206,14365
JACOBABAD,JACOBABAD,TALUKA,URBAN,33765,32029,1102,634,22939,401,7191,3234,14713,3623
THUL,JACOBABAD,TALUKA,OVERALL,95535,35914,37790,21831,8196,475,59337,27527,39646,31228
THUL,JACOBABAD,TALUKA,RURAL,75519,20492,34123,20904,2220,170,47802,25327,29274,29143
THUL,JACOBABAD,TALUKA,URBAN,20016,15422,3667,927,5976,305,11535,2200,10372,2085
JAMSHORO,JAMSHORO,DISTRICT,OVERALL,213493,137032,34877,41584,76264,2387,123716,11126,117287,42525
JAMSHORO,JAMSHORO,DISTRICT,RURAL,117170,63595,18998,34577,12831,973,96096,7270,60666,34502
JAMSHORO,JAMSHORO,DISTRICT,URBAN,96323,73437,15879,7007,63433,1414,27620,3856,56621,8023
KOTRI,JAMSHORO,TALUKA,OVERALL,86413,60676,15432,10305,52312,1648,29650,2803,53985,8448
KOTRI,JAMSHORO,TALUKA,RURAL,20489,12322,2508,5659,4175,368,15307,639,12697,4971
KOTRI,JAMSHORO,TALUKA,URBAN,65924,48354,12924,4646,48137,1280,14343,2164,41288,3477
MANJHAND,JAMSHORO,TALUKA,OVERALL,31713,18825,2918,9970,65,150,28184,3314,14658,11516
MANJHAND,JAMSHORO,TALUKA,RURAL,27063,15524,2083,9456,54,135,23919,2955,11887,10540
MANJHAND,JAMSHORO,TALUKA,URBAN,4650,3301,835,514,11,15,4265,359,2771,976
SEHWAN,JAMSHORO,TALUKA,OVERALL,62229,40865,13059,8305,16812,263,41294,3860,30648,15835
SEHWAN,JAMSHORO,TALUKA,RURAL,40380,22329,11098,6953,4882,147,32629,2722,19111,12402
SEHWAN,JAMSHORO,TALUKA,URBAN,21849,18536,1961,1352,11930,116,8665,1138,11537,3433
THANO BULA KHAN,JAMSHORO,TALUKA,OVERALL,33138,16666,3468,13004,7075,326,24588,1149,17996,6726
THANO BULA KHAN,JAMSHORO,TALUKA,RURAL,29238,13420,3309,12509,3720,323,24241,954,16971,6589
THANO BULA KHAN,JAMSHORO,TALUKA,URBAN,3900,3246,159,495,3355,3,347,195,1025,137
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,OVERALL,267553,115361,111531,40661,50604,656,109415,106878,132144,59601
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,RURAL,194027,59734,97799,36494,13625,254,85364,94784,98194,48609
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,URBAN,73526,55627,13732,4167,36979,402,24051,12094,33950,10992
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,77853,32052,34878,10923,19044,143,25994,32672,43868,11564
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,RURAL,58643,14814,33366,10463,4975,56,22794,30818,33673,10768
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,URBAN,19210,17238,1512,460,14069,87,3200,1854,10195,796
MIRO KHAN,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,29339,5746,18795,4798,6017,40,13499,9783,15160,8531
MIRO KHAN,KAMBAR SHAHDAD KOT,TALUKA,RURAL,22390,2417,15718,4255,3093,13,11084,8200,11204,7103
MIRO KHAN,KAMBAR SHAHDAD KOT,TALUKA,URBAN,6949,3329,3077,543,2924,27,2415,1583,3956,1428
NASIRABAD,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,29770,15234,9662,4874,6093,103,7664,15910,15959,4211
NASIRABAD,KAMBAR SHAHDAD KOT,TALUKA,RURAL,23215,10034,8491,4690,1517,11,6138,15549,12343,3798
NASIRABAD,KAMBAR SHAHDAD KOT,TALUKA,URBAN,6555,5200,1171,184,4576,92,1526,361,3616,413
QUBO SAEED KHAN,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,18641,1414,11298,5929,355,18,12513,5755,5211,9595
QUBO SAEED KHAN,KAMBAR SHAHDAD KOT,TALUKA,RURAL,12770,677,7419,4674,75,14,8644,4037,3720,6760
QUBO SAEED KHAN,KAMBAR SHAHDAD KOT,TALUKA,URBAN,5871,737,3879,1255,280,4,3869,1718,1491,2835
SHAHDAD KOT,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,40289,24300,11879,4110,14239,215,17698,8137,17487,8688
SHAHDAD KOT,KAMBAR SHAHDAD KOT,TALUKA,RURAL,19215,6375,9388,3452,1717,51,11711,5736,8933,6714
