name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
HYDERABAD CITY,HYDERABAD,TALUKA,RURAL,,,,,,,,,,
HYDERABAD CITY,HYDERABAD,TALUKA,URBAN,138571,137229,121306,17265,92443,40611,315,1445,2505,1252
HYDERABAD,HYDERABAD,TALUKA,OVERALL,93742,87415,50916,42826,29583,50601,885,6165,247,6261
HYDERABAD,HYDERABAD,TALUKA,RURAL,75495,69579,40773,34722,26147,41447,727,985,208,5981
HYDERABAD,HYDERABAD,TALUKA,URBAN,18247,17836,10143,8104,3436,9154,158,5180,39,280
LATIFABAD,HYDERABAD,TALUKA,OVERALL,153348,148142,108128,45220,84149,40681,240,12217,8739,7322
LATIFABAD,HYDERABAD,TALUKA,RURAL,,,,,,,,,,
LATIFABAD,HYDERABAD,TALUKA,URBAN,153348,148142,108128,45220,84149,40681,240,12217,8739,7322
QASIMABAD,HYDERABAD,TALUKA,OVERALL,62530,58354,43205,19325,33469,15618,540,3947,4961,3995
QASIMABAD,HYDERABAD,TALUKA,RURAL,,,,,,,,,,
QASIMABAD,HYDERABAD,TALUKA,URBAN,62530,58354,43205,19325,33469,15618,540,3947,4961,3995
JACOBABAD,JACOBABAD,DISTRICT,OVERALL,195056,184019,86255,108801,84056,72359,3128,1621,4715,29177
JACOBABAD,JACOBABAD,DISTRICT,RURAL,138726,129772,71101,67625,69002,54776,3029,1478,350,10091
JACOBABAD,JACOBABAD,DISTRICT,URBAN,56330,54247,15154,41176,15054,17583,99,143,4365,19086
GARHI KHAIRO,JACOBABAD,TALUKA,OVERALL,30660,28323,12184,18476,16716,10615,730,86,17,2496
GARHI KHAIRO,JACOBABAD,TALUKA,RURAL,28111,25891,11997,16114,16173,9284,719,86,12,1837
GARHI KHAIRO,JACOBABAD,TALUKA,URBAN,2549,2432,187,2362,543,1331,11,,5,659
JACOBABAD,JACOBABAD,TALUKA,OVERALL,68861,65890,23739,45122,21038,24386,265,1358,4427,17387
JACOBABAD,JACOBABAD,TALUKA,RURAL,35096,33882,16104,18992,14057,16151,228,1282,125,3253
JACOBABAD,JACOBABAD,TALUKA,URBAN,33765,32008,7635,26130,6981,8235,37,76,4302,14134
THUL,JACOBABAD,TALUKA,OVERALL,95535,89806,50332,45203,46302,37358,2133,177,271,9294
THUL,JACOBABAD,TALUKA,RURAL,75519,69999,43000,32519,38772,29341,2082,110,213,5001
THUL,JACOBABAD,TALUKA,URBAN,20016,19807,7332,12684,7530,8017,51,67,58,4293
JAMSHORO,JAMSHORO,DISTRICT,OVERALL,213493,187781,92594,120899,84279,55696,11913,1810,1602,58193
JAMSHORO,JAMSHORO,DISTRICT,RURAL,117170,95973,36106,81064,33055,39077,10097,947,204,33790
JAMSHORO,JAMSHORO,DISTRICT,URBAN,96323,91808,56488,39835,51224,16619,1816,863,1398,24403
KOTRI,JAMSHORO,TALUKA,OVERALL,86413,78333,40745,45668,35333,14433,2355,864,1223,32205
KOTRI,JAMSHORO,TALUKA,RURAL,20489,15115,5735,14754,5453,3355,1141,58,30,10452
KOTRI,JAMSHORO,TALUKA,URBAN,65924,63218,35010,30914,29880,11078,1214,806,1193,21753
MANJHAND,JAMSHORO,TALUKA,OVERALL,31713,23217,10881,20832,11519,6430,4929,45,65,8725
MANJHAND,JAMSHORO,TALUKA,RURAL,27063,19330,7766,19297,8530,5693,4724,45,61,8010
MANJHAND,JAMSHORO,TALUKA,URBAN,4650,3887,3115,1535,2989,737,205,,4,715
SEHWAN,JAMSHORO,TALUKA,OVERALL,62229,56692,29825,32404,27526,20040,1832,895,279,11657
SEHWAN,JAMSHORO,TALUKA,RURAL,40380,35693,15205,25175,12835,15260,1448,838,81,9918
SEHWAN,JAMSHORO,TALUKA,URBAN,21849,20999,14620,7229,14691,4780,384,57,198,1739
THANO BULA KHAN,JAMSHORO,TALUKA,OVERALL,33138,29539,11143,21995,9901,14793,2797,6,35,5606
THANO BULA KHAN,JAMSHORO,TALUKA,RURAL,29238,25835,7400,21838,6237,14769,2784,6,32,5410
THANO BULA KHAN,JAMSHORO,TALUKA,URBAN,3900,3704,3743,157,3664,24,13,,3,196
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,OVERALL,267553,246983,121078,146475,144333,85371,2234,347,2366,32902
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,RURAL,194027,178121,100144,93883,111407,63923,1733,248,256,16460
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,URBAN,73526,68862,20934,52592,32926,21448,501,99,2110,16442
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,77853,71766,47670,30183,41670,26143,552,36,1125,8327
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,RURAL,58643,53444,38952,19691,32824,19875,522,14,14,5394
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,URBAN,19210,18322,8718,10492,8846,6268,30,22,1111,2933
MIRO KHAN,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,29339,28069,13537,15802,16087,9861,133,8,595,2655
MIRO KHAN,KAMBAR SHAHDAD KOT,TALUKA,RURAL,22390,21409,9879,12511,13528,7619,118,5,212,908
MIRO KHAN,KAMBAR SHAHDAD KOT,TALUKA,URBAN,6949,6660,3658,3291,2559,2242,15,3,383,1747
NASIRABAD,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,29770,29178,13665,16105,18010,8774,240,64,16,2666
NASIRABAD,KAMBAR SHAHDAD KOT,TALUKA,RURAL,23215,22738,11847,11368,14610,7470,219,29,14,873
NASIRABAD,KAMBAR SHAHDAD KOT,TALUKA,URBAN,6555,6440,1818,4737,3400,1304,21,35,2,1793
QUBO SAEED KHAN,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,18641,11038,2365,16276,7254,3597,337,4,24,7425
QUBO SAEED KHAN,KAMBAR SHAHDAD KOT,TALUKA,RURAL,12770,7054,1161,11609,4466,2504,134,3,6,5657
QUBO SAEED KHAN,KAMBAR SHAHDAD KOT,TALUKA,URBAN,5871,3984,1204,4667,2788,1093,203,1,18,1768
SHAHDAD KOT,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,40289,38385,8059,32230,17040,14586,292,44,588,7739
SHAHDAD KOT,KAMBAR SHAHDAD KOT,TALUKA,RURAL,19215,18659,4684,14531,11705,6576,106,10,3,815
SHAHDAD KOT,KAMBAR SHAHDAD KOT,TALUKA,URBAN,21074,19726,3375,17699,5335,8010,186,34,585,6924
SUJAWAL JUNEJO,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,23046,22515,16200,6846,14148,7960,52,186,3,697
SUJAWAL JUNEJO,KAMBAR SHAHDAD KOT,TALUKA,RURAL,23046,22515,16200,6846,14148,7960,52,186,3,697
SUJAWAL JUNEJO,KAMBAR SHAHDAD KOT,TALUKA,URBAN,,,,,,,,,,
WARAH,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,48615,46032,19582,29033,30124,14450,628,5,15,3393
WARAH,KAMBAR SHAHDAD KOT,TALUKA,RURAL,34748,32302,17421,17327,20126,11919,582,1,4,2116
WARAH,KAMBAR SHAHDAD KOT,TALUKA,URBAN,13867,13730,2161,11706,9998,2531,46,4,11,1277
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,OVERALL,651268,640240,476005,175263,395447,110719,4348,51520,69749,19485
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,RURAL,,,,,,,,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,URBAN,651268,640240,476005,175263,395447,110719,4348,51520,69749,19485
GULBERG,KARACHI CENTRAL,SUB-DIVISION,OVERALL,106679,104723,71581,35098,55626,20649,762,10909,15712,3021
GULBERG,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,,
GULBERG,KARACHI CENTRAL,SUB-DIVISION,URBAN,106679,104723,71581,35098,55626,20649,762,10909,15712,3021
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,OVERALL,97560,96611,79963,17597,66382,17448,1136,6657,4986,951
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,,
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,URBAN,97560,96611,79963,17597,66382,17448,1136,6657,4986,951
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,OVERALL,96275,94031,76748,19527,57955,21718,276,5715,8320,2291
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,,
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,URBAN,96275,94031,76748,19527,57955,21718,276,5715,8320,2291
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,OVERALL,196488,193786,165259,31229,141289,35575,874,8395,6316,4039
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,,
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,URBAN,196488,193786,165259,31229,141289,35575,874,8395,6316,4039
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,OVERALL,154266,151089,82454,71812,74195,15329,1300,19844,34415,9183
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,,
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,URBAN,154266,151089,82454,71812,74195,15329,1300,19844,34415,9183
KARACHI EAST,KARACHI EAST,DISTRICT,OVERALL,659389,641022,430977,228412,362375,94011,4930,63952,96114,38007
KARACHI EAST,KARACHI EAST,DISTRICT,RURAL,,,,,,,,,,
KARACHI EAST,KARACHI EAST,DISTRICT,URBAN,659389,641022,430977,228412,362375,94011,4930,63952,96114,38007
FEROZABAD,KARACHI EAST,SUB-DIVISION,OVERALL,180708,177280,126647,54061,102595,30781,809,14451,21169,10903
FEROZABAD,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,,,,
FEROZABAD,KARACHI EAST,SUB-DIVISION,URBAN,180708,177280,126647,54061,102595,30781,809,14451,21169,10903
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,OVERALL,179357,172175,98515,80842,84823,17147,813,25205,42706,8663
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,,,,
