name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,RURAL,82198,79879,67241,14957,18570,58322,202,2182,123,2799
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,URBAN,22986,22888,17950,5036,3113,16155,72,3533,17,96
HASILPUR,BAHAWALPUR,TEHSIL,OVERALL,84089,80454,62837,21252,25504,47937,974,6214,21,3439
HASILPUR,BAHAWALPUR,TEHSIL,RURAL,51293,48624,35732,15561,16014,27758,817,4213,4,2487
HASILPUR,BAHAWALPUR,TEHSIL,URBAN,32796,31830,27105,5691,9490,20179,157,2001,17,952
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,OVERALL,48445,47934,47023,1422,11452,36255,102,130,5,501
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,RURAL,40482,40037,39293,1189,10454,29490,96,4,5,433
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,URBAN,7963,7897,7730,233,998,6765,6,126,,68
YAZMAN,BAHAWALPUR,TEHSIL,OVERALL,108498,101097,62202,46296,50188,47128,1646,2869,131,6536
YAZMAN,BAHAWALPUR,TEHSIL,RURAL,98435,92295,55800,42635,45361,43360,1626,2701,117,5270
YAZMAN,BAHAWALPUR,TEHSIL,URBAN,10063,8802,6402,3661,4827,3768,20,168,14,1266
BHAKKAR,BHAKKAR,DISTRICT,OVERALL,313311,310053,306864,6447,53333,256153,573,39,9,3204
BHAKKAR,BHAKKAR,DISTRICT,RURAL,257142,254154,251464,5678,48041,205664,464,27,9,2937
BHAKKAR,BHAKKAR,DISTRICT,URBAN,56169,55899,55400,769,5292,50489,109,12,,267
BHAKKAR,BHAKKAR,TEHSIL,OVERALL,124135,123220,122117,2018,26725,96251,254,10,5,890
BHAKKAR,BHAKKAR,TEHSIL,RURAL,99062,98287,97452,1610,24359,73745,202,,5,751
BHAKKAR,BHAKKAR,TEHSIL,URBAN,25073,24933,24665,408,2366,22506,52,10,,139
DARYA KHAN,BHAKKAR,TEHSIL,OVERALL,70483,69617,69475,1008,8803,60696,130,1,,853
DARYA KHAN,BHAKKAR,TEHSIL,RURAL,54723,53890,53896,827,7724,46084,94,,,821
DARYA KHAN,BHAKKAR,TEHSIL,URBAN,15760,15727,15579,181,1079,14612,36,1,,32
KALUR KOT,BHAKKAR,TEHSIL,OVERALL,65693,65009,64774,919,10813,54097,108,1,1,673
KALUR KOT,BHAKKAR,TEHSIL,RURAL,57999,57338,57125,874,10115,47136,97,,1,650
KALUR KOT,BHAKKAR,TEHSIL,URBAN,7694,7671,7649,45,698,6961,11,1,,23
