name_admin_unit,part_of_district,admin_unit,sex___age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
LORA,ABBOTTABAD,TEHSIL,15 - 49,50502,24728,25773,1,50502,24728,25773,1,,,,
LORA,ABBOTTABAD,TEHSIL,15 - 64,60693,29764,30928,1,60693,29764,30928,1,,,,
LORA,ABBOTTABAD,TEHSIL,18 - 60,52861,25890,26970,1,52861,25890,26970,1,,,,
LORA,ABBOTTABAD,TEHSIL,18 &  ABOVE,60581,29801,30779,1,60581,29801,30779,1,,,,
LORA,ABBOTTABAD,TEHSIL,60 &  ABOVE,8431,4298,4133,,8431,4298,4133,,,,,
LORA,ABBOTTABAD,TEHSIL,65 &  ABOVE,5620,2884,2736,,5620,2884,2736,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,ALL AGES,60239,29950,30287,2,60239,29950,30287,2,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,UNDER 1,1004,517,487,,1004,517,487,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,UNDER 5,7103,3646,3457,,7103,3646,3457,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,UNDER 10,13801,6985,6816,,13801,6985,6816,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,UNDER 15,20376,10259,10117,,20376,10259,10117,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,05 - 24,23982,11928,12054,,23982,11928,12054,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,15 - 49,29537,14595,14942,,29537,14595,14942,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,15 - 64,35936,17761,18173,2,35936,17761,18173,2,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,18 - 60,31139,15365,15772,2,31139,15365,15772,2,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,18 &  ABOVE,36421,18015,18404,2,36421,18015,18404,2,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,60 &  ABOVE,5718,2879,2839,,5718,2879,2839,,,,,
LOWER TANAWAL,ABBOTTABAD,TEHSIL,65 &  ABOVE,3927,1930,1997,,3927,1930,1997,,,,,
BAJAUR,BAJAUR,DISTRICT,ALL AGES,1283113,648473,634625,15,1283113,648473,634625,15,,,,
BAJAUR,BAJAUR,DISTRICT,UNDER 1,23722,11951,11771,,23722,11951,11771,,,,,
BAJAUR,BAJAUR,DISTRICT,UNDER 5,237802,119626,118176,,237802,119626,118176,,,,,
BAJAUR,BAJAUR,DISTRICT,UNDER 10,466054,234850,231204,,466054,234850,231204,,,,,
BAJAUR,BAJAUR,DISTRICT,UNDER 15,643541,324611,318926,4,643541,324611,318926,4,,,,
BAJAUR,BAJAUR,DISTRICT,05 - 24,632771,319169,313590,12,632771,319169,313590,12,,,,
BAJAUR,BAJAUR,DISTRICT,15 - 49,535591,270963,264618,10,535591,270963,264618,10,,,,
BAJAUR,BAJAUR,DISTRICT,15 - 64,609469,307823,301635,11,609469,307823,301635,11,,,,
BAJAUR,BAJAUR,DISTRICT,18 - 60,516311,260995,255308,8,516311,260995,255308,8,,,,
BAJAUR,BAJAUR,DISTRICT,18 &  ABOVE,561139,284478,276653,8,561139,284478,276653,8,,,,
BAJAUR,BAJAUR,DISTRICT,60 &  ABOVE,49952,26207,23745,,49952,26207,23745,,,,,
BAJAUR,BAJAUR,DISTRICT,65 &  ABOVE,30103,16039,14064,,30103,16039,14064,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,ALL AGES,3574,1825,1748,1,3574,1825,1748,1,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,UNDER 1,39,17,22,,39,17,22,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,UNDER 5,655,346,309,,655,346,309,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,UNDER 10,1256,639,617,,1256,639,617,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,UNDER 15,1735,909,826,,1735,909,826,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,05 - 24,1674,819,854,1,1674,819,854,1,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,15 - 49,1497,736,760,1,1497,736,760,1,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,15 - 64,1737,862,874,1,1737,862,874,1,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,18 - 60,1461,749,711,1,1461,749,711,1,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,18 &  ABOVE,1624,838,785,1,1624,838,785,1,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,60 &  ABOVE,181,100,81,,181,100,81,,,,,
BAR CHAMER KAND,BAJAUR,TEHSIL,65 &  ABOVE,102,54,48,,102,54,48,,,,,
BARANG,BAJAUR,TEHSIL,ALL AGES,89981,45053,44928,,89981,45053,44928,,,,,
BARANG,BAJAUR,TEHSIL,UNDER 1,2229,1163,1066,,2229,1163,1066,,,,,
BARANG,BAJAUR,TEHSIL,UNDER 5,18355,9158,9197,,18355,9158,9197,,,,,
BARANG,BAJAUR,TEHSIL,UNDER 10,35918,18009,17909,,35918,18009,17909,,,,,
BARANG,BAJAUR,TEHSIL,UNDER 15,48526,24227,24299,,48526,24227,24299,,,,,
BARANG,BAJAUR,TEHSIL,05 - 24,44620,22143,22477,,44620,22143,22477,,,,,
BARANG,BAJAUR,TEHSIL,15 - 49,35031,17698,17333,,35031,17698,17333,,,,,
BARANG,BAJAUR,TEHSIL,15 - 64,39541,19881,19660,,39541,19881,19660,,,,,
BARANG,BAJAUR,TEHSIL,18 - 60,33609,17033,16576,,33609,17033,16576,,,,,
BARANG,BAJAUR,TEHSIL,18 &  ABOVE,36394,18399,17995,,36394,18399,17995,,,,,
BARANG,BAJAUR,TEHSIL,60 &  ABOVE,3129,1545,1584,,3129,1545,1584,,,,,
BARANG,BAJAUR,TEHSIL,65 &  ABOVE,1914,945,969,,1914,945,969,,,,,
KHAR BAJAUR,BAJAUR,TEHSIL,ALL AGES,299385,151831,147552,2,299385,151831,147552,2,,,,
KHAR BAJAUR,BAJAUR,TEHSIL,UNDER 1,5458,2724,2734,,5458,2724,2734,,,,,
KHAR BAJAUR,BAJAUR,TEHSIL,UNDER 5,53604,27121,26483,,53604,27121,26483,,,,,
KHAR BAJAUR,BAJAUR,TEHSIL,UNDER 10,105942,53341,52601,,105942,53341,52601,,,,,
KHAR BAJAUR,BAJAUR,TEHSIL,UNDER 15,147327,74013,73314,,147327,74013,73314,,,,,
KHAR BAJAUR,BAJAUR,TEHSIL,05 - 24,149478,75206,74270,2,149478,75206,74270,2,,,,
KHAR BAJAUR,BAJAUR,TEHSIL,15 - 49,128269,65550,62717,2,128269,65550,62717,2,,,,
KHAR BAJAUR,BAJAUR,TEHSIL,15 - 64,145429,74181,71246,2,145429,74181,71246,2,,,,
KHAR BAJAUR,BAJAUR,TEHSIL,18 - 60,122481,62678,59802,1,122481,62678,59802,1,,,,
KHAR BAJAUR,BAJAUR,TEHSIL,18 &  ABOVE,132531,68050,64480,1,132531,68050,64480,1,,,,
KHAR BAJAUR,BAJAUR,TEHSIL,60 &  ABOVE,11137,5959,5178,,11137,5959,5178,,,,,
KHAR BAJAUR,BAJAUR,TEHSIL,65 &  ABOVE,6629,3637,2992,,6629,3637,2992,,,,,
MAMUND,BAJAUR,TEHSIL,ALL AGES,357135,181487,175644,4,357135,181487,175644,4,,,,
MAMUND,BAJAUR,TEHSIL,UNDER 1,6541,3323,3218,,6541,3323,3218,,,,,
MAMUND,BAJAUR,TEHSIL,UNDER 5,65598,32975,32623,,65598,32975,32623,,,,,
MAMUND,BAJAUR,TEHSIL,UNDER 10,126842,63910,62932,,126842,63910,62932,,,,,
MAMUND,BAJAUR,TEHSIL,UNDER 15,175754,88773,86979,2,175754,88773,86979,2,,,,
MAMUND,BAJAUR,TEHSIL,05 - 24,174093,88252,85837,4,174093,88252,85837,4,,,,
MAMUND,BAJAUR,TEHSIL,15 - 49,150770,77135,73633,2,150770,77135,73633,2,,,,
MAMUND,BAJAUR,TEHSIL,15 - 64,172216,87861,84353,2,172216,87861,84353,2,,,,
MAMUND,BAJAUR,TEHSIL,18 - 60,145989,74325,71664,,145989,74325,71664,,,,,
MAMUND,BAJAUR,TEHSIL,18 &  ABOVE,159577,81476,78101,,159577,81476,78101,,,,,
MAMUND,BAJAUR,TEHSIL,60 &  ABOVE,15042,7929,7113,,15042,7929,7113,,,,,
MAMUND,BAJAUR,TEHSIL,65 &  ABOVE,9165,4853,4312,,9165,4853,4312,,,,,
NAWAGAI,BAJAUR,TEHSIL,ALL AGES,93706,47593,46109,4,93706,47593,46109,4,,,,
NAWAGAI,BAJAUR,TEHSIL,UNDER 1,1728,817,911,,1728,817,911,,,,,
NAWAGAI,BAJAUR,TEHSIL,UNDER 5,17367,8717,8650,,17367,8717,8650,,,,,
NAWAGAI,BAJAUR,TEHSIL,UNDER 10,34719,17464,17255,,34719,17464,17255,,,,,
NAWAGAI,BAJAUR,TEHSIL,UNDER 15,48796,24585,24210,1,48796,24585,24210,1,,,,
NAWAGAI,BAJAUR,TEHSIL,05 - 24,47573,24086,23485,2,47573,24086,23485,2,,,,
NAWAGAI,BAJAUR,TEHSIL,15 - 49,37579,19211,18365,3,37579,19211,18365,3,,,,
NAWAGAI,BAJAUR,TEHSIL,15 - 64,42724,21777,20944,3,42724,21777,20944,3,,,,
NAWAGAI,BAJAUR,TEHSIL,18 - 60,35460,18113,17344,3,35460,18113,17344,3,,,,
NAWAGAI,BAJAUR,TEHSIL,18 &  ABOVE,38790,19933,18854,3,38790,19933,18854,3,,,,
NAWAGAI,BAJAUR,TEHSIL,60 &  ABOVE,3744,2042,1702,,3744,2042,1702,,,,,
