district,sex_age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
BARKHAN,15,4178,2275,1901,2,3761,2025,1734,2,417,250,167,
BARKHAN,16,4461,2467,1994,,4142,2289,1853,,319,178,141,
BARKHAN,17,3024,1672,1351,1,2748,1537,1210,1,276,135,141,
BARKHAN,18,3846,2127,1719,,3587,1993,1594,,259,134,125,
BARKHAN,19,3003,1637,1366,,2761,1505,1256,,242,132,110,
BARKHAN,20,3026,1633,1392,1,2794,1525,1268,1,232,108,124,
BARKHAN,21,2646,1359,1287,,2403,1241,1162,,243,118,125,
BARKHAN,22,3328,1628,1700,,3106,1526,1580,,222,102,120,
BARKHAN,23,2898,1387,1511,,2670,1294,1376,,228,93,135,
BARKHAN,24,2852,1499,1353,,2596,1358,1238,,256,141,115,
BARKHAN,25,2374,1221,1153,,2190,1135,1055,,184,86,98,
BARKHAN,26,2462,1261,1201,,2226,1137,1089,,236,124,112,
BARKHAN,27,2282,1217,1065,,2080,1110,970,,202,107,95,
BARKHAN,28,2212,1144,1068,,2013,1035,978,,199,109,90,
BARKHAN,29,2026,1028,998,,1858,947,911,,168,81,87,
BARKHAN,30,2043,1072,971,,1907,1000,907,,136,72,64,
BARKHAN,31,1983,915,1068,,1831,840,991,,152,75,77,
BARKHAN,32,2335,1107,1228,,2121,1011,1110,,214,96,118,
BARKHAN,33,2147,955,1192,,1990,886,1104,,157,69,88,
BARKHAN,34,2111,1019,1092,,1910,922,988,,201,97,104,
BARKHAN,35,1826,976,850,,1692,909,783,,134,67,67,
BARKHAN,36,1908,907,1001,,1762,846,916,,146,61,85,
BARKHAN,37,1968,948,1020,,1796,870,926,,172,78,94,
BARKHAN,38,1774,901,872,1,1654,846,808,,120,55,64,1
BARKHAN,39,1477,765,712,,1360,713,647,,117,52,65,
BARKHAN,40,1424,769,655,,1304,695,609,,120,74,46,
BARKHAN,41,1400,718,682,,1300,657,643,,100,61,39,
BARKHAN,42,2074,1007,1067,,1908,945,963,,166,62,104,
BARKHAN,43,1649,896,753,,1526,827,699,,123,69,54,
BARKHAN,44,1390,759,631,,1264,686,578,,126,73,53,
BARKHAN,45,1230,687,543,,1159,643,516,,71,44,27,
BARKHAN,46,1027,555,472,,944,510,434,,83,45,38,
BARKHAN,47,1322,653,669,,1218,597,621,,104,56,48,
BARKHAN,48,1131,577,554,,1042,533,509,,89,44,45,
BARKHAN,49,866,426,440,,803,393,410,,63,33,30,
BARKHAN,50,969,495,474,,906,460,446,,63,35,28,
BARKHAN,51,896,410,486,,823,382,441,,73,28,45,
BARKHAN,52,1492,699,793,,1367,634,733,,125,65,60,
BARKHAN,53,1135,551,584,,1057,514,543,,78,37,41,
BARKHAN,54,880,451,428,1,793,412,380,1,87,39,48,
BARKHAN,55,790,405,385,,722,372,350,,68,33,35,
BARKHAN,56,670,347,323,,598,309,289,,72,38,34,
BARKHAN,57,725,363,362,,656,327,329,,69,36,33,
BARKHAN,58,688,369,319,,626,337,289,,62,32,30,
BARKHAN,59,534,296,238,,475,262,213,,59,34,25,
BARKHAN,60,696,365,331,,642,338,304,,54,27,27,
BARKHAN,61,442,261,181,,406,241,165,,36,20,16,
BARKHAN,62,699,339,360,,638,297,341,,61,42,19,
BARKHAN,63,637,330,307,,592,313,279,,45,17,28,
BARKHAN,64,547,308,239,,505,286,219,,42,22,20,
BARKHAN,65,564,297,267,,520,275,245,,44,22,22,
BARKHAN,66,429,231,198,,388,207,181,,41,24,17,
BARKHAN,67,404,194,210,,374,178,196,,30,16,14,
BARKHAN,68,383,159,224,,358,147,211,,25,12,13,
BARKHAN,69,326,161,165,,306,154,152,,20,7,13,
BARKHAN,70,550,313,237,,515,295,220,,35,18,17,
BARKHAN,71,289,153,136,,269,142,127,,20,11,9,
BARKHAN,72,419,184,235,,389,171,218,,30,13,17,
BARKHAN,73,268,125,143,,254,117,137,,14,8,6,
BARKHAN,74,329,195,134,,311,187,124,,18,8,10,
BARKHAN,75 & ABOVE,1882,934,948,,1773,890,883,,109,44,65,
CHAGAI,ALL AGES,268611,139642,128964,5,248652,129430,119217,5,19959,10212,9747,
CHAGAI,BELOW 1,6843,3475,3368,,6452,3278,3174,,391,197,194,
CHAGAI,01,9313,4848,4465,,8752,4558,4194,,561,290,271,
CHAGAI,02,11633,5916,5717,,10955,5570,5385,,678,346,332,
CHAGAI,03,11893,6060,5833,,11152,5677,5475,,741,383,358,
CHAGAI,04,12473,6534,5939,,11755,6159,5596,,718,375,343,
CHAGAI,05,10666,5505,5161,,9942,5132,4810,,724,373,351,
CHAGAI,06,10801,5631,5170,,10124,5287,4837,,677,344,333,
CHAGAI,07,9872,5150,4722,,9186,4797,4389,,686,353,333,
CHAGAI,08,10515,5106,5409,,9847,4765,5082,,668,341,327,
CHAGAI,09,7414,4091,3323,,6845,3807,3038,,569,284,285,
CHAGAI,10,8942,4660,4282,,8348,4354,3994,,594,306,288,
CHAGAI,11,7837,3981,3856,,7234,3666,3568,,603,315,288,
CHAGAI,12,7749,4054,3695,,7207,3776,3431,,542,278,264,
CHAGAI,13,7178,3775,3403,,6617,3477,3140,,561,298,263,
CHAGAI,14,7013,3640,3372,1,6516,3396,3119,1,497,244,253,
CHAGAI,15,6716,3563,3152,1,6137,3274,2862,1,579,289,290,
CHAGAI,16,6402,3459,2941,2,5914,3219,2693,2,488,240,248,
CHAGAI,17,5397,2790,2607,,4889,2527,2362,,508,263,245,
CHAGAI,18,5529,2836,2693,,5102,2626,2476,,427,210,217,
CHAGAI,19,4928,2631,2297,,4516,2416,2100,,412,215,197,
CHAGAI,20,4925,2449,2476,,4562,2276,2286,,363,173,190,
CHAGAI,21,4523,2287,2236,,4169,2101,2068,,354,186,168,
CHAGAI,22,4345,2130,2215,,4013,1965,2048,,332,165,167,
CHAGAI,23,4197,2216,1981,,3907,2079,1828,,290,137,153,
CHAGAI,24,3987,2022,1965,,3648,1862,1786,,339,160,179,
CHAGAI,25,3476,1752,1724,,3179,1611,1568,,297,141,156,
CHAGAI,26,3346,1654,1692,,3052,1518,1534,,294,136,158,
CHAGAI,27,3184,1604,1580,,2934,1486,1448,,250,118,132,
CHAGAI,28,3031,1436,1595,,2746,1320,1426,,285,116,169,
CHAGAI,29,3023,1454,1568,1,2746,1315,1430,1,277,139,138,
CHAGAI,30,2423,1168,1255,,2208,1052,1156,,215,116,99,
CHAGAI,31,2796,1345,1451,,2580,1241,1339,,216,104,112,
CHAGAI,32,2864,1417,1447,,2592,1287,1305,,272,130,142,
CHAGAI,33,2620,1296,1324,,2415,1184,1231,,205,112,93,
CHAGAI,34,2626,1359,1267,,2418,1253,1165,,208,106,102,
CHAGAI,35,2451,1260,1191,,2270,1169,1101,,181,91,90,
CHAGAI,36,2323,1139,1184,,2124,1059,1065,,199,80,119,
CHAGAI,37,2534,1309,1225,,2336,1211,1125,,198,98,100,
