name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
MARDAN,DIVISION,,RURAL,LESS THAN 200,7,817,420,397,,Rural Localities
MARDAN,DIVISION,,RURAL,UN-INHABITED,1,,,,,Rural Localities
PESHAWAR,DIVISION,,RURAL,OVERALL,826,7400104,3783050,3616974,80,Rural Localities
PESHAWAR,DIVISION,,RURAL,"5,000 AND ABOVE",416,6540225,3344797,3195358,70,Rural Localities
PESHAWAR,DIVISION,,RURAL,"2,000 -- 4,999",191,646365,330258,316099,8,Rural Localities
PESHAWAR,DIVISION,,RURAL,"1,000 -- 1,999",105,159323,80467,78855,1,Rural Localities
PESHAWAR,DIVISION,,RURAL,500 -- 999,57,42044,21256,20787,1,Rural Localities
PESHAWAR,DIVISION,,RURAL,200 -- 499,29,10892,5620,5272,,Rural Localities
PESHAWAR,DIVISION,,RURAL,LESS THAN 200,12,1255,652,603,,Rural Localities
PESHAWAR,DIVISION,,RURAL,UN-INHABITED,16,,,,,Rural Localities
ABBOTTABAD,DISTRICT,ABBOTTABAD,RURAL,OVERALL,348,1086757,544465,542269,23,Rural Localities
ABBOTTABAD,DISTRICT,ABBOTTABAD,RURAL,"5,000 AND ABOVE",62,675763,339680,336063,20,Rural Localities
ABBOTTABAD,DISTRICT,ABBOTTABAD,RURAL,"2,000 -- 4,999",80,246522,122584,123935,3,Rural Localities
ABBOTTABAD,DISTRICT,ABBOTTABAD,RURAL,"1,000 -- 1,999",63,93170,46422,46748,,Rural Localities
ABBOTTABAD,DISTRICT,ABBOTTABAD,RURAL,500 -- 999,75,53196,26699,26497,,Rural Localities
ABBOTTABAD,DISTRICT,ABBOTTABAD,RURAL,200 -- 499,46,16190,8046,8144,,Rural Localities
ABBOTTABAD,DISTRICT,ABBOTTABAD,RURAL,LESS THAN 200,22,1916,1034,882,,Rural Localities
ABBOTTABAD,DISTRICT,ABBOTTABAD,RURAL,UN-INHABITED,,,,,,Rural Localities
ABBOTTABAD,TEHSIL,ABBOTTABAD,RURAL,OVERALL,176,727449,366447,360984,18,Rural Localities
ABBOTTABAD,TEHSIL,ABBOTTABAD,RURAL,"5,000 AND ABOVE",46,517064,260455,256593,16,Rural Localities
ABBOTTABAD,TEHSIL,ABBOTTABAD,RURAL,"2,000 -- 4,999",44,136347,68457,67888,2,Rural Localities
ABBOTTABAD,TEHSIL,ABBOTTABAD,RURAL,"1,000 -- 1,999",29,43764,22170,21594,,Rural Localities
ABBOTTABAD,TEHSIL,ABBOTTABAD,RURAL,500 -- 999,34,23819,12059,11760,,Rural Localities
ABBOTTABAD,TEHSIL,ABBOTTABAD,RURAL,200 -- 499,16,6166,3106,3060,,Rural Localities
