name_admin_unit,admin_unit,age_group,marital_status,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ABBOTTABAD,DISTRICT,55 - 59,SEPERATION,46,27,19,,33,16,17,,13,11,2,
ABBOTTABAD,DISTRICT,55 - 59,WIDOWED,5008,4320,688,,4009,3445,564,,999,875,124,
ABBOTTABAD,DISTRICT,60 - 64,DIVORCED,159,111,48,,127,91,36,,32,20,12,
ABBOTTABAD,DISTRICT,60 - 64,MARRIED,29689,11091,18598,,23055,8783,14272,,6634,2308,4326,
ABBOTTABAD,DISTRICT,60 - 64,NEVER MARRIED,501,295,206,,388,225,163,,113,70,43,
ABBOTTABAD,DISTRICT,60 - 64,SEPERATION,56,32,24,,42,21,21,,14,11,3,
ABBOTTABAD,DISTRICT,60 - 64,WIDOWED,6168,5165,1003,,4875,4065,810,,1293,1100,193,
ABBOTTABAD,DISTRICT,65 - 69,DIVORCED,94,60,34,,76,53,23,,18,7,11,
ABBOTTABAD,DISTRICT,65 - 69,MARRIED,19701,7142,12559,,15335,5672,9663,,4366,1470,2896,
ABBOTTABAD,DISTRICT,65 - 69,NEVER MARRIED,337,202,135,,252,145,107,,85,57,28,
ABBOTTABAD,DISTRICT,65 - 69,SEPERATION,37,11,26,,28,8,20,,9,3,6,
ABBOTTABAD,DISTRICT,65 - 69,WIDOWED,5949,4753,1196,,4798,3843,955,,1151,910,241,
ABBOTTABAD,DISTRICT,70 - 74,DIVORCED,56,36,20,,46,30,16,,10,6,4,
ABBOTTABAD,DISTRICT,70 - 74,MARRIED,13416,4235,9181,,10705,3484,7221,,2711,751,1960,
ABBOTTABAD,DISTRICT,70 - 74,NEVER MARRIED,214,126,87,1,160,89,71,,54,37,16,1
ABBOTTABAD,DISTRICT,70 - 74,SEPERATION,19,10,9,,16,9,7,,3,1,2,
ABBOTTABAD,DISTRICT,70 - 74,WIDOWED,6923,5296,1627,,5678,4335,1343,,1245,961,284,
ABBOTTABAD,DISTRICT,75 & ABOVE,DIVORCED,43,28,15,,36,25,11,,7,3,4,
ABBOTTABAD,DISTRICT,75 & ABOVE,MARRIED,10416,2645,7771,,8328,2155,6173,,2088,490,1598,
ABBOTTABAD,DISTRICT,75 & ABOVE,NEVER MARRIED,191,106,83,2,151,79,70,2,40,27,13,
ABBOTTABAD,DISTRICT,75 & ABOVE,SEPERATION,14,7,7,,12,6,6,,2,1,1,
ABBOTTABAD,DISTRICT,75 & ABOVE,WIDOWED,10339,7205,3134,,8573,5999,2574,,1766,1206,560,
BAJAUR,DISTRICT,15 &  ABOVE,DIVORCED,137,121,16,,137,121,16,,,,,
BAJAUR,DISTRICT,15 &  ABOVE,MARRIED,477708,243923,233785,,477708,243923,233785,,,,,
BAJAUR,DISTRICT,15 &  ABOVE,NEVER MARRIED,150517,61976,88530,11,150517,61976,88530,11,,,,
BAJAUR,DISTRICT,15 &  ABOVE,SEPERATION,360,264,96,,360,264,96,,,,,
BAJAUR,DISTRICT,15 &  ABOVE,WIDOWED,10850,9415,1435,,10850,9415,1435,,,,,
BAJAUR,DISTRICT,15 - 19,DIVORCED,7,3,4,,7,3,4,,,,,
BAJAUR,DISTRICT,15 - 19,MARRIED,20583,14906,5677,,20583,14906,5677,,,,,
BAJAUR,DISTRICT,15 - 19,NEVER MARRIED,104300,46590,57705,5,104300,46590,57705,5,,,,
BAJAUR,DISTRICT,15 - 19,SEPERATION,25,13,12,,25,13,12,,,,,
BAJAUR,DISTRICT,15 - 19,WIDOWED,18,11,7,,18,11,7,,,,,
BAJAUR,DISTRICT,20 - 24,DIVORCED,15,13,2,,15,13,2,,,,,
BAJAUR,DISTRICT,20 - 24,MARRIED,68555,42428,26127,,68555,42428,26127,,,,,
BAJAUR,DISTRICT,20 - 24,NEVER MARRIED,33413,8796,24614,3,33413,8796,24614,3,,,,
BAJAUR,DISTRICT,20 - 24,SEPERATION,28,10,18,,28,10,18,,,,,
BAJAUR,DISTRICT,20 - 24,WIDOWED,88,70,18,,88,70,18,,,,,
BAJAUR,DISTRICT,25 - 29,DIVORCED,19,16,3,,19,16,3,,,,,
BAJAUR,DISTRICT,25 - 29,MARRIED,77419,39644,37775,,77419,39644,37775,,,,,
BAJAUR,DISTRICT,25 - 29,NEVER MARRIED,8375,3167,5206,2,8375,3167,5206,2,,,,
BAJAUR,DISTRICT,25 - 29,SEPERATION,20,12,8,,20,12,8,,,,,
BAJAUR,DISTRICT,25 - 29,WIDOWED,154,129,25,,154,129,25,,,,,
BAJAUR,DISTRICT,30 - 34,DIVORCED,18,17,1,,18,17,1,,,,,
BAJAUR,DISTRICT,30 - 34,MARRIED,75471,36685,38786,,75471,36685,38786,,,,,
BAJAUR,DISTRICT,30 - 34,NEVER MARRIED,2419,2331,88,,2419,2331,88,,,,,
