name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
LOWER TANAWAL,ABBOTTABAD,TEHSIL,RURAL,REGULAR,60217,29931,30284,2,10597,99.94
LOWER TANAWAL,ABBOTTABAD,TEHSIL,RURAL,INSTITUTIONAL,1,1,,,1,.01
LOWER TANAWAL,ABBOTTABAD,TEHSIL,RURAL,HOMELESS,21,18,3,,5,.05
LOWER TANAWAL,ABBOTTABAD,TEHSIL,RURAL,TOTAL,60239,29950,30287,2,10603,100
LOWER TANAWAL,ABBOTTABAD,TEHSIL,URBAN,REGULAR,,,,,,0
LOWER TANAWAL,ABBOTTABAD,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
LOWER TANAWAL,ABBOTTABAD,TEHSIL,URBAN,HOMELESS,,,,,,0
LOWER TANAWAL,ABBOTTABAD,TEHSIL,URBAN,TOTAL,,,,,,100
BAJAUR,BAJAUR,DISTRICT,OVERALL,REGULAR,1282706,648090,634601,15,181699,99.98999999999999
BAJAUR,BAJAUR,DISTRICT,OVERALL,INSTITUTIONAL,396,378,18,,20,.01
BAJAUR,BAJAUR,DISTRICT,OVERALL,HOMELESS,11,5,6,,2,0
BAJAUR,BAJAUR,DISTRICT,OVERALL,TOTAL,1283113,648473,634625,15,181721,100
BAJAUR,BAJAUR,DISTRICT,RURAL,REGULAR,1282706,648090,634601,15,181699,99.98999999999999
BAJAUR,BAJAUR,DISTRICT,RURAL,INSTITUTIONAL,396,378,18,,20,.01
BAJAUR,BAJAUR,DISTRICT,RURAL,HOMELESS,11,5,6,,2,0
BAJAUR,BAJAUR,DISTRICT,RURAL,TOTAL,1283113,648473,634625,15,181721,100
BAJAUR,BAJAUR,DISTRICT,URBAN,REGULAR,,,,,,0
BAJAUR,BAJAUR,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
BAJAUR,BAJAUR,DISTRICT,URBAN,HOMELESS,,,,,,0
BAJAUR,BAJAUR,DISTRICT,URBAN,TOTAL,,,,,,100
BAR CHAMER KAND,BAJAUR,TEHSIL,OVERALL,REGULAR,3574,1825,1748,1,755,100
BAR CHAMER KAND,BAJAUR,TEHSIL,OVERALL,INSTITUTIONAL,,,,,,0
BAR CHAMER KAND,BAJAUR,TEHSIL,OVERALL,HOMELESS,,,,,,0
BAR CHAMER KAND,BAJAUR,TEHSIL,OVERALL,TOTAL,3574,1825,1748,1,755,100
BAR CHAMER KAND,BAJAUR,TEHSIL,RURAL,REGULAR,3574,1825,1748,1,755,100
BAR CHAMER KAND,BAJAUR,TEHSIL,RURAL,INSTITUTIONAL,,,,,,0
BAR CHAMER KAND,BAJAUR,TEHSIL,RURAL,HOMELESS,,,,,,0
BAR CHAMER KAND,BAJAUR,TEHSIL,RURAL,TOTAL,3574,1825,1748,1,755,100
BAR CHAMER KAND,BAJAUR,TEHSIL,URBAN,REGULAR,,,,,,0
BAR CHAMER KAND,BAJAUR,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
BAR CHAMER KAND,BAJAUR,TEHSIL,URBAN,HOMELESS,,,,,,0
BAR CHAMER KAND,BAJAUR,TEHSIL,URBAN,TOTAL,,,,,,100
BARANG,BAJAUR,TEHSIL,OVERALL,REGULAR,89981,45053,44928,,14016,100
BARANG,BAJAUR,TEHSIL,OVERALL,INSTITUTIONAL,,,,,,0
BARANG,BAJAUR,TEHSIL,OVERALL,HOMELESS,,,,,,0
BARANG,BAJAUR,TEHSIL,OVERALL,TOTAL,89981,45053,44928,,14016,100
BARANG,BAJAUR,TEHSIL,RURAL,REGULAR,89981,45053,44928,,14016,100
BARANG,BAJAUR,TEHSIL,RURAL,INSTITUTIONAL,,,,,,0
BARANG,BAJAUR,TEHSIL,RURAL,HOMELESS,,,,,,0
BARANG,BAJAUR,TEHSIL,RURAL,TOTAL,89981,45053,44928,,14016,100
BARANG,BAJAUR,TEHSIL,URBAN,REGULAR,,,,,,0
BARANG,BAJAUR,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
BARANG,BAJAUR,TEHSIL,URBAN,HOMELESS,,,,,,0
BARANG,BAJAUR,TEHSIL,URBAN,TOTAL,,,,,,100
KHAR BAJAUR,BAJAUR,TEHSIL,OVERALL,REGULAR,299222,151675,147545,2,41817,99.98
KHAR BAJAUR,BAJAUR,TEHSIL,OVERALL,INSTITUTIONAL,163,156,7,,7,.02
KHAR BAJAUR,BAJAUR,TEHSIL,OVERALL,HOMELESS,,,,,,0
KHAR BAJAUR,BAJAUR,TEHSIL,OVERALL,TOTAL,299385,151831,147552,2,41824,100
KHAR BAJAUR,BAJAUR,TEHSIL,RURAL,REGULAR,299222,151675,147545,2,41817,99.98
KHAR BAJAUR,BAJAUR,TEHSIL,RURAL,INSTITUTIONAL,163,156,7,,7,.02
KHAR BAJAUR,BAJAUR,TEHSIL,RURAL,HOMELESS,,,,,,0
KHAR BAJAUR,BAJAUR,TEHSIL,RURAL,TOTAL,299385,151831,147552,2,41824,100
KHAR BAJAUR,BAJAUR,TEHSIL,URBAN,REGULAR,,,,,,0
KHAR BAJAUR,BAJAUR,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
KHAR BAJAUR,BAJAUR,TEHSIL,URBAN,HOMELESS,,,,,,0
KHAR BAJAUR,BAJAUR,TEHSIL,URBAN,TOTAL,,,,,,100
MAMUND,BAJAUR,TEHSIL,OVERALL,REGULAR,357027,181382,175641,4,48697,99.98999999999999
MAMUND,BAJAUR,TEHSIL,OVERALL,INSTITUTIONAL,104,104,,,5,.01
MAMUND,BAJAUR,TEHSIL,OVERALL,HOMELESS,4,1,3,,1,0
MAMUND,BAJAUR,TEHSIL,OVERALL,TOTAL,357135,181487,175644,4,48703,100
MAMUND,BAJAUR,TEHSIL,RURAL,REGULAR,357027,181382,175641,4,48697,99.98999999999999
MAMUND,BAJAUR,TEHSIL,RURAL,INSTITUTIONAL,104,104,,,5,.01
MAMUND,BAJAUR,TEHSIL,RURAL,HOMELESS,4,1,3,,1,0
