name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
MIRPUR MATHELO,TEHSIL,GHOTKI,OVERALL,593,350647,181701,168937,9,107.56,591.3099999999999,21.29,5.1,327821,1.13
MIRPUR MATHELO,TEHSIL,GHOTKI,RURAL,,275996,142822,133169,5,107.25,,,5.1,252551,1.49
MIRPUR MATHELO,TEHSIL,GHOTKI,URBAN,,74651,38879,35768,4,108.7,,,5.2,75270,-.14
UBAURO,TEHSIL,GHOTKI,OVERALL,653,383560,199123,184422,15,107.97,587.38,13.29,5.6,353424,1.38
UBAURO,TEHSIL,GHOTKI,RURAL,,332579,172705,159865,9,108.03,,,5.6,308928,1.24
UBAURO,TEHSIL,GHOTKI,URBAN,,50981,26418,24557,6,107.58,,,5.7,44496,2.3
HYDERABAD,DISTRICT,HYDERABAD,OVERALL,993,2432540,1289279,1143090,171,112.79,2449.69,83.14,5.4,2199928,1.69
HYDERABAD,DISTRICT,HYDERABAD,RURAL,,410161,216720,193434,7,112.04,,,5.4,373410,1.58
HYDERABAD,DISTRICT,HYDERABAD,URBAN,,2022379,1072559,949656,164,112.94,,,5.4,1826518,1.72
HYDERABAD CITY,TEHSIL,HYDERABAD,OVERALL,43,778132,410459,367613,60,111.66,18096.09,100,5.6,725153,1.19
HYDERABAD CITY,TEHSIL,HYDERABAD,RURAL,,,,,,,,,,,
HYDERABAD CITY,TEHSIL,HYDERABAD,URBAN,,778132,410459,367613,60,111.66,,,5.6,725153,1.19
HYDERABAD,TEHSIL,HYDERABAD,OVERALL,711,511265,270152,241102,11,112.05,719.08,19.78,5.4,466306,1.55
HYDERABAD,TEHSIL,HYDERABAD,RURAL,,410161,216720,193434,7,112.04,,,5.4,373410,1.58
HYDERABAD,TEHSIL,HYDERABAD,URBAN,,101104,53432,47668,4,112.09,,,5.5,92896,1.43
LATIFABAD,TEHSIL,HYDERABAD,OVERALL,204,800983,422431,378467,85,111.62,3926.39,100,5.2,703690,2.19
LATIFABAD,TEHSIL,HYDERABAD,RURAL,,,,,,,,,,,
LATIFABAD,TEHSIL,HYDERABAD,URBAN,,800983,422431,378467,85,111.62,,,5.2,703690,2.19
QASIMABAD,TEHSIL,HYDERABAD,OVERALL,35,342160,186237,155908,15,119.45,9776,100,5.4,304779,1.95
QASIMABAD,TEHSIL,HYDERABAD,RURAL,,,,,,,,,,,
QASIMABAD,TEHSIL,HYDERABAD,URBAN,,342160,186237,155908,15,119.45,,,5.4,304779,1.95
JACOBABAD,DISTRICT,JACOBABAD,OVERALL,2698,1174097,595787,578201,109,103.04,435.17,30.83,6,1007009,2.6
JACOBABAD,DISTRICT,JACOBABAD,RURAL,,812180,411783,400369,28,102.85,,,5.8,709791,2.28
JACOBABAD,DISTRICT,JACOBABAD,URBAN,,361917,184004,177832,81,103.47,,,6.4,297218,3.35
GARHI KHAIRO,TEHSIL,JACOBABAD,OVERALL,733,193297,97102,96167,28,100.97,263.71,10.35,6.3,159019,3.32
GARHI KHAIRO,TEHSIL,JACOBABAD,RURAL,,173290,86937,86350,3,100.68,,,6.1,146400,2.86
GARHI KHAIRO,TEHSIL,JACOBABAD,URBAN,,20007,10165,9817,25,103.54,,,7.8,12619,8.01
JACOBABAD,TEHSIL,JACOBABAD,OVERALL,664,447647,226993,220600,54,102.9,674.17,48.99,6.5,382578,2.66
JACOBABAD,TEHSIL,JACOBABAD,RURAL,,228332,115765,112560,7,102.85,,,6.5,191480,2.99
JACOBABAD,TEHSIL,JACOBABAD,URBAN,,219315,111228,108040,47,102.95,,,6.5,191098,2.33
THUL,TEHSIL,JACOBABAD,OVERALL,1301,533153,271692,261434,27,103.92,409.8,22.99,5.5,465412,2.3
THUL,TEHSIL,JACOBABAD,RURAL,,410558,209081,201459,18,103.78,,,5.4,371911,1.67
THUL,TEHSIL,JACOBABAD,URBAN,,122595,62611,59975,9,104.4,,,6.1,93501,4.63
JAMSHORO,DISTRICT,JAMSHORO,OVERALL,11204,1117308,578036,539205,67,107.2,99.72,46.7,5.2,993908,1.98
JAMSHORO,DISTRICT,JAMSHORO,RURAL,,595562,309656,285897,9,108.31,,,5,561287,1
JAMSHORO,DISTRICT,JAMSHORO,URBAN,,521746,268380,253308,58,105.95,,,5.4,432621,3.18
KOTRI,TEHSIL,JAMSHORO,OVERALL,1051,472003,244105,227856,42,107.13,449.1,77.20999999999999,5.4,438063,1.25
KOTRI,TEHSIL,JAMSHORO,RURAL,,107585,56585,50999,1,110.95,,,5.2,145932,-4.97
KOTRI,TEHSIL,JAMSHORO,URBAN,,364418,187520,176857,41,106.03,,,5.5,292131,3.76
MANJHAND,TEHSIL,JAMSHORO,OVERALL,2303,161794,84442,77350,2,109.17,70.25,13.34,5.1,140766,2.35
MANJHAND,TEHSIL,JAMSHORO,RURAL,,140203,73515,66686,2,110.24,,,5.1,119570,2.7
MANJHAND,TEHSIL,JAMSHORO,URBAN,,21591,10927,10664,,102.47,,,4.6,21196,.31
SEHWAN,TEHSIL,JAMSHORO,OVERALL,2160,322011,165837,156156,18,106.2,149.08,36.73,5.1,269817,3
SEHWAN,TEHSIL,JAMSHORO,RURAL,,203736,105027,98706,3,106.4,,,5,165467,3.54
SEHWAN,TEHSIL,JAMSHORO,URBAN,,118275,60810,57450,15,105.85,,,5.4,104350,2.12
THANO BULA KHAN,TEHSIL,JAMSHORO,OVERALL,5690,161500,83652,77843,5,107.46,28.38,10.81,4.8,145262,1.79
