name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
WAZIR,BANNU,SUB-DIVISION,RURAL,5343,1402,3166,775,20,,4692,631,2557,956
WAZIR,BANNU,SUB-DIVISION,URBAN,,,,,,,,,,
BATAGRAM,BATAGRAM,DISTRICT,OVERALL,86196,57917,9518,18761,398,928,84094,776,55963,12046
BATAGRAM,BATAGRAM,DISTRICT,RURAL,86196,57917,9518,18761,398,928,84094,776,55963,12046
BATAGRAM,BATAGRAM,DISTRICT,URBAN,,,,,,,,,,
ALLAI,BATAGRAM,TEHSIL,OVERALL,34830,16448,3861,14521,204,305,33739,582,18804,6273
ALLAI,BATAGRAM,TEHSIL,RURAL,34830,16448,3861,14521,204,305,33739,582,18804,6273
ALLAI,BATAGRAM,TEHSIL,URBAN,,,,,,,,,,
BATAGRAM,BATAGRAM,TEHSIL,OVERALL,51366,41469,5657,4240,194,623,50355,194,37159,5773
BATAGRAM,BATAGRAM,TEHSIL,RURAL,51366,41469,5657,4240,194,623,50355,194,37159,5773
BATAGRAM,BATAGRAM,TEHSIL,URBAN,,,,,,,,,,
BUNER,BUNER,DISTRICT,OVERALL,118665,95360,12918,10387,418,1331,115435,1481,73466,24987
BUNER,BUNER,DISTRICT,RURAL,118665,95360,12918,10387,418,1331,115435,1481,73466,24987
BUNER,BUNER,DISTRICT,URBAN,,,,,,,,,,
CHAGHARZAI,BUNER,TEHSIL,OVERALL,14454,8533,3128,2793,48,4,14276,126,8410,3513
CHAGHARZAI,BUNER,TEHSIL,RURAL,14454,8533,3128,2793,48,4,14276,126,8410,3513
CHAGHARZAI,BUNER,TEHSIL,URBAN,,,,,,,,,,
DAGGAR,BUNER,TEHSIL,OVERALL,21319,17963,1911,1445,79,239,20427,574,14827,3274
DAGGAR,BUNER,TEHSIL,RURAL,21319,17963,1911,1445,79,239,20427,574,14827,3274
DAGGAR,BUNER,TEHSIL,URBAN,,,,,,,,,,
GADEZAI,BUNER,TEHSIL,OVERALL,21293,17257,1942,2094,89,169,20720,315,13151,4397
GADEZAI,BUNER,TEHSIL,RURAL,21293,17257,1942,2094,89,169,20720,315,13151,4397
GADEZAI,BUNER,TEHSIL,URBAN,,,,,,,,,,
GAGRA,BUNER,TEHSIL,OVERALL,19458,18136,366,956,62,285,18922,189,14746,1721
GAGRA,BUNER,TEHSIL,RURAL,19458,18136,366,956,62,285,18922,189,14746,1721
GAGRA,BUNER,TEHSIL,URBAN,,,,,,,,,,
KHADO KHEL,BUNER,TEHSIL,OVERALL,17935,15254,1394,1287,79,446,17339,71,10585,4121
KHADO KHEL,BUNER,TEHSIL,RURAL,17935,15254,1394,1287,79,446,17339,71,10585,4121
KHADO KHEL,BUNER,TEHSIL,URBAN,,,,,,,,,,
MANDANR,BUNER,TEHSIL,OVERALL,24206,18217,4177,1812,61,188,23751,206,11747,7961
MANDANR,BUNER,TEHSIL,RURAL,24206,18217,4177,1812,61,188,23751,206,11747,7961
MANDANR,BUNER,TEHSIL,URBAN,,,,,,,,,,
CHARSADDA,CHARSADDA,DISTRICT,OVERALL,263934,236418,20094,7422,86717,7242,165177,4798,172749,26136
CHARSADDA,CHARSADDA,DISTRICT,RURAL,219425,193170,19380,6875,59485,4226,151920,3794,141630,22791
CHARSADDA,CHARSADDA,DISTRICT,URBAN,44509,43248,714,547,27232,3016,13257,1004,31119,3345
CHARSADDA,CHARSADDA,TEHSIL,OVERALL,129621,121763,4787,3071,55452,2969,68662,2538,90336,11747
CHARSADDA,CHARSADDA,TEHSIL,RURAL,106804,99341,4631,2832,36186,2185,66208,2225,73823,10122
CHARSADDA,CHARSADDA,TEHSIL,URBAN,22817,22422,156,239,19266,784,2454,313,16513,1625
SHABQADAR,CHARSADDA,TEHSIL,OVERALL,63241,54540,7065,1636,8698,3470,50032,1041,38185,9330
SHABQADAR,CHARSADDA,TEHSIL,RURAL,48034,40085,6571,1378,5525,1515,40386,608,27538,7938
SHABQADAR,CHARSADDA,TEHSIL,URBAN,15207,14455,494,258,3173,1955,9646,433,10647,1392
TANGI,CHARSADDA,TEHSIL,OVERALL,71072,60115,8242,2715,22567,803,46483,1219,44228,5059
TANGI,CHARSADDA,TEHSIL,RURAL,64587,53744,8178,2665,17774,526,45326,961,40269,4731
TANGI,CHARSADDA,TEHSIL,URBAN,6485,6371,64,50,4793,277,1157,258,3959,328
