name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
DERA BUGTI,DERA BUGTI,SUB-DIVISION,OVERALL,9607,6131,847,2629,2905,14,6153,535,3002,4768
DERA BUGTI,DERA BUGTI,SUB-DIVISION,RURAL,4178,1185,803,2190,63,12,3615,488,1193,2547
DERA BUGTI,DERA BUGTI,SUB-DIVISION,URBAN,5429,4946,44,439,2842,2,2538,47,1809,2221
LOTI,DERA BUGTI,SUB-TEHSIL,OVERALL,4565,27,303,4235,9,,3582,974,465,3960
LOTI,DERA BUGTI,SUB-TEHSIL,RURAL,4565,27,303,4235,9,,3582,974,465,3960
LOTI,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,,
MALAM,DERA BUGTI,SUB-TEHSIL,OVERALL,4435,16,1506,2913,18,,4045,372,2143,974
MALAM,DERA BUGTI,SUB-TEHSIL,RURAL,4435,16,1506,2913,18,,4045,372,2143,974
MALAM,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,,
PIR KOH,DERA BUGTI,SUB-TEHSIL,OVERALL,8519,245,1145,7129,1253,2,6571,693,1933,4783
PIR KOH,DERA BUGTI,SUB-TEHSIL,RURAL,8519,245,1145,7129,1253,2,6571,693,1933,4783
PIR KOH,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,,
QADIRABAD,DERA BUGTI,SUB-DIVISION,OVERALL,3848,13,1300,2535,12,,3179,657,1725,1031
QADIRABAD,DERA BUGTI,SUB-DIVISION,RURAL,3848,13,1300,2535,12,,3179,657,1725,1031
QADIRABAD,DERA BUGTI,SUB-DIVISION,URBAN,,,,,,,,,,
SANGSILLAH,DERA BUGTI,SUB-TEHSIL,OVERALL,2494,376,105,2013,354,2,1980,158,251,1217
SANGSILLAH,DERA BUGTI,SUB-TEHSIL,RURAL,2494,376,105,2013,354,2,1980,158,251,1217
SANGSILLAH,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,,
SUI,DERA BUGTI,SUB-DIVISION,OVERALL,23968,14463,2410,7095,10229,33,11398,2308,6202,9376
SUI,DERA BUGTI,SUB-DIVISION,RURAL,9569,1114,2223,6232,208,17,7242,2102,702,7707
SUI,DERA BUGTI,SUB-DIVISION,URBAN,14399,13349,187,863,10021,16,4156,206,5500,1669
DUKI,DUKI,DISTRICT,OVERALL,43059,24570,14037,4452,354,105,40186,2414,18539,5364
DUKI,DUKI,DISTRICT,RURAL,40066,21937,13739,4390,302,77,37316,2371,16574,5053
DUKI,DUKI,DISTRICT,URBAN,2993,2633,298,62,52,28,2870,43,1965,311
DUKI,DUKI,SUB-DIVISION,OVERALL,26606,18557,5518,2531,187,64,24583,1772,11099,2411
DUKI,DUKI,SUB-DIVISION,RURAL,23613,15924,5220,2469,135,36,21713,1729,9134,2100
DUKI,DUKI,SUB-DIVISION,URBAN,2993,2633,298,62,52,28,2870,43,1965,311
LUNI,DUKI,SUB-DIVISION,OVERALL,2907,334,2096,477,68,4,2566,269,1484,515
LUNI,DUKI,SUB-DIVISION,RURAL,2907,334,2096,477,68,4,2566,269,1484,515
LUNI,DUKI,SUB-DIVISION,URBAN,,,,,,,,,,
TALAO,DUKI,SUB-TEHSIL,OVERALL,5256,235,4511,510,20,24,5046,166,2940,1017
