name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
BAHAWALPUR,BAHAWALPUR,DISTRICT,RURAL,416480,390370,4151,16213,1540,366,3840,398758,11976,144556,147410,66081,58433
BAHAWALPUR,BAHAWALPUR,DISTRICT,URBAN,256957,206600,36030,5827,5987,128,2385,234326,14131,56940,90293,56459,53265
AHMADPUR EAST,BAHAWALPUR,TEHSIL,OVERALL,195174,184446,5095,2820,1234,53,1526,184765,7596,78446,69433,27378,19917
AHMADPUR EAST,BAHAWALPUR,TEHSIL,RURAL,144072,140271,609,1829,285,38,1040,138447,4262,65718,50127,16930,11297
AHMADPUR EAST,BAHAWALPUR,TEHSIL,URBAN,51102,44175,4486,991,949,15,486,46318,3334,12728,19306,10448,8620
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,OVERALL,132047,101609,23551,2953,2304,66,1564,120606,7507,28473,44504,29890,29180
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,RURAL,,,,,,,,,,,,,
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,URBAN,132047,101609,23551,2953,2304,66,1564,120606,7507,28473,44504,29890,29180
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,OVERALL,105184,95586,3915,1987,3095,135,466,98099,3389,31225,39137,18551,16271
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,RURAL,82198,77943,1375,1780,599,107,394,78562,2536,26589,29908,13548,12153
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,URBAN,22986,17643,2540,207,2496,28,72,19537,853,4636,9229,5003,4118
HASILPUR,BAHAWALPUR,TEHSIL,OVERALL,84089,74333,3866,4661,437,105,687,79768,3092,20741,29891,16679,16778
HASILPUR,BAHAWALPUR,TEHSIL,RURAL,51293,46619,477,3368,270,94,465,48922,1542,13208,18665,9808,9612
HASILPUR,BAHAWALPUR,TEHSIL,URBAN,32796,27714,3389,1293,167,11,222,30846,1550,7533,11226,6871,7166
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,OVERALL,48445,44337,773,2621,48,10,656,46155,1576,15497,17629,8207,7112
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,RURAL,40482,37099,202,2487,38,8,648,38661,1127,13545,14729,6605,5603
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,URBAN,7963,7238,571,134,10,2,8,7494,449,1952,2900,1602,1509
YAZMAN,BAHAWALPUR,TEHSIL,OVERALL,108498,96659,2981,6998,409,125,1326,103691,2947,27114,37109,21835,22440
YAZMAN,BAHAWALPUR,TEHSIL,RURAL,98435,88438,1488,6749,348,119,1293,94166,2509,25496,33981,19190,19768
YAZMAN,BAHAWALPUR,TEHSIL,URBAN,10063,8221,1493,249,61,6,33,9525,438,1618,3128,2645,2672
BHAKKAR,BHAKKAR,DISTRICT,OVERALL,313311,290071,8596,10869,1063,126,2586,302093,7443,98006,119462,50634,45209
BHAKKAR,BHAKKAR,DISTRICT,RURAL,257142,242519,2896,8852,411,104,2360,248618,5649,84767,99108,39560,33707
BHAKKAR,BHAKKAR,DISTRICT,URBAN,56169,47552,5700,2017,652,22,226,53475,1794,13239,20354,11074,11502
BHAKKAR,BHAKKAR,TEHSIL,OVERALL,124135,113662,4840,3995,674,54,910,119600,2897,35780,47128,21473,19754
BHAKKAR,BHAKKAR,TEHSIL,RURAL,99062,93503,1550,3090,103,39,777,96174,1969,31330,38413,15695,13624
BHAKKAR,BHAKKAR,TEHSIL,URBAN,25073,20159,3290,905,571,15,133,23426,928,4450,8715,5778,6130
DARYA KHAN,BHAKKAR,TEHSIL,OVERALL,70483,65562,1776,2624,80,28,413,68424,1538,25186,27124,10007,8166
DARYA KHAN,BHAKKAR,TEHSIL,RURAL,54723,51806,467,1984,52,24,390,53163,1094,20279,20847,7494,6103
DARYA KHAN,BHAKKAR,TEHSIL,URBAN,15760,13756,1309,640,28,4,23,15261,444,4907,6277,2513,2063
KALUR KOT,BHAKKAR,TEHSIL,OVERALL,65693,61310,1288,2163,264,26,642,63066,1695,18606,25246,11376,10465
KALUR KOT,BHAKKAR,TEHSIL,RURAL,57999,54507,559,2052,223,26,632,55644,1474,17050,22754,9839,8356
KALUR KOT,BHAKKAR,TEHSIL,URBAN,7694,6803,729,111,41,,10,7422,221,1556,2492,1537,2109
MANKERA,BHAKKAR,TEHSIL,OVERALL,53000,49537,692,2087,45,18,621,51003,1313,18434,19964,7778,6824
MANKERA,BHAKKAR,TEHSIL,RURAL,45358,42703,320,1726,33,15,561,43637,1112,16108,17094,6532,5624
MANKERA,BHAKKAR,TEHSIL,URBAN,7642,6834,372,361,12,3,60,7366,201,2326,2870,1246,1200
CHAKWAL,CHAKWAL,DISTRICT,OVERALL,288838,258934,20290,7134,1079,243,1158,269458,16900,22249,87828,88203,90558
CHAKWAL,CHAKWAL,DISTRICT,RURAL,218222,204151,7013,5712,319,148,879,203280,13596,15808,64560,65699,72155
CHAKWAL,CHAKWAL,DISTRICT,URBAN,70616,54783,13277,1422,760,95,279,66178,3304,6441,23268,22504,18403
CHAKWAL,CHAKWAL,TEHSIL,OVERALL,126901,110922,11598,3312,576,62,431,117487,8345,10051,37814,40180,38856
CHAKWAL,CHAKWAL,TEHSIL,RURAL,87472,82060,2511,2320,225,48,308,80530,6361,6452,25747,27335,27938
CHAKWAL,CHAKWAL,TEHSIL,URBAN,39429,28862,9087,992,351,14,123,36957,1984,3599,12067,12845,10918
CHOA SAIDAN SHAH,CHAKWAL,TEHSIL,OVERALL,26676,23645,1975,665,153,71,167,24645,1640,3553,9799,6940,6384
CHOA SAIDAN SHAH,CHAKWAL,TEHSIL,RURAL,20571,18734,1087,594,24,19,113,19015,1400,2593,7485,5339,5154
CHOA SAIDAN SHAH,CHAKWAL,TEHSIL,URBAN,6105,4911,888,71,129,52,54,5630,240,960,2314,1601,1230
KALLAR KAHAR,CHAKWAL,TEHSIL,OVERALL,33899,30652,1790,944,255,69,189,30920,2466,2377,10688,10694,10140
KALLAR KAHAR,CHAKWAL,TEHSIL,RURAL,25707,23806,929,756,22,46,148,23456,2035,1661,7633,8202,8211
KALLAR KAHAR,CHAKWAL,TEHSIL,URBAN,8192,6846,861,188,233,23,41,7464,431,716,3055,2492,1929
LAWA,CHAKWAL,TEHSIL,OVERALL,22201,21046,383,707,9,10,46,21203,933,1191,5055,6165,9790
LAWA,CHAKWAL,TEHSIL,RURAL,19115,18150,253,655,8,8,41,18283,775,967,4211,5207,8730
LAWA,CHAKWAL,TEHSIL,URBAN,3086,2896,130,52,1,2,5,2920,158,224,844,958,1060
TALA GANG,CHAKWAL,TEHSIL,OVERALL,79161,72669,4544,1506,86,31,325,75203,3516,5077,24472,24224,25388
TALA GANG,CHAKWAL,TEHSIL,RURAL,65357,61401,2233,1387,40,27,269,61996,3025,4135,19484,19616,22122
TALA GANG,CHAKWAL,TEHSIL,URBAN,13804,11268,2311,119,46,4,56,13207,491,942,4988,4608,3266
CHINIOT,CHINIOT,DISTRICT,OVERALL,256438,217875,16012,19665,403,580,1903,242526,11026,79252,96953,44941,35292
CHINIOT,CHINIOT,DISTRICT,RURAL,173343,153160,2359,16154,199,111,1360,164671,7002,57353,66020,28024,21946
CHINIOT,CHINIOT,DISTRICT,URBAN,83095,64715,13653,3511,204,469,543,77855,4024,21899,30933,16917,13346
BHAWANA,CHINIOT,TEHSIL,OVERALL,69433,64060,1127,3781,93,22,350,65948,3020,21587,26402,11968,9476
BHAWANA,CHINIOT,TEHSIL,RURAL,63333,58650,560,3678,90,19,336,60127,2761,20098,23598,10896,8741
BHAWANA,CHINIOT,TEHSIL,URBAN,6100,5410,567,103,3,3,14,5821,259,1489,2804,1072,735
CHINIOT,CHINIOT,TEHSIL,OVERALL,103876,88844,8096,5885,230,103,718,98584,4241,32800,39489,17818,13769
CHINIOT,CHINIOT,TEHSIL,RURAL,51227,45992,757,3770,71,52,585,48374,2145,17252,19871,8064,6040
CHINIOT,CHINIOT,TEHSIL,URBAN,52649,42852,7339,2115,159,51,133,50210,2096,15548,19618,9754,7729
LALIAN,CHINIOT,TEHSIL,OVERALL,83129,64971,6789,9999,80,455,835,77994,3765,24865,31062,15155,12047
LALIAN,CHINIOT,TEHSIL,RURAL,58783,48518,1042,8706,38,40,439,56170,2096,20003,22551,9064,7165
LALIAN,CHINIOT,TEHSIL,URBAN,24346,16453,5747,1293,42,415,396,21824,1669,4862,8511,6091,4882
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,OVERALL,454464,421954,21481,6985,1434,145,2465,437547,12873,165690,152721,70530,65523
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,RURAL,339865,327965,3763,5428,731,107,1871,328637,8519,139544,109582,47185,43554
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,URBAN,114599,93989,17718,1557,703,38,594,108910,4354,26146,43139,23345,21969
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,OVERALL,177702,158130,15065,2102,1340,84,981,169638,5659,51656,57738,32610,35698
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,RURAL,104002,99832,1426,1367,679,62,636,99894,2731,36788,31245,16458,19511
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,URBAN,73700,58298,13639,735,661,22,345,69744,2928,14868,26493,16152,16187
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,OVERALL,41138,40765,109,139,11,1,113,40003,1010,21619,11761,4636,3122
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,RURAL,41138,40765,109,139,11,1,113,40003,1010,21619,11761,4636,3122
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,URBAN,,,,,,,,,,,,,
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,OVERALL,114956,109741,2240,2286,28,15,646,110883,3384,49324,36704,15349,13579
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,RURAL,99653,95677,1315,2030,16,11,604,96219,2803,44294,31002,12974,11383
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,URBAN,15303,14064,925,256,12,4,42,14664,581,5030,5702,2375,2196
TAUNSA,DERA GHAZI KHAN,TEHSIL,OVERALL,120668,113318,4067,2458,55,45,725,117023,2820,43091,46518,17935,13124
TAUNSA,DERA GHAZI KHAN,TEHSIL,RURAL,95072,91691,913,1892,25,33,518,92521,1975,36843,35574,13117,9538
TAUNSA,DERA GHAZI KHAN,TEHSIL,URBAN,25596,21627,3154,566,30,12,207,24502,845,6248,10944,4818,3586
