name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
SUKKUR,DIVISION,,RURAL,UN-INHABITED,3,,,,,Rural Localities
BADIN,DISTRICT,BADIN,RURAL,OVERALL,465,1517232,790028,727169,35,Rural Localities
BADIN,DISTRICT,BADIN,RURAL,"5,000 AND ABOVE",68,455140,237284,217847,9,Rural Localities
BADIN,DISTRICT,BADIN,RURAL,"2,000 -- 4,999",287,912910,474872,438014,24,Rural Localities
BADIN,DISTRICT,BADIN,RURAL,"1,000 -- 1,999",91,138011,71987,66023,1,Rural Localities
BADIN,DISTRICT,BADIN,RURAL,500 -- 999,12,9493,4991,4501,1,Rural Localities
BADIN,DISTRICT,BADIN,RURAL,200 -- 499,5,1485,802,683,,Rural Localities
BADIN,DISTRICT,BADIN,RURAL,LESS THAN 200,1,193,92,101,,Rural Localities
BADIN,DISTRICT,BADIN,RURAL,UN-INHABITED,1,,,,,Rural Localities
BADIN,TALUKA,BADIN,RURAL,OVERALL,128,347824,181875,165941,8,Rural Localities
BADIN,TALUKA,BADIN,RURAL,"5,000 AND ABOVE",11,75687,39786,35899,2,Rural Localities
BADIN,TALUKA,BADIN,RURAL,"2,000 -- 4,999",70,210879,110102,100772,5,Rural Localities
BADIN,TALUKA,BADIN,RURAL,"1,000 -- 1,999",36,54910,28695,26215,,Rural Localities
BADIN,TALUKA,BADIN,RURAL,500 -- 999,6,5141,2673,2467,1,Rural Localities
BADIN,TALUKA,BADIN,RURAL,200 -- 499,3,1014,527,487,,Rural Localities
BADIN,TALUKA,BADIN,RURAL,LESS THAN 200,1,193,92,101,,Rural Localities
BADIN,TALUKA,BADIN,RURAL,UN-INHABITED,1,,,,,Rural Localities
GOLARCHI (S.F.RAHU),TALUKA,BADIN,RURAL,OVERALL,92,317766,166140,151625,1,Rural Localities
GOLARCHI (S.F.RAHU),TALUKA,BADIN,RURAL,"5,000 AND ABOVE",14,110059,57541,52518,,Rural Localities
GOLARCHI (S.F.RAHU),TALUKA,BADIN,RURAL,"2,000 -- 4,999",56,177462,92540,84921,1,Rural Localities
GOLARCHI (S.F.RAHU),TALUKA,BADIN,RURAL,"1,000 -- 1,999",18,28505,15140,13365,,Rural Localities
GOLARCHI (S.F.RAHU),TALUKA,BADIN,RURAL,500 -- 999,2,1269,644,625,,Rural Localities
GOLARCHI (S.F.RAHU),TALUKA,BADIN,RURAL,200 -- 499,2,471,275,196,,Rural Localities
GOLARCHI (S.F.RAHU),TALUKA,BADIN,RURAL,LESS THAN 200,,,,,,Rural Localities
GOLARCHI (S.F.RAHU),TALUKA,BADIN,RURAL,UN-INHABITED,,,,,,Rural Localities
MATLI,TALUKA,BADIN,RURAL,OVERALL,92,359737,186676,173049,12,Rural Localities
MATLI,TALUKA,BADIN,RURAL,"5,000 AND ABOVE",26,160196,83171,77019,6,Rural Localities
MATLI,TALUKA,BADIN,RURAL,"2,000 -- 4,999",57,187608,97341,90261,6,Rural Localities
MATLI,TALUKA,BADIN,RURAL,"1,000 -- 1,999",8,11149,5742,5407,,Rural Localities
MATLI,TALUKA,BADIN,RURAL,500 -- 999,1,784,422,362,,Rural Localities
MATLI,TALUKA,BADIN,RURAL,200 -- 499,,,,,,Rural Localities
MATLI,TALUKA,BADIN,RURAL,LESS THAN 200,,,,,,Rural Localities
MATLI,TALUKA,BADIN,RURAL,UN-INHABITED,,,,,,Rural Localities
TALHAR,TALUKA,BADIN,RURAL,OVERALL,48,135462,69857,65601,4,Rural Localities
TALHAR,TALUKA,BADIN,RURAL,"5,000 AND ABOVE",3,16533,8446,8087,,Rural Localities
TALHAR,TALUKA,BADIN,RURAL,"2,000 -- 4,999",30,98399,50854,47542,3,Rural Localities
TALHAR,TALUKA,BADIN,RURAL,"1,000 -- 1,999",13,19190,9820,9369,1,Rural Localities
TALHAR,TALUKA,BADIN,RURAL,500 -- 999,2,1340,737,603,,Rural Localities
TALHAR,TALUKA,BADIN,RURAL,200 -- 499,,,,,,Rural Localities
TALHAR,TALUKA,BADIN,RURAL,LESS THAN 200,,,,,,Rural Localities
TALHAR,TALUKA,BADIN,RURAL,UN-INHABITED,,,,,,Rural Localities
TANDO BAGO,TALUKA,BADIN,RURAL,OVERALL,105,356443,185480,170953,10,Rural Localities
TANDO BAGO,TALUKA,BADIN,RURAL,"5,000 AND ABOVE",14,92665,48340,44324,1,Rural Localities
TANDO BAGO,TALUKA,BADIN,RURAL,"2,000 -- 4,999",74,238562,124035,114518,9,Rural Localities
TANDO BAGO,TALUKA,BADIN,RURAL,"1,000 -- 1,999",16,24257,12590,11667,,Rural Localities
TANDO BAGO,TALUKA,BADIN,RURAL,500 -- 999,1,959,515,444,,Rural Localities
TANDO BAGO,TALUKA,BADIN,RURAL,200 -- 499,,,,,,Rural Localities
TANDO BAGO,TALUKA,BADIN,RURAL,LESS THAN 200,,,,,,Rural Localities
TANDO BAGO,TALUKA,BADIN,RURAL,UN-INHABITED,,,,,,Rural Localities
DADU,DISTRICT,DADU,RURAL,OVERALL,353,1303286,662867,640382,37,Rural Localities
DADU,DISTRICT,DADU,RURAL,"5,000 AND ABOVE",103,813116,411973,401111,32,Rural Localities
DADU,DISTRICT,DADU,RURAL,"2,000 -- 4,999",110,373101,190559,182539,3,Rural Localities
DADU,DISTRICT,DADU,RURAL,"1,000 -- 1,999",47,68206,35120,33085,1,Rural Localities
DADU,DISTRICT,DADU,RURAL,500 -- 999,46,36022,18470,17552,,Rural Localities
DADU,DISTRICT,DADU,RURAL,200 -- 499,31,11148,5802,5346,,Rural Localities
DADU,DISTRICT,DADU,RURAL,LESS THAN 200,16,1693,943,749,1,Rural Localities
DADU,DISTRICT,DADU,RURAL,UN-INHABITED,,,,,,Rural Localities
DADU,TALUKA,DADU,RURAL,OVERALL,68,307590,156218,151366,6,Rural Localities
DADU,TALUKA,DADU,RURAL,"5,000 AND ABOVE",31,242717,122948,119763,6,Rural Localities
DADU,TALUKA,DADU,RURAL,"2,000 -- 4,999",13,42731,21777,20954,,Rural Localities
DADU,TALUKA,DADU,RURAL,"1,000 -- 1,999",10,14753,7703,7050,,Rural Localities
DADU,TALUKA,DADU,RURAL,500 -- 999,7,5812,3013,2799,,Rural Localities
DADU,TALUKA,DADU,RURAL,200 -- 499,4,1319,646,673,,Rural Localities
DADU,TALUKA,DADU,RURAL,LESS THAN 200,3,258,131,127,,Rural Localities
DADU,TALUKA,DADU,RURAL,UN-INHABITED,,,,,,Rural Localities
JOHI,TALUKA,DADU,RURAL,OVERALL,110,293093,149667,143419,7,Rural Localities
JOHI,TALUKA,DADU,RURAL,"5,000 AND ABOVE",19,137029,69659,67366,4,Rural Localities
JOHI,TALUKA,DADU,RURAL,"2,000 -- 4,999",35,110756,56673,54082,1,Rural Localities
JOHI,TALUKA,DADU,RURAL,"1,000 -- 1,999",20,28392,14615,13776,1,Rural Localities
JOHI,TALUKA,DADU,RURAL,500 -- 999,15,11230,5761,5469,,Rural Localities
JOHI,TALUKA,DADU,RURAL,200 -- 499,13,4948,2535,2413,,Rural Localities
JOHI,TALUKA,DADU,RURAL,LESS THAN 200,8,738,424,313,1,Rural Localities
JOHI,TALUKA,DADU,RURAL,UN-INHABITED,,,,,,Rural Localities
KHAIRPUR NATHAN SHAH,TALUKA,DADU,RURAL,OVERALL,94,296429,150265,146148,16,Rural Localities
KHAIRPUR NATHAN SHAH,TALUKA,DADU,RURAL,"5,000 AND ABOVE",19,136180,68578,67588,14,Rural Localities
KHAIRPUR NATHAN SHAH,TALUKA,DADU,RURAL,"2,000 -- 4,999",34,126527,64398,62127,2,Rural Localities
KHAIRPUR NATHAN SHAH,TALUKA,DADU,RURAL,"1,000 -- 1,999",12,18384,9321,9063,,Rural Localities
KHAIRPUR NATHAN SHAH,TALUKA,DADU,RURAL,500 -- 999,14,11262,5746,5516,,Rural Localities
KHAIRPUR NATHAN SHAH,TALUKA,DADU,RURAL,200 -- 499,10,3379,1834,1545,,Rural Localities
KHAIRPUR NATHAN SHAH,TALUKA,DADU,RURAL,LESS THAN 200,5,697,388,309,,Rural Localities
KHAIRPUR NATHAN SHAH,TALUKA,DADU,RURAL,UN-INHABITED,,,,,,Rural Localities
MEHAR,TALUKA,DADU,RURAL,OVERALL,81,406174,206717,199449,8,Rural Localities
MEHAR,TALUKA,DADU,RURAL,"5,000 AND ABOVE",34,297190,150788,146394,8,Rural Localities
MEHAR,TALUKA,DADU,RURAL,"2,000 -- 4,999",28,93087,47711,45376,,Rural Localities
MEHAR,TALUKA,DADU,RURAL,"1,000 -- 1,999",5,6677,3481,3196,,Rural Localities
MEHAR,TALUKA,DADU,RURAL,500 -- 999,10,7718,3950,3768,,Rural Localities
MEHAR,TALUKA,DADU,RURAL,200 -- 499,4,1502,787,715,,Rural Localities
MEHAR,TALUKA,DADU,RURAL,LESS THAN 200,,,,,,Rural Localities
MEHAR,TALUKA,DADU,RURAL,UN-INHABITED,,,,,,Rural Localities
GHOTKI,DISTRICT,GHOTKI,RURAL,OVERALL,274,1393227,723551,669653,23,Rural Localities
GHOTKI,DISTRICT,GHOTKI,RURAL,"5,000 AND ABOVE",111,907278,471426,435834,18,Rural Localities
GHOTKI,DISTRICT,GHOTKI,RURAL,"2,000 -- 4,999",127,437954,227194,210755,5,Rural Localities
GHOTKI,DISTRICT,GHOTKI,RURAL,"1,000 -- 1,999",28,41924,21801,20123,,Rural Localities
GHOTKI,DISTRICT,GHOTKI,RURAL,500 -- 999,7,5743,2962,2781,,Rural Localities
GHOTKI,DISTRICT,GHOTKI,RURAL,200 -- 499,1,328,168,160,,Rural Localities
GHOTKI,DISTRICT,GHOTKI,RURAL,LESS THAN 200,,,,,,Rural Localities
GHOTKI,DISTRICT,GHOTKI,RURAL,UN-INHABITED,,,,,,Rural Localities
DAHARKI,TALUKA,GHOTKI,RURAL,OVERALL,46,244968,127570,117395,3,Rural Localities
DAHARKI,TALUKA,GHOTKI,RURAL,"5,000 AND ABOVE",19,156286,81081,75203,2,Rural Localities
DAHARKI,TALUKA,GHOTKI,RURAL,"2,000 -- 4,999",25,86436,45290,41145,1,Rural Localities
DAHARKI,TALUKA,GHOTKI,RURAL,"1,000 -- 1,999",1,1385,719,666,,Rural Localities
DAHARKI,TALUKA,GHOTKI,RURAL,500 -- 999,1,861,480,381,,Rural Localities
DAHARKI,TALUKA,GHOTKI,RURAL,200 -- 499,,,,,,Rural Localities
DAHARKI,TALUKA,GHOTKI,RURAL,LESS THAN 200,,,,,,Rural Localities
DAHARKI,TALUKA,GHOTKI,RURAL,UN-INHABITED,,,,,,Rural Localities
GHOTKI,TALUKA,GHOTKI,RURAL,OVERALL,75,410014,213036,196973,5,Rural Localities
GHOTKI,TALUKA,GHOTKI,RURAL,"5,000 AND ABOVE",37,309692,160992,148695,5,Rural Localities
GHOTKI,TALUKA,GHOTKI,RURAL,"2,000 -- 4,999",25,83198,43093,40105,,Rural Localities
GHOTKI,TALUKA,GHOTKI,RURAL,"1,000 -- 1,999",10,15251,7980,7271,,Rural Localities
GHOTKI,TALUKA,GHOTKI,RURAL,500 -- 999,2,1545,803,742,,Rural Localities
GHOTKI,TALUKA,GHOTKI,RURAL,200 -- 499,1,328,168,160,,Rural Localities
GHOTKI,TALUKA,GHOTKI,RURAL,LESS THAN 200,,,,,,Rural Localities
GHOTKI,TALUKA,GHOTKI,RURAL,UN-INHABITED,,,,,,Rural Localities
KHANGARH,TALUKA,GHOTKI,RURAL,OVERALL,35,129670,67418,62251,1,Rural Localities
KHANGARH,TALUKA,GHOTKI,RURAL,"5,000 AND ABOVE",5,44779,23416,21363,,Rural Localities
KHANGARH,TALUKA,GHOTKI,RURAL,"2,000 -- 4,999",23,75145,39024,36120,1,Rural Localities
KHANGARH,TALUKA,GHOTKI,RURAL,"1,000 -- 1,999",6,8860,4538,4322,,Rural Localities
KHANGARH,TALUKA,GHOTKI,RURAL,500 -- 999,1,886,440,446,,Rural Localities
