name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
BADIN,DISTRICT,SON/DAUGHTER,NEVER MARRIED,83020,131283,11,58992,96575,11,24028,34708,0
BADIN,DISTRICT,SON/DAUGHTER,SEPARATION,231,82,0,147,53,0,84,29,0
BADIN,DISTRICT,SON/DAUGHTER,WIDOWED,477,223,0,354,169,0,123,54,0
BADIN,DISTRICT,SPOUSE,DIVORCED,0,0,,0,0,,0,0,
BADIN,DISTRICT,SPOUSE,MARRIED,367595,1207,,289263,975,,78332,232,
BADIN,DISTRICT,SPOUSE,NEVER MARRIED,0,1,,0,1,,0,0,
BADIN,DISTRICT,SPOUSE,SEPARATION,0,0,,0,0,,0,0,
BADIN,DISTRICT,SPOUSE,WIDOWED,0,0,,0,0,,0,0,
DADU,DISTRICT,BROTHER/SISTER,DIVORCED,165,30,0,93,16,0,72,14,0
DADU,DISTRICT,BROTHER/SISTER,MARRIED,851,4837,0,495,3197,0,356,1640,0
DADU,DISTRICT,BROTHER/SISTER,NEVER MARRIED,9454,10991,6,5527,6713,1,3927,4278,5
DADU,DISTRICT,BROTHER/SISTER,SEPARATION,106,23,0,78,15,0,28,8,0
DADU,DISTRICT,BROTHER/SISTER,WIDOWED,800,213,0,508,130,0,292,83,0
DADU,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,DIVORCED,0,0,,0,0,,0,0,
DADU,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,MARRIED,9151,788,,6134,461,,3017,327,
DADU,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,NEVER MARRIED,0,0,,0,0,,0,0,
DADU,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,SEPARATION,0,0,,0,0,,0,0,
DADU,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,WIDOWED,223,16,,165,12,,58,4,
DADU,DISTRICT,FATHER/MOTHER,DIVORCED,36,8,,20,5,,16,3,
DADU,DISTRICT,FATHER/MOTHER,MARRIED,4407,1790,,2884,1162,,1523,628,
DADU,DISTRICT,FATHER/MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
DADU,DISTRICT,FATHER/MOTHER,SEPARATION,113,11,,87,8,,26,3,
DADU,DISTRICT,FATHER/MOTHER,WIDOWED,12607,829,,8383,496,,4224,333,
DADU,DISTRICT,GRAND FATHER/GRAND MOTHER,DIVORCED,0,1,,0,0,,0,1,
DADU,DISTRICT,GRAND FATHER/GRAND MOTHER,MARRIED,109,67,,78,48,,31,19,
DADU,DISTRICT,GRAND FATHER/GRAND MOTHER,NEVER MARRIED,0,1,,0,0,,0,1,
DADU,DISTRICT,GRAND FATHER/GRAND MOTHER,SEPARATION,2,2,,2,2,,0,0,
DADU,DISTRICT,GRAND FATHER/GRAND MOTHER,WIDOWED,548,70,,402,41,,146,29,
DADU,DISTRICT,GRAND SON/GRAND DAUGHTER,DIVORCED,4,0,0,4,0,0,0,0,0
DADU,DISTRICT,GRAND SON/GRAND DAUGHTER,MARRIED,119,174,0,87,121,0,32,53,0
DADU,DISTRICT,GRAND SON/GRAND DAUGHTER,NEVER MARRIED,925,1218,1,580,833,1,345,385,0
DADU,DISTRICT,GRAND SON/GRAND DAUGHTER,SEPARATION,1,0,0,1,0,0,0,0,0
DADU,DISTRICT,GRAND SON/GRAND DAUGHTER,WIDOWED,3,2,0,3,2,0,0,0,0
DADU,DISTRICT,HEAD,DIVORCED,168,274,0,110,172,0,58,102,0
DADU,DISTRICT,HEAD,MARRIED,4488,308024,0,3337,232251,0,1151,75773,0
DADU,DISTRICT,HEAD,NEVER MARRIED,216,8224,43,157,5922,15,59,2302,28
DADU,DISTRICT,HEAD,SEPARATION,196,367,0,155,295,0,41,72,0
DADU,DISTRICT,HEAD,WIDOWED,12471,5840,0,9618,4445,0,2853,1395,0
DADU,DISTRICT,NEPHEW/NIECE,DIVORCED,5,1,0,2,1,0,3,0,0
DADU,DISTRICT,NEPHEW/NIECE,MARRIED,286,570,0,223,411,0,63,159,0
DADU,DISTRICT,NEPHEW/NIECE,NEVER MARRIED,1065,1436,2,643,912,0,422,524,2
DADU,DISTRICT,NEPHEW/NIECE,SEPARATION,3,1,0,3,0,0,0,1,0
DADU,DISTRICT,NEPHEW/NIECE,WIDOWED,35,6,0,21,6,0,14,0,0
DADU,DISTRICT,NON-RELATIVE,DIVORCED,1,2,0,0,1,0,1,1,0
DADU,DISTRICT,NON-RELATIVE,MARRIED,301,368,0,269,316,0,32,52,0
DADU,DISTRICT,NON-RELATIVE,NEVER MARRIED,144,512,11,115,348,5,29,164,6
DADU,DISTRICT,NON-RELATIVE,SEPARATION,2,8,0,2,8,0,0,0,0
DADU,DISTRICT,NON-RELATIVE,WIDOWED,27,27,0,22,23,0,5,4,0
DADU,DISTRICT,OTHER RELATIVE,DIVORCED,32,11,0,22,1,0,10,10,0
DADU,DISTRICT,OTHER RELATIVE,MARRIED,2956,1687,0,2132,1285,0,824,402,0
DADU,DISTRICT,OTHER RELATIVE,NEVER MARRIED,1159,1402,7,768,912,4,391,490,3
DADU,DISTRICT,OTHER RELATIVE,SEPARATION,43,15,0,29,10,0,14,5,0
DADU,DISTRICT,OTHER RELATIVE,WIDOWED,1069,177,0,702,107,0,367,70,0
DADU,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,DIVORCED,8,1,0,6,1,0,2,0,0
DADU,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,MARRIED,3595,170,0,2393,101,0,1202,69,0
DADU,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,NEVER MARRIED,244,104,0,155,61,0,89,43,0
DADU,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,SEPARATION,8,1,0,7,1,0,1,0,0
DADU,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,WIDOWED,350,10,0,219,4,0,131,6,0
DADU,DISTRICT,SON/DAUGHTER,DIVORCED,290,79,0,188,49,0,102,30,0
DADU,DISTRICT,SON/DAUGHTER,MARRIED,2736,13473,0,1886,9349,0,850,4124,0
DADU,DISTRICT,SON/DAUGHTER,NEVER MARRIED,103302,135596,10,71634,97718,6,31668,37878,4
DADU,DISTRICT,SON/DAUGHTER,SEPARATION,164,52,0,125,39,0,39,13,0
DADU,DISTRICT,SON/DAUGHTER,WIDOWED,474,170,0,320,117,0,154,53,0
DADU,DISTRICT,SPOUSE,DIVORCED,0,0,,0,0,,0,0,
DADU,DISTRICT,SPOUSE,MARRIED,306894,1461,,231564,1155,,75330,306,
DADU,DISTRICT,SPOUSE,NEVER MARRIED,2,0,,2,0,,0,0,
DADU,DISTRICT,SPOUSE,SEPARATION,0,0,,0,0,,0,0,
DADU,DISTRICT,SPOUSE,WIDOWED,0,0,,0,0,,0,0,
GHOTKI,DISTRICT,BROTHER/SISTER,DIVORCED,239,50,0,144,25,0,95,25,0
GHOTKI,DISTRICT,BROTHER/SISTER,MARRIED,850,6459,0,511,4012,0,339,2447,0
GHOTKI,DISTRICT,BROTHER/SISTER,NEVER MARRIED,8819,15642,1,5926,11115,0,2893,4527,1
GHOTKI,DISTRICT,BROTHER/SISTER,SEPARATION,90,26,0,57,13,0,33,13,0
GHOTKI,DISTRICT,BROTHER/SISTER,WIDOWED,779,228,0,577,166,0,202,62,0
GHOTKI,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,DIVORCED,0,0,,0,0,,0,0,
GHOTKI,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,MARRIED,16179,725,,10901,465,,5278,260,
GHOTKI,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,NEVER MARRIED,0,0,,0,0,,0,0,
GHOTKI,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,SEPARATION,0,0,,0,0,,0,0,
GHOTKI,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,WIDOWED,284,14,,220,13,,64,1,
GHOTKI,DISTRICT,FATHER/MOTHER,DIVORCED,83,4,,59,3,,24,1,
GHOTKI,DISTRICT,FATHER/MOTHER,MARRIED,5381,2332,,3809,1590,,1572,742,
GHOTKI,DISTRICT,FATHER/MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
GHOTKI,DISTRICT,FATHER/MOTHER,SEPARATION,98,14,,72,12,,26,2,
GHOTKI,DISTRICT,FATHER/MOTHER,WIDOWED,18983,1448,,14142,1078,,4841,370,
GHOTKI,DISTRICT,GRAND FATHER/GRAND MOTHER,DIVORCED,2,0,,0,0,,2,0,
GHOTKI,DISTRICT,GRAND FATHER/GRAND MOTHER,MARRIED,129,75,,94,57,,35,18,
GHOTKI,DISTRICT,GRAND FATHER/GRAND MOTHER,NEVER MARRIED,0,2,,0,2,,0,0,
GHOTKI,DISTRICT,GRAND FATHER/GRAND MOTHER,SEPARATION,2,2,,0,2,,2,0,
GHOTKI,DISTRICT,GRAND FATHER/GRAND MOTHER,WIDOWED,610,70,,492,50,,118,20,
GHOTKI,DISTRICT,GRAND SON/GRAND DAUGHTER,DIVORCED,1,0,0,1,0,0,0,0,0
GHOTKI,DISTRICT,GRAND SON/GRAND DAUGHTER,MARRIED,109,220,0,77,168,0,32,52,0
GHOTKI,DISTRICT,GRAND SON/GRAND DAUGHTER,NEVER MARRIED,1039,1338,0,652,895,0,387,443,0
GHOTKI,DISTRICT,GRAND SON/GRAND DAUGHTER,SEPARATION,0,0,0,0,0,0,0,0,0
GHOTKI,DISTRICT,GRAND SON/GRAND DAUGHTER,WIDOWED,1,3,0,0,3,0,1,0,0
GHOTKI,DISTRICT,HEAD,DIVORCED,83,218,0,53,136,0,30,82,0
GHOTKI,DISTRICT,HEAD,MARRIED,2281,311154,0,1714,246369,0,567,64785,0
GHOTKI,DISTRICT,HEAD,NEVER MARRIED,101,6736,16,78,4917,4,23,1819,12
GHOTKI,DISTRICT,HEAD,SEPARATION,57,196,0,44,157,0,13,39,0
GHOTKI,DISTRICT,HEAD,WIDOWED,5206,4653,0,4002,3727,0,1204,926,0
GHOTKI,DISTRICT,NEPHEW/NIECE,DIVORCED,3,3,0,3,1,0,0,2,0
GHOTKI,DISTRICT,NEPHEW/NIECE,MARRIED,244,668,0,191,479,0,53,189,0
GHOTKI,DISTRICT,NEPHEW/NIECE,NEVER MARRIED,1092,1831,1,637,1156,0,455,675,1
GHOTKI,DISTRICT,NEPHEW/NIECE,SEPARATION,1,0,0,0,0,0,1,0,0
GHOTKI,DISTRICT,NEPHEW/NIECE,WIDOWED,24,5,0,20,2,0,4,3,0
GHOTKI,DISTRICT,NON-RELATIVE,DIVORCED,1,0,0,0,0,0,1,0,0
GHOTKI,DISTRICT,NON-RELATIVE,MARRIED,180,244,0,118,162,0,62,82,0
GHOTKI,DISTRICT,NON-RELATIVE,NEVER MARRIED,62,199,5,38,120,1,24,79,4
GHOTKI,DISTRICT,NON-RELATIVE,SEPARATION,1,1,0,1,0,0,0,1,0
GHOTKI,DISTRICT,NON-RELATIVE,WIDOWED,34,25,0,18,17,0,16,8,0
GHOTKI,DISTRICT,OTHER RELATIVE,DIVORCED,35,9,0,26,5,0,9,4,0
GHOTKI,DISTRICT,OTHER RELATIVE,MARRIED,2077,1171,0,1282,772,0,795,399,0
GHOTKI,DISTRICT,OTHER RELATIVE,NEVER MARRIED,700,965,5,442,632,2,258,333,3
GHOTKI,DISTRICT,OTHER RELATIVE,SEPARATION,22,5,0,16,3,0,6,2,0
GHOTKI,DISTRICT,OTHER RELATIVE,WIDOWED,989,118,0,730,83,0,259,35,0
GHOTKI,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,DIVORCED,1,0,0,1,0,0,0,0,0
GHOTKI,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,MARRIED,5121,176,0,3315,94,0,1806,82,0
GHOTKI,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,NEVER MARRIED,317,67,0,242,37,0,75,30,0
GHOTKI,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,SEPARATION,3,0,0,3,0,0,0,0,0
GHOTKI,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,WIDOWED,520,14,0,377,10,0,143,4,0
GHOTKI,DISTRICT,SON/DAUGHTER,DIVORCED,367,86,0,232,44,0,135,42,0
GHOTKI,DISTRICT,SON/DAUGHTER,MARRIED,2332,19596,0,1667,13294,0,665,6302,0
GHOTKI,DISTRICT,SON/DAUGHTER,NEVER MARRIED,81807,130379,14,58289,97064,11,23518,33315,3
GHOTKI,DISTRICT,SON/DAUGHTER,SEPARATION,105,46,0,64,34,0,41,12,0
GHOTKI,DISTRICT,SON/DAUGHTER,WIDOWED,443,218,0,359,160,0,84,58,0
GHOTKI,DISTRICT,SPOUSE,DIVORCED,0,0,,0,0,,0,0,
GHOTKI,DISTRICT,SPOUSE,MARRIED,315876,811,,251055,590,,64821,221,
GHOTKI,DISTRICT,SPOUSE,NEVER MARRIED,0,0,,0,0,,0,0,
GHOTKI,DISTRICT,SPOUSE,SEPARATION,0,0,,0,0,,0,0,
GHOTKI,DISTRICT,SPOUSE,WIDOWED,0,0,,0,0,,0,0,
HYDERABAD,DISTRICT,BROTHER/SISTER,DIVORCED,936,319,0,69,26,0,867,293,0
HYDERABAD,DISTRICT,BROTHER/SISTER,MARRIED,2798,19677,0,403,2537,0,2395,17140,0
HYDERABAD,DISTRICT,BROTHER/SISTER,NEVER MARRIED,22522,30248,5,3570,4819,0,18952,25429,5
HYDERABAD,DISTRICT,BROTHER/SISTER,SEPARATION,264,147,0,57,16,0,207,131,0
HYDERABAD,DISTRICT,BROTHER/SISTER,WIDOWED,1757,662,0,282,111,0,1475,551,0
HYDERABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,DIVORCED,0,0,,0,0,,0,0,
HYDERABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,MARRIED,49564,2668,,5642,404,,43922,2264,
HYDERABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,NEVER MARRIED,0,0,,0,0,,0,0,
HYDERABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,SEPARATION,0,0,,0,0,,0,0,
HYDERABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,WIDOWED,454,20,,75,3,,379,17,
HYDERABAD,DISTRICT,FATHER/MOTHER,DIVORCED,161,11,,15,2,,146,9,
HYDERABAD,DISTRICT,FATHER/MOTHER,MARRIED,8476,4422,,1554,817,,6922,3605,
HYDERABAD,DISTRICT,FATHER/MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
HYDERABAD,DISTRICT,FATHER/MOTHER,SEPARATION,117,13,,33,2,,84,11,
HYDERABAD,DISTRICT,FATHER/MOTHER,WIDOWED,23560,1943,,4433,356,,19127,1587,
HYDERABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,DIVORCED,1,0,,1,0,,0,0,
HYDERABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,MARRIED,158,170,,42,32,,116,138,
HYDERABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,NEVER MARRIED,0,9,,0,0,,0,9,
HYDERABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,SEPARATION,1,2,,1,0,,0,2,
HYDERABAD,DISTRICT,GRAND FATHER/GRAND MOTHER,WIDOWED,410,84,,98,19,,312,65,
HYDERABAD,DISTRICT,GRAND SON/GRAND DAUGHTER,DIVORCED,4,2,0,0,0,0,4,2,0
HYDERABAD,DISTRICT,GRAND SON/GRAND DAUGHTER,MARRIED,224,502,0,31,67,0,193,435,0
HYDERABAD,DISTRICT,GRAND SON/GRAND DAUGHTER,NEVER MARRIED,3665,4950,0,349,509,0,3316,4441,0
HYDERABAD,DISTRICT,GRAND SON/GRAND DAUGHTER,SEPARATION,1,2,0,1,0,0,0,2,0
HYDERABAD,DISTRICT,GRAND SON/GRAND DAUGHTER,WIDOWED,5,2,0,1,0,0,4,2,0
HYDERABAD,DISTRICT,HEAD,DIVORCED,605,1205,0,35,128,0,570,1077,0
HYDERABAD,DISTRICT,HEAD,MARRIED,4644,391197,0,379,68386,0,4265,322811,0
HYDERABAD,DISTRICT,HEAD,NEVER MARRIED,1008,20468,83,57,2832,0,951,17636,83
HYDERABAD,DISTRICT,HEAD,SEPARATION,255,693,0,32,105,0,223,588,0
HYDERABAD,DISTRICT,HEAD,WIDOWED,16350,11489,0,1676,1770,0,14674,9719,0
HYDERABAD,DISTRICT,NEPHEW/NIECE,DIVORCED,28,12,0,9,3,0,19,9,0
HYDERABAD,DISTRICT,NEPHEW/NIECE,MARRIED,308,1319,0,53,249,0,255,1070,0
HYDERABAD,DISTRICT,NEPHEW/NIECE,NEVER MARRIED,4244,6404,1,565,804,0,3679,5600,1
HYDERABAD,DISTRICT,NEPHEW/NIECE,SEPARATION,6,4,0,0,0,0,6,4,0
HYDERABAD,DISTRICT,NEPHEW/NIECE,WIDOWED,25,24,0,3,3,0,22,21,0
HYDERABAD,DISTRICT,NON-RELATIVE,DIVORCED,37,49,0,0,0,0,37,49,0
HYDERABAD,DISTRICT,NON-RELATIVE,MARRIED,1041,4654,0,128,214,0,913,4440,0
HYDERABAD,DISTRICT,NON-RELATIVE,NEVER MARRIED,974,7435,40,89,196,1,885,7239,39
HYDERABAD,DISTRICT,NON-RELATIVE,SEPARATION,21,64,0,2,5,0,19,59,0
HYDERABAD,DISTRICT,NON-RELATIVE,WIDOWED,325,243,0,18,6,0,307,237,0
HYDERABAD,DISTRICT,OTHER RELATIVE,DIVORCED,138,68,0,19,5,0,119,63,0
HYDERABAD,DISTRICT,OTHER RELATIVE,MARRIED,4530,4602,0,934,818,0,3596,3784,0
HYDERABAD,DISTRICT,OTHER RELATIVE,NEVER MARRIED,3957,8360,15,683,989,1,3274,7371,14
HYDERABAD,DISTRICT,OTHER RELATIVE,SEPARATION,97,58,0,19,11,0,78,47,0
HYDERABAD,DISTRICT,OTHER RELATIVE,WIDOWED,1819,500,0,333,75,0,1486,425,0
HYDERABAD,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,DIVORCED,29,6,0,3,0,0,26,6,0
HYDERABAD,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,MARRIED,14510,563,0,2117,72,0,12393,491,0
