name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
PIR KOH,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,
QADIRABAD,DERA BUGTI,SUB-DIVISION,OVERALL,3811,,,,2478,457,7,820,49
QADIRABAD,DERA BUGTI,SUB-DIVISION,RURAL,3811,,,,2478,457,7,820,49
QADIRABAD,DERA BUGTI,SUB-DIVISION,URBAN,,,,,,,,,
SANGSILLAH,DERA BUGTI,SUB-TEHSIL,OVERALL,2070,,,,1731,277,6,30,26
SANGSILLAH,DERA BUGTI,SUB-TEHSIL,RURAL,2070,,,,1731,277,6,30,26
SANGSILLAH,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,
SUI,DERA BUGTI,SUB-DIVISION,OVERALL,18923,3,,1,13251,2853,106,2556,153
SUI,DERA BUGTI,SUB-DIVISION,RURAL,7523,,,,4811,190,37,2417,68
SUI,DERA BUGTI,SUB-DIVISION,URBAN,11400,3,,1,8440,2663,69,139,85
DUKI,DUKI,DISTRICT,OVERALL,35383,1,,4,28143,4309,798,1628,500
DUKI,DUKI,DISTRICT,RURAL,31564,,,3,26123,2780,587,1623,448
DUKI,DUKI,DISTRICT,URBAN,3819,1,,1,2020,1529,211,5,52
DUKI,DUKI,SUB-DIVISION,OVERALL,23979,1,,3,19149,3358,632,476,360
DUKI,DUKI,SUB-DIVISION,RURAL,20160,,,2,17129,1829,421,471,308
DUKI,DUKI,SUB-DIVISION,URBAN,3819,1,,1,2020,1529,211,5,52
LUNI,DUKI,SUB-DIVISION,OVERALL,2549,,,,2304,164,16,35,30
LUNI,DUKI,SUB-DIVISION,RURAL,2549,,,,2304,164,16,35,30
LUNI,DUKI,SUB-DIVISION,URBAN,,,,,,,,,
TALAO,DUKI,SUB-TEHSIL,OVERALL,3635,,,1,2646,260,124,543,61
TALAO,DUKI,SUB-TEHSIL,RURAL,3635,,,1,2646,260,124,543,61
TALAO,DUKI,SUB-TEHSIL,URBAN,,,,,,,,,
THAL CHUTYALI,DUKI,SUB-DIVISION,OVERALL,5220,,,,4044,527,26,574,49
THAL CHUTYALI,DUKI,SUB-DIVISION,RURAL,5220,,,,4044,527,26,574,49
THAL CHUTYALI,DUKI,SUB-DIVISION,URBAN,,,,,,,,,
GWADAR,GWADAR,DISTRICT,OVERALL,45428,7,2,1,38161,5440,770,345,702
GWADAR,GWADAR,DISTRICT,RURAL,23154,6,1,,20670,1871,195,153,258
GWADAR,GWADAR,DISTRICT,URBAN,22274,1,1,1,17491,3569,575,192,444
GWADAR,GWADAR,SUB-DIVISION,OVERALL,18434,1,1,,15167,2300,474,206,285
GWADAR,GWADAR,SUB-DIVISION,RURAL,7883,,1,,6579,1077,95,21,110
GWADAR,GWADAR,SUB-DIVISION,URBAN,10551,1,,,8588,1223,379,185,175
JIWANI,GWADAR,TEHSIL,OVERALL,4402,,1,1,3601,617,44,7,131
JIWANI,GWADAR,TEHSIL,RURAL,1646,,,,1456,138,13,7,32
JIWANI,GWADAR,TEHSIL,URBAN,2756,,1,1,2145,479,31,,99
ORMARA,GWADAR,TEHSIL,OVERALL,5493,,,,4777,520,71,3,122
ORMARA,GWADAR,TEHSIL,RURAL,2306,,,,2120,100,45,,41
ORMARA,GWADAR,TEHSIL,URBAN,3187,,,,2657,420,26,3,81
PASNI,GWADAR,SUB-DIVISION,OVERALL,14642,5,,,12259,1936,158,129,155
PASNI,GWADAR,SUB-DIVISION,RURAL,8862,5,,,8158,489,19,125,66
PASNI,GWADAR,SUB-DIVISION,URBAN,5780,,,,4101,1447,139,4,89
SUNTSER,GWADAR,SUB-TEHSIL,OVERALL,2457,1,,,2357,67,23,,9
SUNTSER,GWADAR,SUB-TEHSIL,RURAL,2457,1,,,2357,67,23,,9
SUNTSER,GWADAR,SUB-TEHSIL,URBAN,,,,,,,,,
HARNAI,HARNAI,DISTRICT,OVERALL,21303,,,,14652,2410,269,3553,419
HARNAI,HARNAI,DISTRICT,RURAL,16095,,,,11380,901,129,3517,168
HARNAI,HARNAI,DISTRICT,URBAN,5208,,,,3272,1509,140,36,251
HARNAI,HARNAI,SUB-DIVISION,OVERALL,14442,,,,8805,1802,145,3405,285
HARNAI,HARNAI,SUB-DIVISION,RURAL,11529,,,,7292,620,83,3399,135
HARNAI,HARNAI,SUB-DIVISION,URBAN,2913,,,,1513,1182,62,6,150
KHOAST,HARNAI,SUB-DIVISION,OVERALL,2588,,,,2262,226,15,55,30
KHOAST,HARNAI,SUB-DIVISION,RURAL,2588,,,,2262,226,15,55,30
KHOAST,HARNAI,SUB-DIVISION,URBAN,,,,,,,,,
SHAHRIG,HARNAI,TEHSIL,OVERALL,4273,,,,3585,382,109,93,104
SHAHRIG,HARNAI,TEHSIL,RURAL,1978,,,,1826,55,31,63,3
SHAHRIG,HARNAI,TEHSIL,URBAN,2295,,,,1759,327,78,30,101
JAFFARABAD,JAFFARABAD,DISTRICT,OVERALL,76296,4,,1,58036,11273,681,5430,871
JAFFARABAD,JAFFARABAD,DISTRICT,RURAL,55700,,,,43245,6445,296,5183,531
JAFFARABAD,JAFFARABAD,DISTRICT,URBAN,20596,4,,1,14791,4828,385,247,340
GANDAKHA,JAFFARABAD,TEHSIL,OVERALL,13196,,,,10825,1153,106,988,124
GANDAKHA,JAFFARABAD,TEHSIL,RURAL,13196,,,,10825,1153,106,988,124
GANDAKHA,JAFFARABAD,TEHSIL,URBAN,,,,,,,,,
JHAT PAT,JAFFARABAD,SUB-DIVISION,OVERALL,33289,,,,26549,5000,208,1218,314
JHAT PAT,JAFFARABAD,SUB-DIVISION,RURAL,22340,,,,18275,2765,74,1094,132
JHAT PAT,JAFFARABAD,SUB-DIVISION,URBAN,10949,,,,8274,2235,134,124,182
USTA MUHAMMAD,JAFFARABAD,SUB-DIVISION,OVERALL,29811,4,,1,20662,5120,367,3224,433
USTA MUHAMMAD,JAFFARABAD,SUB-DIVISION,RURAL,20164,,,,14145,2527,116,3101,275
USTA MUHAMMAD,JAFFARABAD,SUB-DIVISION,URBAN,9647,4,,1,6517,2593,251,123,158
JHAL MAGSI,JHAL MAGSI,DISTRICT,OVERALL,43146,6,,1,35851,2797,141,4071,279
JHAL MAGSI,JHAL MAGSI,DISTRICT,RURAL,38516,,,1,32133,2052,125,4003,202
JHAL MAGSI,JHAL MAGSI,DISTRICT,URBAN,4630,6,,,3718,745,16,68,77
GANDAWA,JHAL MAGSI,TEHSIL,OVERALL,14414,6,,,12572,1403,45,276,112
GANDAWA,JHAL MAGSI,TEHSIL,RURAL,9784,,,,8854,658,29,208,35
GANDAWA,JHAL MAGSI,TEHSIL,URBAN,4630,6,,,3718,745,16,68,77
JHAL MAGSI,JHAL MAGSI,TEHSIL,OVERALL,24570,,,1,19641,1278,81,3444,125
JHAL MAGSI,JHAL MAGSI,TEHSIL,RURAL,24570,,,1,19641,1278,81,3444,125
JHAL MAGSI,JHAL MAGSI,TEHSIL,URBAN,,,,,,,,,
MIRPUR,JHAL MAGSI,SUB-TEHSIL,OVERALL,4162,,,,3638,116,15,351,42
MIRPUR,JHAL MAGSI,SUB-TEHSIL,RURAL,4162,,,,3638,116,15,351,42
MIRPUR,JHAL MAGSI,SUB-TEHSIL,URBAN,,,,,,,,,
KACHHI,KACHHI,DISTRICT,OVERALL,53678,6,15,4,44912,5428,397,2200,716
KACHHI,KACHHI,DISTRICT,RURAL,43135,2,,1,37301,2889,351,2189,402
KACHHI,KACHHI,DISTRICT,URBAN,10543,4,15,3,7611,2539,46,11,314
BALANARI,KACHHI,SUB-TEHSIL,OVERALL,7817,,,,6587,763,28,401,38
BALANARI,KACHHI,SUB-TEHSIL,RURAL,7817,,,,6587,763,28,401,38
BALANARI,KACHHI,SUB-TEHSIL,URBAN,,,,,,,,,
BHAG,KACHHI,SUB-DIVISION,OVERALL,16090,,,,13670,1562,129,552,177
BHAG,KACHHI,SUB-DIVISION,RURAL,12961,,,,11499,658,119,552,133
BHAG,KACHHI,SUB-DIVISION,URBAN,3129,,,,2171,904,10,,44
DHADAR,KACHHI,SUB-DIVISION,OVERALL,7114,,,,5531,1039,33,404,107
DHADAR,KACHHI,SUB-DIVISION,RURAL,4230,,,,3481,277,30,394,48
DHADAR,KACHHI,SUB-DIVISION,URBAN,2884,,,,2050,762,3,10,59
KHATTAN,KACHHI,SUB-TEHSIL,OVERALL,2265,,,,2047,73,18,94,33
KHATTAN,KACHHI,SUB-TEHSIL,RURAL,2265,,,,2047,73,18,94,33
KHATTAN,KACHHI,SUB-TEHSIL,URBAN,,,,,,,,,
MACH,KACHHI,SUB-DIVISION,OVERALL,10119,5,15,3,7339,1635,125,686,311
MACH,KACHHI,SUB-DIVISION,RURAL,5589,1,,,3949,762,92,685,100
MACH,KACHHI,SUB-DIVISION,URBAN,4530,4,15,3,3390,873,33,1,211
SANNI,KACHHI,SUB-DIVISION,OVERALL,10273,1,,1,9738,356,64,63,50
SANNI,KACHHI,SUB-DIVISION,RURAL,10273,1,,1,9738,356,64,63,50
SANNI,KACHHI,SUB-DIVISION,URBAN,,,,,,,,,
KALAT,KALAT,DISTRICT,OVERALL,52076,,,,36654,5993,400,7761,1268
KALAT,KALAT,DISTRICT,RURAL,42110,,,,30238,3254,343,7492,783
KALAT,KALAT,DISTRICT,URBAN,9966,,,,6416,2739,57,269,485
GAZG,KALAT,SUB-TEHSIL,OVERALL,2316,,,,1306,31,21,923,35
GAZG,KALAT,SUB-TEHSIL,RURAL,2316,,,,1306,31,21,923,35
GAZG,KALAT,SUB-TEHSIL,URBAN,,,,,,,,,
JOHAN,KALAT,SUB-TEHSIL,OVERALL,4560,,,,2858,121,29,1509,43
JOHAN,KALAT,SUB-TEHSIL,RURAL,4560,,,,2858,121,29,1509,43
JOHAN,KALAT,SUB-TEHSIL,URBAN,,,,,,,,,
KALAT,KALAT,SUB-DIVISION,OVERALL,31673,,,,23164,4070,284,3153,1002
KALAT,KALAT,SUB-DIVISION,RURAL,21707,,,,16748,1331,227,2884,517
KALAT,KALAT,SUB-DIVISION,URBAN,9966,,,,6416,2739,57,269,485
MANGOCHAR,KALAT,SUB-DIVISION,OVERALL,13527,,,,9326,1771,66,2176,188
MANGOCHAR,KALAT,SUB-DIVISION,RURAL,13527,,,,9326,1771,66,2176,188
MANGOCHAR,KALAT,SUB-DIVISION,URBAN,,,,,,,,,
KECH,KECH,DISTRICT,OVERALL,144329,3,6,2,130786,6303,713,4955,1561
KECH,KECH,DISTRICT,RURAL,106676,,5,,97453,3258,437,4578,945
KECH,KECH,DISTRICT,URBAN,37653,3,1,2,33333,3045,276,377,616
BALNIGORE,KECH,SUB-TEHSIL,OVERALL,14532,,1,,13523,305,31,426,246
BALNIGORE,KECH,SUB-TEHSIL,RURAL,14532,,1,,13523,305,31,426,246
BALNIGORE,KECH,SUB-TEHSIL,URBAN,,,,,,,,,
BULAIDA,KECH,SUB-DIVISION,OVERALL,13708,,,,11774,494,41,1181,218
BULAIDA,KECH,SUB-DIVISION,RURAL,5736,,,,4793,37,16,850,40
BULAIDA,KECH,SUB-DIVISION,URBAN,7972,,,,6981,457,25,331,178
DASHT,KECH,SUB-DIVISION,OVERALL,20944,,,,17978,342,59,2412,153
DASHT,KECH,SUB-DIVISION,RURAL,20944,,,,17978,342,59,2412,153
DASHT,KECH,SUB-DIVISION,URBAN,,,,,,,,,
HOSHAB,KECH,SUB-TEHSIL,OVERALL,13207,,,,12226,429,50,389,113
HOSHAB,KECH,SUB-TEHSIL,RURAL,13207,,,,12226,429,50,389,113
HOSHAB,KECH,SUB-TEHSIL,URBAN,,,,,,,,,
MAND,KECH,TEHSIL,OVERALL,8663,,,,8144,356,94,11,58
MAND,KECH,TEHSIL,RURAL,8663,,,,8144,356,94,11,58
MAND,KECH,TEHSIL,URBAN,,,,,,,,,
TUMP,KECH,SUB-DIVISION,OVERALL,16782,,,,15986,446,100,141,109
TUMP,KECH,SUB-DIVISION,RURAL,9941,,,,9434,294,43,106,64
TUMP,KECH,SUB-DIVISION,URBAN,6841,,,,6552,152,57,35,45
TURBAT,KECH,SUB-DIVISION,OVERALL,44106,3,5,2,39252,3867,285,89,603
TURBAT,KECH,SUB-DIVISION,RURAL,21266,,4,,19452,1431,91,78,210
TURBAT,KECH,SUB-DIVISION,URBAN,22840,3,1,2,19800,2436,194,11,393
ZAMORAN,KECH,SUB-TEHSIL,OVERALL,12387,,,,11903,64,53,306,61
ZAMORAN,KECH,SUB-TEHSIL,RURAL,12387,,,,11903,64,53,306,61
ZAMORAN,KECH,SUB-TEHSIL,URBAN,,,,,,,,,
KHARAN,KHARAN,DISTRICT,OVERALL,58711,,4,1,51555,5348,482,488,833
KHARAN,KHARAN,DISTRICT,RURAL,43211,,,,40292,1731,201,484,503
KHARAN,KHARAN,DISTRICT,URBAN,15500,,4,1,11263,3617,281,4,330
KHARAN,KHARAN,SUB-DIVISION,OVERALL,20240,,4,1,15748,3812,293,30,352
KHARAN,KHARAN,SUB-DIVISION,RURAL,4740,,,,4485,195,12,26,22
KHARAN,KHARAN,SUB-DIVISION,URBAN,15500,,4,1,11263,3617,281,4,330
PATKAIN,KHARAN,SUB-TEHSIL,OVERALL,5261,,,,4677,464,20,50,50
PATKAIN,KHARAN,SUB-TEHSIL,RURAL,5261,,,,4677,464,20,50,50
PATKAIN,KHARAN,SUB-TEHSIL,URBAN,,,,,,,,,
SAR KHARAN,KHARAN,SUB-DIVISION,OVERALL,19973,,,,18622,687,137,199,328
SAR KHARAN,KHARAN,SUB-DIVISION,RURAL,19973,,,,18622,687,137,199,328
SAR KHARAN,KHARAN,SUB-DIVISION,URBAN,,,,,,,,,
TOHMULK,KHARAN,SUB-TEHSIL,OVERALL,13237,,,,12508,385,32,209,103
TOHMULK,KHARAN,SUB-TEHSIL,RURAL,13237,,,,12508,385,32,209,103
TOHMULK,KHARAN,SUB-TEHSIL,URBAN,,,,,,,,,
KHUZDAR,KHUZDAR,DISTRICT,OVERALL,202493,59,5,5,171624,20751,1395,5090,3564
KHUZDAR,KHUZDAR,DISTRICT,RURAL,144774,2,1,1,128534,9121,945,4760,1410
KHUZDAR,KHUZDAR,DISTRICT,URBAN,57719,57,4,4,43090,11630,450,330,2154
ARANJI,KHUZDAR,SUB-TEHSIL,OVERALL,12763,,,,11570,560,47,485,101
ARANJI,KHUZDAR,SUB-TEHSIL,RURAL,12763,,,,11570,560,47,485,101
ARANJI,KHUZDAR,SUB-TEHSIL,URBAN,,,,,,,,,
GRESHA,KHUZDAR,SUB-TEHSIL,OVERALL,15226,,,,13972,514,81,544,115
GRESHA,KHUZDAR,SUB-TEHSIL,RURAL,15226,,,,13972,514,81,544,115
GRESHA,KHUZDAR,SUB-TEHSIL,URBAN,,,,,,,,,
KARAKH,KHUZDAR,SUB-DIVISION,OVERALL,7259,,,,5826,607,41,710,75
KARAKH,KHUZDAR,SUB-DIVISION,RURAL,7259,,,,5826,607,41,710,75
KARAKH,KHUZDAR,SUB-DIVISION,URBAN,,,,,,,,,
KHUZDAR,KHUZDAR,SUB-DIVISION,OVERALL,66779,57,4,4,53450,10127,639,890,1608
KHUZDAR,KHUZDAR,SUB-DIVISION,RURAL,29774,1,,,25713,2877,295,633,255
KHUZDAR,KHUZDAR,SUB-DIVISION,URBAN,37005,56,4,4,27737,7250,344,257,1353
MOOLA,KHUZDAR,SUB-TEHSIL,OVERALL,4669,1,1,1,3884,239,20,483,40
MOOLA,KHUZDAR,SUB-TEHSIL,RURAL,4669,1,1,1,3884,239,20,483,40
MOOLA,KHUZDAR,SUB-TEHSIL,URBAN,,,,,,,,,
NAL,KHUZDAR,SUB-DIVISION,OVERALL,19762,,,,16259,2555,117,249,582
NAL,KHUZDAR,SUB-DIVISION,RURAL,11588,,,,10450,619,78,242,199
NAL,KHUZDAR,SUB-DIVISION,URBAN,8174,,,,5809,1936,39,7,383
ORNACH,KHUZDAR,SUB-DIVISION,OVERALL,17784,,,,16494,939,65,160,126
ORNACH,KHUZDAR,SUB-DIVISION,RURAL,17784,,,,16494,939,65,160,126
ORNACH,KHUZDAR,SUB-DIVISION,URBAN,,,,,,,,,
SAROONA,KHUZDAR,SUB-TEHSIL,OVERALL,9139,,,,8220,641,60,145,73
SAROONA,KHUZDAR,SUB-TEHSIL,RURAL,9139,,,,8220,641,60,145,73
SAROONA,KHUZDAR,SUB-TEHSIL,URBAN,,,,,,,,,
WADH,KHUZDAR,SUB-DIVISION,OVERALL,31159,,,,27460,2973,151,174,401
WADH,KHUZDAR,SUB-DIVISION,RURAL,24844,,,,22895,1335,133,153,328
WADH,KHUZDAR,SUB-DIVISION,URBAN,6315,,,,4565,1638,18,21,73
ZEHRI,KHUZDAR,SUB-DIVISION,OVERALL,17953,1,,,14489,1596,174,1250,443
ZEHRI,KHUZDAR,SUB-DIVISION,RURAL,11728,,,,9510,790,125,1205,98
ZEHRI,KHUZDAR,SUB-DIVISION,URBAN,6225,1,,,4979,806,49,45,345
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,OVERALL,42955,3,17,1,36972,4679,262,206,815
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,RURAL,39425,3,16,,33844,4384,251,206,721
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,URBAN,3530,,1,1,3128,295,11,,94
DOBANDI,KILLA ABDULLAH,SUB-TEHSIL,OVERALL,6972,,,,6183,585,53,4,147
DOBANDI,KILLA ABDULLAH,SUB-TEHSIL,RURAL,6972,,,,6183,585,53,4,147
DOBANDI,KILLA ABDULLAH,SUB-TEHSIL,URBAN,,,,,,,,,
GULISTAN,KILLA ABDULLAH,SUB-DIVISION,OVERALL,18212,2,1,,15672,1974,116,146,301
GULISTAN,KILLA ABDULLAH,SUB-DIVISION,RURAL,18212,2,1,,15672,1974,116,146,301
GULISTAN,KILLA ABDULLAH,SUB-DIVISION,URBAN,,,,,,,,,
KILLA ABDULLAH,KILLA ABDULLAH,SUB-DIVISION,OVERALL,17771,1,16,1,15117,2120,93,56,367
KILLA ABDULLAH,KILLA ABDULLAH,SUB-DIVISION,RURAL,14241,1,15,,11989,1825,82,56,273
KILLA ABDULLAH,KILLA ABDULLAH,SUB-DIVISION,URBAN,3530,,1,1,3128,295,11,,94
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,OVERALL,57518,,,2,47271,8445,595,508,697
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,RURAL,45889,,,1,39857,4552,438,464,577
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,URBAN,11629,,,1,7414,3893,157,44,120
BADINI,KILLA SAIFULLAH,SUB-TEHSIL,OVERALL,1425,,,,1246,130,10,28,11
BADINI,KILLA SAIFULLAH,SUB-TEHSIL,RURAL,1425,,,,1246,130,10,28,11
BADINI,KILLA SAIFULLAH,SUB-TEHSIL,URBAN,,,,,,,,,
KAN MEHTARZAI,KILLA SAIFULLAH,SUB-TEHSIL,OVERALL,5516,,,,5065,334,77,5,35
KAN MEHTARZAI,KILLA SAIFULLAH,SUB-TEHSIL,RURAL,5516,,,,5065,334,77,5,35
KAN MEHTARZAI,KILLA SAIFULLAH,SUB-TEHSIL,URBAN,,,,,,,,,
KILLA SAIFULLAH,KILLA SAIFULLAH,SUB-DIVISION,OVERALL,24344,,,1,19060,4374,268,405,236
KILLA SAIFULLAH,KILLA SAIFULLAH,SUB-DIVISION,RURAL,16623,,,1,14489,1369,200,396,168
KILLA SAIFULLAH,KILLA SAIFULLAH,SUB-DIVISION,URBAN,7721,,,,4571,3005,68,9,68
LOIBAND,KILLA SAIFULLAH,TEHSIL,OVERALL,4921,,,,4046,688,69,15,103
