name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
KABIRWALA,KHANEWAL,TEHSIL,URBAN,REGULAR,179152,91716,87298,138,27264,99.89
KABIRWALA,KHANEWAL,TEHSIL,URBAN,INSTITUTIONAL,965,656,309,,23,.08
KABIRWALA,KHANEWAL,TEHSIL,URBAN,HOMELESS,190,118,71,1,8,.03
KABIRWALA,KHANEWAL,TEHSIL,URBAN,TOTAL,180307,92490,87678,139,27295,100
KHANEWAL,KHANEWAL,TEHSIL,OVERALL,REGULAR,985780,510327,475355,98,152102,99.93000000000001
KHANEWAL,KHANEWAL,TEHSIL,OVERALL,INSTITUTIONAL,877,619,258,,32,.02
KHANEWAL,KHANEWAL,TEHSIL,OVERALL,HOMELESS,751,496,253,2,72,.05
KHANEWAL,KHANEWAL,TEHSIL,OVERALL,TOTAL,987408,511442,475866,100,152206,100
KHANEWAL,KHANEWAL,TEHSIL,RURAL,REGULAR,675430,350351,325023,56,101738,99.94
KHANEWAL,KHANEWAL,TEHSIL,RURAL,INSTITUTIONAL,533,452,81,,15,.01
KHANEWAL,KHANEWAL,TEHSIL,RURAL,HOMELESS,527,289,236,2,43,.04
KHANEWAL,KHANEWAL,TEHSIL,RURAL,TOTAL,676490,351092,325340,58,101796,100
KHANEWAL,KHANEWAL,TEHSIL,URBAN,REGULAR,310350,159976,150332,42,50364,99.91
KHANEWAL,KHANEWAL,TEHSIL,URBAN,INSTITUTIONAL,344,167,177,,17,.03
KHANEWAL,KHANEWAL,TEHSIL,URBAN,HOMELESS,224,207,17,,29,.06
KHANEWAL,KHANEWAL,TEHSIL,URBAN,TOTAL,310918,160350,150526,42,50410,100
MIAN CHANNU,KHANEWAL,TEHSIL,OVERALL,REGULAR,869537,442721,426740,76,145531,99.90000000000001
MIAN CHANNU,KHANEWAL,TEHSIL,OVERALL,INSTITUTIONAL,2023,1442,581,,52,.04
MIAN CHANNU,KHANEWAL,TEHSIL,OVERALL,HOMELESS,919,626,291,2,94,.06
MIAN CHANNU,KHANEWAL,TEHSIL,OVERALL,TOTAL,872479,444789,427612,78,145677,100
MIAN CHANNU,KHANEWAL,TEHSIL,RURAL,REGULAR,695329,354438,340862,29,115495,99.91
MIAN CHANNU,KHANEWAL,TEHSIL,RURAL,INSTITUTIONAL,1302,958,344,,39,.03
MIAN CHANNU,KHANEWAL,TEHSIL,RURAL,HOMELESS,744,464,278,2,69,.06
MIAN CHANNU,KHANEWAL,TEHSIL,RURAL,TOTAL,697375,355860,341484,31,115603,100
MIAN CHANNU,KHANEWAL,TEHSIL,URBAN,REGULAR,174208,88283,85878,47,30036,99.87
MIAN CHANNU,KHANEWAL,TEHSIL,URBAN,INSTITUTIONAL,721,484,237,,13,.04
