name_admin_unit,part_of_district,admin_unit,sex___age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
KORANGI,KORANGI,SUB-DIVISION,15 - 64,796740,427485,369052,203,,,,,796740,427485,369052,203
KORANGI,KORANGI,SUB-DIVISION,18 - 60,668438,355873,312402,163,,,,,668438,355873,312402,163
KORANGI,KORANGI,SUB-DIVISION,18 &  ABOVE,722334,386262,335905,167,,,,,722334,386262,335905,167
KORANGI,KORANGI,SUB-DIVISION,60 &  ABOVE,60620,34354,26259,7,,,,,60620,34354,26259,7
KORANGI,KORANGI,SUB-DIVISION,65 &  ABOVE,35991,20365,15624,2,,,,,35991,20365,15624,2
LANDHI,KORANGI,SUB-DIVISION,ALL AGES,681293,357792,323408,93,,,,,681293,357792,323408,93
LANDHI,KORANGI,SUB-DIVISION,UNDER 1,13498,6738,6760,,,,,,13498,6738,6760,
LANDHI,KORANGI,SUB-DIVISION,UNDER 5,91667,47385,44282,,,,,,91667,47385,44282,
LANDHI,KORANGI,SUB-DIVISION,UNDER 10,171781,88256,83525,,,,,,171781,88256,83525,
LANDHI,KORANGI,SUB-DIVISION,UNDER 15,248505,129057,119445,3,,,,,248505,129057,119445,3
LANDHI,KORANGI,SUB-DIVISION,05 - 24,277647,144512,133104,31,,,,,277647,144512,133104,31
LANDHI,KORANGI,SUB-DIVISION,15 - 49,347869,181577,166217,75,,,,,347869,181577,166217,75
LANDHI,KORANGI,SUB-DIVISION,15 - 64,410420,216713,193620,87,,,,,410420,216713,193620,87
LANDHI,KORANGI,SUB-DIVISION,18 - 60,356228,187470,168681,77,,,,,356228,187470,168681,77
LANDHI,KORANGI,SUB-DIVISION,18 &  ABOVE,390075,205874,184119,82,,,,,390075,205874,184119,82
LANDHI,KORANGI,SUB-DIVISION,60 &  ABOVE,37589,20564,17020,5,,,,,37589,20564,17020,5
LANDHI,KORANGI,SUB-DIVISION,65 &  ABOVE,22368,12022,10343,3,,,,,22368,12022,10343,3
MODEL COLONY,KORANGI,SUB-DIVISION,ALL AGES,441791,231579,210184,28,,,,,441791,231579,210184,28
MODEL COLONY,KORANGI,SUB-DIVISION,UNDER 1,9152,4639,4513,,,,,,9152,4639,4513,
MODEL COLONY,KORANGI,SUB-DIVISION,UNDER 5,65594,34267,31327,,,,,,65594,34267,31327,
MODEL COLONY,KORANGI,SUB-DIVISION,UNDER 10,111908,58395,53513,,,,,,111908,58395,53513,
MODEL COLONY,KORANGI,SUB-DIVISION,UNDER 15,157565,82601,74963,1,,,,,157565,82601,74963,1
MODEL COLONY,KORANGI,SUB-DIVISION,05 - 24,167672,87985,79676,11,,,,,167672,87985,79676,11
MODEL COLONY,KORANGI,SUB-DIVISION,15 - 49,222415,115162,107230,23,,,,,222415,115162,107230,23
MODEL COLONY,KORANGI,SUB-DIVISION,15 - 64,267593,139914,127652,27,,,,,267593,139914,127652,27
MODEL COLONY,KORANGI,SUB-DIVISION,18 - 60,232778,120986,111769,23,,,,,232778,120986,111769,23
