name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
ABBOTTABAD,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,NEVER MARRIED,514,347,1,418,299,1,96,48,0
ABBOTTABAD,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,SEPARATION,7,8,0,7,8,0,0,0,0
ABBOTTABAD,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,WIDOWED,650,17,0,546,17,0,104,0,0
ABBOTTABAD,DISTRICT,SON/DAUGHTER,DIVORCED,1052,446,0,842,377,0,210,69,0
ABBOTTABAD,DISTRICT,SON/DAUGHTER,MARRIED,3099,55052,0,2239,43952,0,860,11100,0
ABBOTTABAD,DISTRICT,SON/DAUGHTER,NEVER MARRIED,89050,120921,9,66878,93204,4,22172,27717,5
ABBOTTABAD,DISTRICT,SON/DAUGHTER,SEPARATION,162,157,0,140,127,0,22,30,0
ABBOTTABAD,DISTRICT,SON/DAUGHTER,WIDOWED,404,335,0,335,279,0,69,56,0
ABBOTTABAD,DISTRICT,SPOUSE,DIVORCED,0,0,,0,0,,0,0,
ABBOTTABAD,DISTRICT,SPOUSE,MARRIED,195662,5797,,151442,4938,,44220,859,
ABBOTTABAD,DISTRICT,SPOUSE,NEVER MARRIED,0,0,,0,0,,0,0,
ABBOTTABAD,DISTRICT,SPOUSE,SEPARATION,0,0,,0,0,,0,0,
ABBOTTABAD,DISTRICT,SPOUSE,WIDOWED,0,0,,0,0,,0,0,
BAJAUR,DISTRICT,BROTHER/SISTER,DIVORCED,28,3,0,28,3,0,0,0,0
BAJAUR,DISTRICT,BROTHER/SISTER,MARRIED,535,11153,0,535,11153,0,0,0,0
BAJAUR,DISTRICT,BROTHER/SISTER,NEVER MARRIED,5556,7149,2,5556,7149,2,0,0,0
BAJAUR,DISTRICT,BROTHER/SISTER,SEPARATION,27,5,0,27,5,0,0,0,0
BAJAUR,DISTRICT,BROTHER/SISTER,WIDOWED,139,23,0,139,23,0,0,0,0
BAJAUR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,DIVORCED,0,0,,0,0,,0,0,
BAJAUR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,MARRIED,38546,1088,,38546,1088,,0,0,
BAJAUR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,NEVER MARRIED,0,0,,0,0,,0,0,
BAJAUR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,SEPARATION,0,0,,0,0,,0,0,
BAJAUR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,WIDOWED,237,3,,237,3,,0,0,
BAJAUR,DISTRICT,FATHER/MOTHER,DIVORCED,10,1,,10,1,,0,0,
BAJAUR,DISTRICT,FATHER/MOTHER,MARRIED,9754,5281,,9754,5281,,0,0,
BAJAUR,DISTRICT,FATHER/MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
BAJAUR,DISTRICT,FATHER/MOTHER,SEPARATION,127,17,,127,17,,0,0,
BAJAUR,DISTRICT,FATHER/MOTHER,WIDOWED,6760,627,,6760,627,,0,0,
BAJAUR,DISTRICT,GRAND FATHER/GRAND MOTHER,DIVORCED,0,0,,0,0,,0,0,
BAJAUR,DISTRICT,GRAND FATHER/GRAND MOTHER,MARRIED,290,145,,290,145,,0,0,
BAJAUR,DISTRICT,GRAND FATHER/GRAND MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
BAJAUR,DISTRICT,GRAND FATHER/GRAND MOTHER,SEPARATION,2,1,,2,1,,0,0,
BAJAUR,DISTRICT,GRAND FATHER/GRAND MOTHER,WIDOWED,275,58,,275,58,,0,0,
BAJAUR,DISTRICT,GRAND SON/GRAND DAUGHTER,DIVORCED,0,0,0,0,0,0,0,0,0
BAJAUR,DISTRICT,GRAND SON/GRAND DAUGHTER,MARRIED,285,689,0,285,689,0,0,0,0
BAJAUR,DISTRICT,GRAND SON/GRAND DAUGHTER,NEVER MARRIED,1994,2556,0,1994,2556,0,0,0,0
BAJAUR,DISTRICT,GRAND SON/GRAND DAUGHTER,SEPARATION,1,0,0,1,0,0,0,0,0
BAJAUR,DISTRICT,GRAND SON/GRAND DAUGHTER,WIDOWED,2,1,0,2,1,0,0,0,0
BAJAUR,DISTRICT,HEAD,DIVORCED,26,6,0,26,6,0,0,0,0
BAJAUR,DISTRICT,HEAD,MARRIED,5845,170973,0,5845,170973,0,0,0,0
BAJAUR,DISTRICT,HEAD,NEVER MARRIED,43,2185,0,43,2185,0,0,0,0
BAJAUR,DISTRICT,HEAD,SEPARATION,55,45,0,55,45,0,0,0,0
BAJAUR,DISTRICT,HEAD,WIDOWED,1412,653,0,1412,653,0,0,0,0
