name_admin_unit,part_of_district,admin_unit,age_group,nationality,overall_all_sexes,rural_all_sexes,urban_all_sexes,overall_female,rural_female,urban_female,overall_male,rural_male,urban_male,overall_tgend,rural_tgend,urban_tgend
JAMSHORO,JAMSHORO,DISTRICT,40 - 44,BENGALI,3,1,2,1,1,,2,,2,,,
JAMSHORO,JAMSHORO,DISTRICT,40 - 44,CHINESE,,,,,,,,,,,,
JAMSHORO,JAMSHORO,DISTRICT,40 - 44,OTHERS,13,8,5,3,3,,10,5,5,,,
JAMSHORO,JAMSHORO,DISTRICT,40 - 44,PAKISTANI,58604,30516,28088,27812,14596,13216,30787,15919,14868,5,1,4
JAMSHORO,JAMSHORO,DISTRICT,45 - 49,AFGHANI,18,9,9,4,2,2,14,7,7,,,
JAMSHORO,JAMSHORO,DISTRICT,45 - 49,BENGALI,,,,,,,,,,,,
JAMSHORO,JAMSHORO,DISTRICT,45 - 49,CHINESE,,,,,,,,,,,,
JAMSHORO,JAMSHORO,DISTRICT,45 - 49,OTHERS,17,11,6,11,7,4,6,4,2,,,
JAMSHORO,JAMSHORO,DISTRICT,45 - 49,PAKISTANI,46465,24186,22279,21763,11358,10405,24695,12828,11867,7,,7
JAMSHORO,JAMSHORO,DISTRICT,50 - 54,AFGHANI,13,9,4,4,3,1,9,6,3,,,
JAMSHORO,JAMSHORO,DISTRICT,50 - 54,BENGALI,1,,1,1,,1,,,,,,
JAMSHORO,JAMSHORO,DISTRICT,50 - 54,CHINESE,,,,,,,,,,,,
JAMSHORO,JAMSHORO,DISTRICT,50 - 54,OTHERS,7,4,3,3,1,2,4,3,1,,,
JAMSHORO,JAMSHORO,DISTRICT,50 - 54,PAKISTANI,37144,19308,17836,17067,8828,8239,20073,10479,9594,4,1,3
JAMSHORO,JAMSHORO,DISTRICT,55 - 59,AFGHANI,16,6,10,6,2,4,10,4,6,,,
JAMSHORO,JAMSHORO,DISTRICT,55 - 59,BENGALI,1,,1,1,,1,,,,,,
JAMSHORO,JAMSHORO,DISTRICT,55 - 59,CHINESE,,,,,,,,,,,,
JAMSHORO,JAMSHORO,DISTRICT,55 - 59,OTHERS,7,3,4,5,3,2,2,,2,,,
JAMSHORO,JAMSHORO,DISTRICT,55 - 59,PAKISTANI,27620,13901,13719,11991,6057,5934,15629,7844,7785,,,
JAMSHORO,JAMSHORO,DISTRICT,60 - 64,AFGHANI,8,1,7,3,1,2,5,,5,,,
JAMSHORO,JAMSHORO,DISTRICT,60 - 64,BENGALI,,,,,,,,,,,,
JAMSHORO,JAMSHORO,DISTRICT,60 - 64,CHINESE,,,,,,,,,,,,
JAMSHORO,JAMSHORO,DISTRICT,60 - 64,OTHERS,1,1,,1,1,,,,,,,
JAMSHORO,JAMSHORO,DISTRICT,60 - 64,PAKISTANI,19087,9910,9177,8668,4525,4143,10418,5385,5033,1,,1
JAMSHORO,JAMSHORO,DISTRICT,65 - 69,AFGHANI,4,2,2,3,1,2,1,1,,,,
JAMSHORO,JAMSHORO,DISTRICT,65 - 69,BENGALI,,,,,,,,,,,,
JAMSHORO,JAMSHORO,DISTRICT,65 - 69,CHINESE,,,,,,,,,,,,
JAMSHORO,JAMSHORO,DISTRICT,65 - 69,OTHERS,5,3,2,1,,1,4,3,1,,,
JAMSHORO,JAMSHORO,DISTRICT,65 - 69,PAKISTANI,13735,7150,6585,6450,3315,3135,7285,3835,3450,,,
JAMSHORO,JAMSHORO,DISTRICT,70 - 74,AFGHANI,8,3,5,2,1,1,6,2,4,,,
JAMSHORO,JAMSHORO,DISTRICT,70 - 74,BENGALI,,,,,,,,,,,,
JAMSHORO,JAMSHORO,DISTRICT,70 - 74,CHINESE,,,,,,,,,,,,
